tier relicName itemName chance
Axi A3 "Cernos Prime String" 11.0
Axi A3 "Akbolto Prime Receiver" 2.0
Axi A4 "Braton Prime Stock" 25.33
Axi A4 "Forma Blueprint" 25.33
Axi A4 "Zephyr Prime Neuroptics Blueprint" 25.33
Axi A4 "Fang Prime Handle" 11.0
Axi A4 "Ballistica Prime String" 11.0
Axi A4 "Akbolto Prime Receiver" 2.0
Axi A5 "Vasto Prime Barrel" 25.33
Axi A5 "Vasto Prime Receiver" 25.33
Axi A5 "Forma Blueprint" 25.33
Axi A5 "Vasto Prime Blueprint" 11.0
Axi A5 "Akvasto Prime Link" 11.0
Axi A5 "Akvasto Prime Blueprint" 2.0
Axi A6 "Orthos Prime Handle" 25.33
Axi A6 "Braton Prime Stock" 25.33
Axi A6 "Chroma Prime Blueprint" 25.33
Axi A6 "Zhuge Prime Blueprint" 11.0
Axi A6 "Tipedo Prime Ornament" 11.0
Axi A6 "Atlas Prime Neuroptics Blueprint" 2.0
Axi A7 "Carrier Prime Systems" 25.33
Axi A7 "Braton Prime Blueprint" 25.33
Axi A7 "Akstiletto Prime Receiver" 25.33
Axi A7 "Fragor Prime Blueprint" 11.0
Axi A7 "Forma Blueprint" 11.0
Axi A7 "Ash Prime Systems Blueprint" 2.0
Axi A8 "Pyrana Prime Barrel" 25.33
Axi A8 "Braton Prime Stock" 25.33
Axi A8 "Equinox Prime Chassis Blueprint" 25.33
Axi A8 "Gram Prime Blueprint" 11.0
Axi A8 "Forma Blueprint" 11.0
Axi A8 "Aksomati Prime Link" 2.0
Axi A9 "Lex Prime Blueprint" 25.33
Axi A9 "Rubico Prime Stock" 25.33
Axi A9 "Gram Prime Blade" 25.33
Axi A9 "Ivara Prime Systems Blueprint" 11.0
Axi A9 "Akbronco Prime Link" 11.0
Axi A9 "Atlas Prime Neuroptics Blueprint" 2.0
Axi B1 "Euphona Prime Blueprint" 25.33
Axi B1 "Ash Prime Chassis Blueprint" 25.33
Axi B1 "Fang Prime Blade" 25.33
Axi B1 "Cernos Prime Blueprint" 11.0
Axi B1 "Kavasa Prime Buckle" 11.0
Axi B1 "Banshee Prime Systems Blueprint" 2.0
Axi B2 "Fragor Prime Head" 25.33
Axi B2 "Sybaris Prime Blueprint" 25.33
Axi B2 "Fang Prime Blade" 25.33
Axi B2 "Forma Blueprint" 11.0
Axi B2 "Orthos Prime Blueprint" 11.0
Axi B2 "Banshee Prime Systems Blueprint" 2.0
Axi B3 "Paris Prime Lower Limb" 25.33
Axi B3 "Stradavar Prime Stock" 25.33
Axi B3 "Forma Blueprint" 25.33
Axi B3 "Zhuge Prime Receiver" 11.0
Axi B3 "Atlas Prime Chassis Blueprint" 11.0
Axi B3 "Baza Prime Stock" 2.0
Axi B4 "Aksomati Prime Blueprint" 25.33
Axi B4 "Akjagara Prime Blueprint" 25.33
Axi B4 "Paris Prime Lower Limb" 25.33
Axi B4 "Ivara Prime Blueprint" 11.0
Axi B4 "Karyst Prime Handle" 11.0
Axi B4 "Baza Prime Blueprint" 2.0
Axi C1 "Trinity Prime Neuroptics Blueprint" 25.33
Axi C1 "Vectis Prime Barrel" 25.33
Axi C1 "Lex Prime Receiver" 25.33
Axi C1 "Orthos Prime Blueprint" 11.0
Axi C1 "Forma Blueprint" 11.0
Axi C1 "Cernos Prime Lower Limb" 2.0
Axi C2 "Forma Blueprint" 25.33
Axi C2 "Trinity Prime Systems Blueprint" 25.33
Axi C2 "Braton Prime Blueprint" 25.33
Axi C2 "Silva & Aegis Prime Blade" 11.0
Axi C2 "Fragor Prime Handle" 11.0
Axi C2 "Cernos Prime Lower Limb" 2.0
Axi C3 "Helios Prime Carapace" 25.33
Axi C3 "Forma Blueprint" 25.33
Axi C3 "Hydroid Prime Chassis Blueprint" 25.33
Axi C3 "Banshee Prime Blueprint" 11.0
Axi C3 "Pyrana Prime Receiver" 11.0
Axi C3 "Chroma Prime Systems Blueprint" 2.0
Axi C4 "Braton Prime Blueprint" 25.33
Axi C4 "Hydroid Prime Chassis Blueprint" 25.33
Axi C4 "Pyrana Prime Barrel" 25.33
Axi C4 "Sybaris Prime Receiver" 11.0
Axi C4 "Kogake Prime Blueprint" 11.0
Axi C4 "Chroma Prime Systems Blueprint" 2.0
Axi C5 "Braton Prime Barrel" 25.33
Axi C5 "Panthera Prime Blueprint" 25.33
Axi C5 "Tekko Prime Gauntlet" 25.33
Axi C5 "Tipedo Prime Ornament" 11.0
Axi C5 "Akbronco Prime Link" 11.0
Axi C5 "Corinth Prime Barrel" 2.0
Axi C6 "Pangolin Prime Handle" 25.33
Axi C6 "Karyst Prime Blueprint" 25.33
Axi C6 "Forma Blueprint" 25.33
Axi C6 "Pandero Prime Barrel" 11.0
Axi C6 "Ivara Prime Systems Blueprint" 11.0
Axi C6 "Corinth Prime Barrel" 2.0
Axi D1 "Braton Prime Blueprint" 25.33
Axi D1 "Chroma Prime Blueprint" 25.33
Axi D1 "Tiberon Prime Receiver" 25.33
Axi D1 "Zhuge Prime Receiver" 11.0
Axi D1 "Forma Blueprint" 11.0
Axi D1 "Destreza Prime Blade" 2.0
Axi D2 "Aksomati Prime Receiver" 25.33
Axi D2 "Braton Prime Blueprint" 25.33
Axi D2 "Destreza Prime Handle" 25.33
Axi D2 "Forma Blueprint" 11.0
Axi D2 "Rubico Prime Stock" 11.0
Axi D2 "Destreza Prime Blade" 2.0
Axi D3 "Limbo Prime Systems Blueprint" 25.33
Axi D3 "Lex Prime Blueprint" 25.33
Axi D3 "Braton Prime Stock" 25.33
Axi D3 "Pyrana Prime Receiver" 11.0
Axi D3 "Destreza Prime Blueprint" 11.0
Axi D3 "Dual Kamas Prime Blade" 2.0
Axi E1 "Latron Prime Barrel" 25.33
Axi E1 "Sicarus Prime Blueprint" 25.33
Axi E1 "Frost Prime Neuroptics Blueprint" 25.33
Axi E1 "Glaive Prime Blade" 11.0
Axi E1 "Forma Blueprint" 11.0
Axi E1 "Ember Prime Blueprint" 2.0
Axi E2 "Paris Prime Blueprint" 25.33
Axi E2 "Lex Prime Receiver" 25.33
Axi E2 "Braton Prime Stock" 25.33
Axi E2 "Bronco Prime Barrel" 11.0
Axi E2 "Forma Blueprint" 11.0
Axi E2 "Euphona Prime Receiver" 2.0
Axi G1 "Nekros Prime Chassis Blueprint" 25.33
Axi G1 "Saryn Prime Systems Blueprint" 25.33
Axi G1 "Paris Prime Blueprint" 25.33
Axi G1 "Kavasa Prime Kubrow Collar Blueprint" 11.0
Axi G1 "Forma Blueprint" 11.0
Axi G1 "Galatine Prime Blueprint" 2.0
Axi G2 "Wukong Prime Neuroptics Blueprint" 25.33
Axi G2 "Akbolto Prime Blueprint" 25.33
Axi G2 "Burston Prime Receiver" 25.33
Axi G2 "Tipedo Prime Ornament" 11.0
Axi G2 "Redeemer Prime Blueprint" 11.0
Axi G2 "Gram Prime Handle" 2.0
Axi G3 "Lex Prime Blueprint" 25.33
Axi G3 "Forma Blueprint" 25.33
Axi G3 "Ninkondi Prime Blueprint" 25.33
Axi G3 "Burston Prime Barrel" 11.0
Axi G3 "Kronen Prime Handle" 11.0
Axi G3 "Gram Prime Handle" 2.0
Axi G4 "Fang Prime Blueprint" 25.33
Axi G4 "Aksomati Prime Receiver" 25.33
Axi G4 "Tekko Prime Gauntlet" 25.33
Axi G4 "Pangolin Prime Blade" 11.0
Axi G4 "Burston Prime Barrel" 11.0
Axi G4 "Gram Prime Handle" 2.0
Axi G5 "Chroma Prime Blueprint" 25.33
Axi G5 "Tiberon Prime Receiver" 25.33
Axi G5 "Burston Prime Stock" 25.33
Axi G5 "Zephyr Prime Blueprint" 11.0
Axi G5 "Forma Blueprint" 11.0
Axi G5 "Gram Prime Handle" 2.0
Axi G6 "Aksomati Prime Blueprint" 25.33
Axi G6 "Karyst Prime Blueprint" 25.33
Axi G6 "Forma Blueprint" 25.33
Axi G6 "Braton Prime Stock" 11.0
Axi G6 "Nezha Prime Blueprint" 11.0
Axi G6 "Gara Prime Blueprint" 2.0
Axi H1 "Forma Blueprint" 25.33
Axi H1 "Fragor Prime Head" 25.33
Axi H1 "Vectis Prime Barrel" 25.33
Axi H1 "Akstiletto Prime Receiver" 11.0
Axi H1 "Trinity Prime Chassis Blueprint" 11.0
Axi H1 "Helios Prime Cerebrum" 2.0
Axi H2 "Oberon Prime Chassis Blueprint" 25.33
Axi H2 "Lex Prime Receiver" 25.33
Axi H2 "Fang Prime Handle" 25.33
Axi H2 "Trinity Prime Chassis Blueprint" 11.0
Axi H2 "Akstiletto Prime Barrel" 11.0
Axi H2 "Helios Prime Cerebrum" 2.0
Axi H3 "Kronen Prime Blueprint" 25.33
Axi H3 "Cernos Prime Grip" 25.33
Axi H3 "Helios Prime Carapace" 25.33
Axi H3 "Burston Prime Barrel" 11.0
Axi H3 "Forma Blueprint" 11.0
Axi H3 "Hydroid Prime Systems Blueprint" 2.0
Axi H4 "Mesa Prime Chassis Blueprint" 25.33
Axi H4 "Mirage Prime Chassis Blueprint" 25.33
Axi H4 "Paris Prime Upper Limb" 25.33
Axi H4 "Akbolto Prime Link" 11.0
Axi H4 "Forma Blueprint" 11.0
Axi H4 "Hydroid Prime Systems Blueprint" 2.0
Axi H5 "Banshee Prime Neuroptics Blueprint" 25.33
Axi H5 "Euphona Prime Blueprint" 25.33
Axi H5 "Akbolto Prime Blueprint" 25.33
Axi H5 "Mirage Prime Systems Blueprint" 11.0
Axi H5 "Forma Blueprint" 11.0
Axi H5 "Helios Prime Cerebrum" 2.0
Axi I1 "Pangolin Prime Handle" 25.33
Axi I1 "Panthera Prime Blueprint" 25.33
Axi I1 "Dethcube Prime Systems" 25.33
Axi I1 "Volnus Prime Head" 11.0
Axi I1 "Forma Blueprint" 11.0
Axi I1 "Inaros Prime Neuroptics Blueprint" 2.0
Axi I2 "Strun Prime Receiver" 25.33
Axi I2 "Tenora Prime Blueprint" 25.33
Axi I2 "Forma Blueprint" 25.33
Axi I2 "Gara Prime Chassis Blueprint" 11.0
Axi I2 "Baza Prime Barrel" 11.0
Axi I2 "Inaros Prime Neuroptics Blueprint" 2.0
Axi K1 "Odonata Prime Harness Blueprint" 25.33
Axi K1 "Hikou Prime Pouch" 25.33
Axi K1 "Lex Prime Barrel" 25.33
Axi K1 "Forma Blueprint" 11.0
Axi K1 "Akstiletto Prime Receiver" 11.0
Axi K1 "Kavasa Prime Buckle" 2.0
Axi K2 "Orthos Prime Handle" 25.33
Axi K2 "Sybaris Prime Blueprint" 25.33
Axi K2 "Forma Blueprint" 25.33
Axi K2 "Cernos Prime String" 11.0
Axi K2 "Galatine Prime Handle" 11.0
Axi K2 "Kronen Prime Blade" 2.0
Axi K3 "Paris Prime Blueprint" 25.33
Axi K3 "Tiberon Prime Receiver" 25.33
Axi K3 "Cernos Prime Grip" 25.33
Axi K3 "Pyrana Prime Receiver" 11.0
Axi K3 "Banshee Prime Blueprint" 11.0
Axi K3 "Kronen Prime Blade" 2.0
Axi K4 "Paris Prime Blueprint" 25.33
Axi K4 "Forma Blueprint" 25.33
Axi K4 "Sybaris Prime Stock" 25.33
Axi K4 "Kogake Prime Blueprint" 11.0
Axi K4 "Destreza Prime Blueprint" 11.0
Axi K4 "Kronen Prime Blade" 2.0
Axi K5 "Ballistica Prime Lower Limb" 25.33
Axi K5 "Braton Prime Blueprint" 25.33
Axi K5 "Forma Blueprint" 25.33
Axi K5 "Hydroid Prime Blueprint" 11.0
Axi K5 "Equinox Prime Blueprint" 11.0
Axi K5 "Kronen Prime Blade" 2.0
Axi L1 "Reaper Prime Blueprint" 25.33
Axi L1 "Wyrm Prime Carapace" 25.33
Axi L1 "Latron Prime Blueprint" 25.33
Axi L1 "Forma Blueprint" 11.0
Axi L1 "Glaive Prime Blade" 11.0
Axi L1 "Loki Prime Systems Blueprint" 2.0
Axi L2 "Orthos Prime Handle" 25.33
Axi L2 "Braton Prime Blueprint" 25.33
Axi L2 "Nami Skyla Prime Blueprint" 25.33
Axi L2 "Forma Blueprint" 11.0
Axi L2 "Tiberon Prime Blueprint" 11.0
Axi L2 "Limbo Prime Neuroptics Blueprint" 2.0
Axi L3 "Nami Skyla Prime Blueprint" 25.33
Axi L3 "Kronen Prime Blueprint" 25.33
Axi L3 "Fang Prime Handle" 25.33
Axi L3 "Akjagara Prime Receiver" 11.0
Axi L3 "Zephyr Prime Chassis Blueprint" 11.0
Axi L3 "Limbo Prime Chassis Blueprint" 2.0
Axi L4 "Forma Blueprint" 25.33
Axi L4 "Bo Prime Ornament" 25.33
Axi L4 "Wyrm Prime Carapace" 25.33
Axi L4 "Volt Prime Systems Blueprint" 11.0
Axi L4 "Odonata Prime Blueprint" 11.0
Axi L4 "Loki Prime Systems Blueprint" 2.0
Axi L5 "Fang Prime Blueprint" 25.33
Axi L5 "Burston Prime Blueprint" 25.33
Axi L5 "Rubico Prime Stock" 25.33
Axi L5 "Akbronco Prime Link" 11.0
Axi L5 "Kronen Prime Handle" 11.0
Axi L5 "Limbo Prime Chassis Blueprint" 2.0
Axi M1 "Zhuge Prime String" 25.33
Axi M1 "Lex Prime Barrel" 25.33
Axi M1 "Mesa Prime Chassis Blueprint" 25.33
Axi M1 "Orthos Prime Blueprint" 11.0
Axi M1 "Rubico Prime Barrel" 11.0
Axi M1 "Mirage Prime Blueprint" 2.0
Axi M2 "Bronco Prime Receiver" 25.33
Axi M2 "Titania Prime Chassis Blueprint" 25.33
Axi M2 "Burston Prime Blueprint" 25.33
Axi M2 "Panthera Prime Stock" 11.0
Axi M2 "Nezha Prime Blueprint" 11.0
Axi M2 "Magnus Prime Barrel" 2.0
Axi M3 "Akjagara Prime Blueprint" 25.33
Axi M3 "Fang Prime Blade" 25.33
Axi M3 "Forma Blueprint" 25.33
Axi M3 "Hydroid Prime Neuroptics Blueprint" 11.0
Axi M3 "Ballistica Prime Upper Limb" 11.0
Axi M3 "Mesa Prime Neuroptics Blueprint" 2.0
Axi N1 "Braton Prime Blueprint" 25.33
Axi N1 "Forma Blueprint" 25.33
Axi N1 "Fang Prime Blade" 25.33
Axi N1 "Akstiletto Prime Link" 11.0
Axi N1 "Odonata Prime Wings Blueprint" 11.0
Axi N1 "Ash Prime Systems Blueprint" 2.0
Axi N2 "Carrier Prime Carapace" 25.33
Axi N2 "Lex Prime Receiver" 25.33
Axi N2 "Bronco Prime Blueprint" 25.33
Axi N2 "Forma Blueprint" 11.0
Axi N2 "Ash Prime Neuroptics Blueprint" 11.0
Axi N2 "Nikana Prime Hilt" 2.0
Axi N3 "Paris Prime Upper Limb" 25.33
Axi N3 "Dual Kamas Prime Blueprint" 25.33
Axi N3 "Forma Blueprint" 25.33
Axi N3 "Volt Prime Blueprint" 11.0
Axi N3 "Bronco Prime Barrel" 11.0
Axi N3 "Nekros Prime Blueprint" 2.0
Axi N4 "Cernos Prime Upper Limb" 25.33
Axi N4 "Nekros Prime Chassis Blueprint" 25.33
Axi N4 "Galatine Prime Blade" 25.33
Axi N4 "Hydroid Prime Neuroptics Blueprint" 11.0
Axi N4 "Fragor Prime Handle" 11.0
Axi N4 "Nikana Prime Hilt" 2.0
Axi N5 "Euphona Prime Blueprint" 25.33
Axi N5 "Oberon Prime Chassis Blueprint" 25.33
Axi N5 "Lex Prime Barrel" 25.33
Axi N5 "Nekros Prime Neuroptics Blueprint" 11.0
Axi N5 "Helios Prime Systems" 11.0
Axi N5 "Nami Skyla Prime Blade" 2.0
Axi N6 "Nikana Prime Blueprint" 25.33
Axi N6 "Braton Prime Barrel" 25.33
Axi N6 "Lex Prime Receiver" 25.33
Axi N6 "Saryn Prime Blueprint" 11.0
Axi N6 "Braton Prime Receiver" 11.0
Axi N6 "Nikana Prime Hilt" 2.0
Axi N7 "Baza Prime Receiver" 25.33
Axi N7 "Astilla Prime Receiver" 25.33
Axi N7 "Octavia Prime Systems Blueprint" 25.33
Axi N7 "Dethcube Prime Carapace" 11.0
Axi N7 "Forma Blueprint" 11.0
Axi N7 "Nezha Prime Chassis Blueprint" 2.0
Axi O1 "Euphona Prime Blueprint" 25.33
Axi O1 "Paris Prime Blueprint" 25.33
Axi O1 "Forma Blueprint" 25.33
Axi O1 "Akstiletto Prime Receiver" 11.0
Axi O1 "Galatine Prime Handle" 11.0
Axi O1 "Oberon Prime Systems Blueprint" 2.0
Axi O2 "Galatine Prime Blade" 25.33
Axi O2 "Paris Prime String" 25.33
Axi O2 "Fang Prime Blade" 25.33
Axi O2 "Tiberon Prime Blueprint" 11.0
Axi O2 "Helios Prime Systems" 11.0
Axi O2 "Oberon Prime Systems Blueprint" 2.0
Axi O3 "Destreza Prime Handle" 25.33
Axi O3 "Burston Prime Stock" 25.33
Axi O3 "Forma Blueprint" 25.33
Axi O3 "Venka Prime Blueprint" 11.0
Axi O3 "Zephyr Prime Chassis Blueprint" 11.0
Axi O3 "Oberon Prime Systems Blueprint" 2.0
Axi O4 "Destreza Prime Handle" 25.33
Axi O4 "Zephyr Prime Neuroptics Blueprint" 25.33
Axi O4 "Lex Prime Blueprint" 25.33
Axi O4 "Gram Prime Blueprint" 11.0
Axi O4 "Tiberon Prime Blueprint" 11.0
Axi O4 "Oberon Prime Systems Blueprint" 2.0
Axi O5 "Lex Prime Receiver" 25.33
Axi O5 "Nezha Prime Systems Blueprint" 25.33
Axi O5 "Panthera Prime Blueprint" 25.33
Axi O5 "Inaros Prime Chassis Blueprint" 11.0
Axi O5 "Fang Prime Handle" 11.0
Axi O5 "Octavia Prime Blueprint" 2.0
Axi P1 "Forma Blueprint" 25.33
Axi P1 "Equinox Prime Chassis Blueprint" 25.33
Axi P1 "Akjagara Prime Blueprint" 25.33
Axi P1 "Ninkondi Prime Chain" 11.0
Axi P1 "Kogake Prime Blueprint" 11.0
Axi P1 "Pyrana Prime Blueprint" 2.0
Axi P2 "Dethcube Prime Systems" 25.33
Axi P2 "Bronco Prime Blueprint" 25.33
Axi P2 "Tiberon Prime Receiver" 25.33
Axi P2 "Destreza Prime Blueprint" 11.0
Axi P2 "Rubico Prime Stock" 11.0
Axi P2 "Pyrana Prime Blueprint" 2.0
Axi P3 "Forma Blueprint" 25.33
Axi P3 "Bronco Prime Blueprint" 25.33
Axi P3 "Zhuge Prime Grip" 25.33
Axi P3 "Wukong Prime Systems Blueprint" 11.0
Axi P3 "Burston Prime Barrel" 11.0
Axi P3 "Pyrana Prime Blueprint" 2.0
Axi R1 "Boltor Prime Stock" 25.33
Axi R1 "Mag Prime Systems Blueprint" 25.33
Axi R1 "Boar Prime Receiver" 25.33
Axi R1 "Dakra Prime Blueprint" 11.0
Axi R1 "Ankyros Prime Blade" 11.0
Axi R1 "Rhino Prime Blueprint" 2.0
Axi R2 "Lex Prime Receiver" 25.33
Axi R2 "Forma Blueprint" 25.33
Axi R2 "Destreza Prime Handle" 25.33
Axi R2 "Mirage Prime Systems Blueprint" 11.0
Axi R2 "Chroma Prime Chassis Blueprint" 11.0
Axi R2 "Redeemer Prime Handle" 2.0
Axi R3 "Stradavar Prime Stock" 25.33
Axi R3 "Fang Prime Blade" 25.33
Axi R3 "Zephyr Prime Neuroptics Blueprint" 25.33
Axi R3 "Wukong Prime Systems Blueprint" 11.0
Axi R3 "Akjagara Prime Link" 11.0
Axi R3 "Redeemer Prime Handle" 2.0
Axi S1 "Forma Blueprint" 25.33
Axi S1 "Bronco Prime Receiver" 25.33
Axi S1 "Bronco Prime Blueprint" 25.33
Axi S1 "Akbronco Prime Link" 11.0
Axi S1 "Trinity Prime Blueprint" 11.0
Axi S1 "Scindo Prime Blade" 2.0
Axi S2 "Wyrm Prime Blueprint" 25.33
Axi S2 "Loki Prime Blueprint" 25.33
Axi S2 "Latron Prime Receiver" 25.33
Axi S2 "Forma Blueprint" 11.0
Axi S2 "Ember Prime Systems Blueprint" 11.0
Axi S2 "Sicarus Prime Receiver" 2.0
Axi S3 "Rhino Prime Systems Blueprint" 25.33
Axi S3 "Boltor Prime Stock" 25.33
Axi S3 "Hikou Prime Stars" 25.33
Axi S3 "Nyx Prime Systems Blueprint" 11.0
Axi S3 "Ankyros Prime Blade" 11.0
Axi S3 "Scindo Prime Blade" 2.0
Axi S4 "Mag Prime Systems Blueprint" 25.33
Axi S4 "Boar Prime Receiver" 25.33
Axi S4 "Forma Blueprint" 25.33
Axi S4 "Nova Prime Blueprint" 11.0
Axi S4 "Dakra Prime Blade" 11.0
Axi S4 "Soma Prime Stock" 2.0
Axi S5 "Saryn Prime Systems Blueprint" 25.33
Axi S5 "Venka Prime Blades" 25.33
Axi S5 "Cernos Prime Grip" 25.33
Axi S5 "Nikana Prime Blade" 11.0
Axi S5 "Forma Blueprint" 11.0
Axi S5 "Spira Prime Pouch" 2.0
Axi S6 "Nekros Prime Chassis Blueprint" 25.33
Axi S6 "Burston Prime Blueprint" 25.33
Axi S6 "Forma Blueprint" 25.33
Axi S6 "Tigris Prime Barrel" 11.0
Axi S6 "Silva & Aegis Prime Blade" 11.0
Axi S6 "Sybaris Prime Barrel" 2.0
Axi S7 "Forma Blueprint" 25.33
Axi S7 "Nova Prime Systems Blueprint" 25.33
Axi S7 "Vasto Prime Barrel" 25.33
Axi S7 "Trinity Prime Chassis Blueprint" 11.0
Axi S7 "Kavasa Prime Kubrow Collar Blueprint" 11.0
Axi S7 "Soma Prime Stock" 2.0
Axi S8 "Cernos Prime Grip" 25.33
Axi S8 "Hikou Prime Blueprint" 25.33
Axi S8 "Forma Blueprint" 25.33
Axi S8 "Venka Prime Blueprint" 11.0
Axi S8 "Nyx Prime Chassis Blueprint" 11.0
Axi S8 "Scindo Prime Blade" 2.0
Axi T1 "Vectis Prime Barrel" 25.33
Axi T1 "Odonata Prime Harness Blueprint" 25.33
Axi T1 "Saryn Prime Systems Blueprint" 25.33
Axi T1 "Akstiletto Prime Receiver" 11.0
Axi T1 "Burston Prime Barrel" 11.0
Axi T1 "Tigris Prime Blueprint" 2.0
Axi T2 "Kogake Prime Boot" 25.33
Axi T2 "Stradavar Prime Stock" 25.33
Axi T2 "Mirage Prime Neuroptics Blueprint" 25.33
Axi T2 "Forma Blueprint" 11.0
Axi T2 "Burston Prime Barrel" 11.0
Axi T2 "Tipedo Prime Handle" 2.0
Axi T3 "Limbo Prime Systems Blueprint" 25.33
Axi T3 "Paris Prime Lower Limb" 25.33
Axi T3 "Burston Prime Blueprint" 25.33
Axi T3 "Equinox Prime Blueprint" 11.0
Axi T3 "Forma Blueprint" 11.0
Axi T3 "Tipedo Prime Handle" 2.0
Axi T4 "Corinth Prime Blueprint" 25.33
Axi T4 "Wukong Prime Neuroptics Blueprint" 25.33
Axi T4 "Braton Prime Blueprint" 25.33
Axi T4 "Zhuge Prime Blueprint" 11.0
Axi T4 "Equinox Prime Blueprint" 11.0
Axi T4 "Tipedo Prime Handle" 2.0
Axi T5 "Zhuge Prime String" 25.33
Axi T5 "Chroma Prime Blueprint" 25.33
Axi T5 "Rubico Prime Receiver" 25.33
Axi T5 "Gram Prime Blueprint" 11.0
Axi T5 "Forma Blueprint" 11.0
Axi T5 "Titania Prime Systems Blueprint" 2.0
Axi T6 "Forma Blueprint" 25.33
Axi T6 "Paris Prime String" 25.33
Axi T6 "Zakti Prime Receiver" 25.33
Axi T6 "Tenora Prime Stock" 11.0
Axi T6 "Wukong Prime Chassis Blueprint" 11.0
Axi T6 "Tekko Prime Blade" 2.0
Axi T7 "Inaros Prime Systems Blueprint" 25.33
Axi T7 "Bronco Prime Receiver" 25.33
Axi T7 "Forma Blueprint" 25.33
Axi T7 "Pangolin Prime Blade" 11.0
Axi T7 "Corinth Prime Receiver" 11.0
Axi T7 "Tekko Prime Blade" 2.0
Axi V1 "Odonata Prime Systems Blueprint" 25.33
Axi V1 "Carrier Prime Systems" 25.33
Axi V1 "Dual Kamas Prime Blueprint" 25.33
Axi V1 "Volt Prime Neuroptics Blueprint" 11.0
Axi V1 "Forma Blueprint" 11.0
Axi V1 "Vauban Prime Chassis Blueprint" 2.0
Axi V10 "Hikou Prime Stars" 25.33
Axi V10 "Cernos Prime String" 25.33
Axi V10 "Lex Prime Receiver" 25.33
Axi V10 "Forma Blueprint" 11.0
Axi V10 "Valkyr Prime Systems Blueprint" 11.0
Axi V10 "Venka Prime Gauntlet" 2.0
Axi V2 "Hikou Prime Pouch" 25.33
Axi V2 "Trinity Prime Systems Blueprint" 25.33
Axi V2 "Mag Prime Neuroptics Blueprint" 25.33
Axi V2 "Braton Prime Receiver" 11.0
Axi V2 "Boar Prime Barrel" 11.0
Axi V2 "Vectis Prime Stock" 2.0
Axi V3 "Trinity Prime Neuroptics Blueprint" 25.33
Axi V3 "Vasto Prime Barrel" 25.33
Axi V3 "Trinity Prime Systems Blueprint" 25.33
Axi V3 "Orthos Prime Blueprint" 11.0
Axi V3 "Braton Prime Receiver" 11.0
Axi V3 "Vectis Prime Stock" 2.0
Axi V4 "Paris Prime Blueprint" 25.33
Axi V4 "Trinity Prime Systems Blueprint" 25.33
Axi V4 "Odonata Prime Harness Blueprint" 25.33
Axi V4 "Cernos Prime Blueprint" 11.0
Axi V4 "Forma Blueprint" 11.0
Axi V4 "Vectis Prime Stock" 2.0
Axi V5 "Venka Prime Blades" 25.33
Axi V5 "Dual Kamas Prime Blueprint" 25.33
Axi V5 "Forma Blueprint" 25.33
Axi V5 "Braton Prime Receiver" 11.0
Axi V5 "Tigris Prime Receiver" 11.0
Axi V5 "Valkyr Prime Chassis Blueprint" 2.0
Axi V6 "Braton Prime Blueprint" 25.33
Axi V6 "Ballistica Prime Lower Limb" 25.33
Axi V6 "Forma Blueprint" 25.33
