Class	Type	C1	C2	C3	U1	U2	Rare
Axi	D1	Braton Prime Blueprint	Chroma Prime Blueprint	Tiberon Prime Receiver	Zhuge Prime Receiver	Forma Blueprint	Destreza Prime Blade
Axi	D2	Aksomati Prime Receiver	Braton Prime Blueprint	Destreza Prime Handle	Forma Blueprint	Rubico Prime Stock	Destreza Prime Blade
Axi	D3	Limbo Prime Systems	Lex Prime Blueprint	Braton Prime Stock	Pyrana Prime Receiver	Destreza Prime Blueprint	Dual Kamas Prime Blade
Axi	E1	Latron Prime Barrel	Sicarus Prime Blueprint	Frost Prime Neuroptics	Glaive Prime Blade	Forma Blueprint	Ember Prime Blueprint
Axi	E2	Paris Prime Blueprint	Lex Prime Receiver	Braton Prime Stock	Bronco Prime Barrel	Forma Blueprint	Euphona Prime Receiver
Axi	G1	Nekros Prime Chassis	Saryn Prime Systems	Paris Prime Blueprint	Kavasa Prime Kubrow Collar Blueprint	Forma Blueprint	Galatine Prime Blueprint
Axi	G2	Wukong Prime Neuroptics	Akbolto Prime Blueprint	Burston Prime Receiver	Tipedo Prime Ornament	Redeemer Prime Blueprint	Gram Prime Handle
Axi	G3	Lex Prime Blueprint	Forma Blueprint	Ninkondi Prime Blueprint	Burston Prime Barrel	Kronen Prime Handle	Gram Prime Handle
Axi	G4	Fang Prime Blueprint	Aksomati Prime Receiver	Tekko Prime Gauntlet	Pangolin Prime Blade	Burston Prime Barrel	Gram Prime Handle
Axi	G5	Chroma Prime Blueprint	Tiberon Prime Receiver	Burston Prime Stock	Zephyr Prime Blueprint	Forma Blueprint	Gram Prime Handle
Axi	G6	Aksomati Prime Blueprint	Karyst Prime Blueprint	Forma Blueprint	Braton Prime Stock	Nezha Prime Blueprint	Gara Prime Blueprint
Axi	G7	Gara Prime Systems	Burston Prime Blueprint	Inaros Prime Systems	Tenora Prime Stock	Astilla Prime Blueprint	Garuda Prime Systems
Axi	H1	Forma Blueprint	Fragor Prime Head	Vectis Prime Barrel	Akstiletto Prime Receiver	Trinity Prime Chassis	Helios Prime Cerebrum
Axi	H2	Oberon Prime Chassis	Lex Prime Receiver	Fang Prime Handle	Trinity Prime Chassis	Akstiletto Prime Barrel	Helios Prime Cerebrum
Axi	H3	Kronen Prime Blueprint	Cernos Prime Grip	Helios Prime Carapace	Burston Prime Barrel	Forma Blueprint	Hydroid Prime Systems
Axi	H4	Mesa Prime Chassis	Mirage Prime Chassis	Paris Prime Upper Limb	Akbolto Prime Link	Forma Blueprint	Hydroid Prime Systems
Axi	H5	Banshee Prime Neuroptics	Euphona Prime Blueprint	Akbolto Prime Blueprint	Mirage Prime Systems	Forma Blueprint	Helios Prime Cerebrum
Axi	I1	Pangolin Prime Handle	Panthera Prime Blueprint	Dethcube Prime Systems	Volnus Prime Head	Forma Blueprint	Inaros Prime Neuroptics
Axi	I2	Strun Prime Receiver	Tenora Prime Blueprint	Forma Blueprint	Gara Prime Chassis	Baza Prime Barrel	Inaros Prime Neuroptics
Axi	K1	Odonata Prime Harness	Hikou Prime Pouch	Lex Prime Barrel	Forma Blueprint	Akstiletto Prime Receiver	Kavasa Prime Buckle
Axi	K2	Orthos Prime Handle	Sybaris Prime Blueprint	Forma Blueprint	Cernos Prime String	Galatine Prime Handle	Kronen Prime Blade
Axi	K3	Paris Prime Blueprint	Tiberon Prime Receiver	Cernos Prime Grip	Pyrana Prime Receiver	Banshee Prime Blueprint	Kronen Prime Blade
Axi	K4	Paris Prime Blueprint	Forma Blueprint	Sybaris Prime Stock	Kogake Prime Blueprint	Destreza Prime Blueprint	Kronen Prime Blade
Axi	K5	Ballistica Prime Lower Limb	Braton Prime Blueprint	Forma Blueprint	Hydroid Prime Blueprint	Equinox Prime Blueprint	Kronen Prime Blade
Axi	K6	Braton Prime Blueprint	Octavia Prime Neuroptics	Forma Blueprint	Harrow Prime Blueprint	Inaros Prime Chassis	Karyst Prime Blade
Axi	K7	Forma Blueprint	Paris Prime Blueprint	Karyst Prime Blueprint	Corvas Prime Blueprint	Gara Prime Chassis	Knell Prime Barrel
Axi	L1	Reaper Prime Blueprint	Wyrm Prime Carapace	Latron Prime Blueprint	Forma Blueprint	Glaive Prime Blade	Loki Prime Systems
Axi	L2	Orthos Prime Handle	Braton Prime Blueprint	Nami Skyla Prime Blueprint	Forma Blueprint	Tiberon Prime Blueprint	Limbo Prime Neuroptics
Axi	L3	Nami Skyla Prime Blueprint	Kronen Prime Blueprint	Fang Prime Handle	Akjagara Prime Receiver	Zephyr Prime Chassis	Limbo Prime Chassis
Axi	L4	Forma Blueprint	Bo Prime Ornament	Wyrm Prime Carapace	Volt Prime Systems	Odonata Prime Blueprint	Loki Prime Systems
Axi	L5	Fang Prime Blueprint	Burston Prime Blueprint	Rubico Prime Stock	Akbronco Prime Link	Kronen Prime Handle	Limbo Prime Chassis
Axi	M1	Zhuge Prime String	Lex Prime Barrel	Mesa Prime Chassis	Orthos Prime Blueprint	Rubico Prime Barrel	Mirage Prime Blueprint
Axi	M2	Bronco Prime Receiver	Titania Prime Chassis	Burston Prime Blueprint	Panthera Prime Stock	Nezha Prime Blueprint	Magnus Prime Barrel
Axi	M3	Akjagara Prime Blueprint	Fang Prime Blade	Forma Blueprint	Hydroid Prime Neuroptics	Ballistica Prime Upper Limb	Mesa Prime Neuroptics
Axi	N1	Braton Prime Blueprint	Forma Blueprint	Fang Prime Blade	Akstiletto Prime Link	Odonata Prime Wings	Ash Prime Systems
Axi	N2	Carrier Prime Carapace	Lex Prime Receiver	Bronco Prime Blueprint	Forma Blueprint	Ash Prime Neuroptics	Nikana Prime Hilt
Axi	N3	Paris Prime Upper Limb	Dual Kamas Prime Blueprint	Forma Blueprint	Volt Prime Blueprint	Bronco Prime Barrel	Nekros Prime Blueprint
Axi	N4	Cernos Prime Upper Limb	Nekros Prime Chassis	Galatine Prime Blade	Hydroid Prime Neuroptics	Fragor Prime Handle	Nikana Prime Hilt
Axi	N5	Euphona Prime Blueprint	Oberon Prime Chassis	Lex Prime Barrel	Nekros Prime Neuroptics	Helios Prime Systems	Nami Skyla Prime Blade
Axi	N6	Nikana Prime Blueprint	Braton Prime Barrel	Lex Prime Receiver	Saryn Prime Blueprint	Braton Prime Receiver	Nikana Prime Hilt
Axi	N7	Baza Prime Receiver	Astilla Prime Receiver	Octavia Prime Systems	Dethcube Prime Carapace	Forma Blueprint	Nezha Prime Chassis
Axi	O1	Euphona Prime Blueprint	Paris Prime Blueprint	Forma Blueprint	Akstiletto Prime Receiver	Galatine Prime Handle	Oberon Prime Systems
Axi	O2	Galatine Prime Blade	Paris Prime String	Fang Prime Blade	Tiberon Prime Blueprint	Helios Prime Systems	Oberon Prime Systems
Axi	O3	Destreza Prime Handle	Burston Prime Stock	Forma Blueprint	Venka Prime Blueprint	Zephyr Prime Chassis	Oberon Prime Systems
Axi	O4	Destreza Prime Handle	Zephyr Prime Neuroptics	Lex Prime Blueprint	Gram Prime Blueprint	Tiberon Prime Blueprint	Oberon Prime Systems
Axi	O5	Lex Prime Receiver	Nezha Prime Systems	Panthera Prime Blueprint	Inaros Prime Chassis	Fang Prime Handle	Octavia Prime Blueprint
Axi	P1	Forma Blueprint	Equinox Prime Chassis	Akjagara Prime Blueprint	Ninkondi Prime Chain	Kogake Prime Blueprint	Pyrana Prime Blueprint
Axi	P2	Dethcube Prime Systems	Bronco Prime Blueprint	Tiberon Prime Receiver	Destreza Prime Blueprint	Rubico Prime Stock	Pyrana Prime Blueprint
Axi	P3	Forma Blueprint	Bronco Prime Blueprint	Zhuge Prime Grip	Wukong Prime Systems	Burston Prime Barrel	Pyrana Prime Blueprint
Axi	P4	Pandero Prime Blueprint	Knell Prime Blueprint	Fang Prime Handle	Strun Prime Barrel	Corinth Prime Receiver	Pangolin Prime Blueprint
Axi	R1	Boltor Prime Stock	Mag Prime Systems	Boar Prime Receiver	Dakra Prime Blueprint	Ankyros Prime Blade	Rhino Prime Blueprint
Axi	R2	Lex Prime Receiver	Forma Blueprint	Destreza Prime Handle	Mirage Prime Systems	Chroma Prime Chassis	Redeemer Prime Handle
Axi	R3	Stradavar Prime Stock	Fang Prime Blade	Zephyr Prime Neuroptics	Wukong Prime Systems	Akjagara Prime Link	Redeemer Prime Handle
Axi	S1	Forma Blueprint	Bronco Prime Receiver	Bronco Prime Blueprint	Akbronco Prime Link	Trinity Prime Blueprint	Scindo Prime Blade
Axi	S10	Nagantaka Prime Barrel	Guandao Prime Blade	Forma Blueprint	Bronco Prime Barrel	Panthera Prime Stock	Scourge Prime Barrel
Axi	S11	Akbronco Prime Blueprint	Panthera Prime Blueprint	Fang Prime Handle	Octavia Prime Chassis	Paris Prime Upper Limb	Scourge Prime Blueprint
Axi	S2	Wyrm Prime Blueprint	Loki Prime Blueprint	Latron Prime Receiver	Forma Blueprint	Ember Prime Systems	Sicarus Prime Receiver
Axi	S3	Rhino Prime Systems	Boltor Prime Stock	Hikou Prime Stars	Nyx Prime Systems	Ankyros Prime Blade	Scindo Prime Blade
Axi	S4	Mag Prime Systems	Boar Prime Receiver	Forma Blueprint	Nova Prime Blueprint	Dakra Prime Blade	Soma Prime Stock
Axi	S5	Saryn Prime Systems	Venka Prime Blades	Cernos Prime Grip	Nikana Prime Blade	Forma Blueprint	Spira Prime Pouch
Axi	S6	Nekros Prime Chassis	Burston Prime Blueprint	Forma Blueprint	Tigris Prime Barrel	Silva & Aegis Prime Blade	Sybaris Prime Barrel
Axi	S7	Forma Blueprint	Nova Prime Systems	Vasto Prime Barrel	Trinity Prime Chassis	Kavasa Prime Kubrow Collar Blueprint	Soma Prime Stock
Axi	S8	Cernos Prime Grip	Hikou Prime Blueprint	Forma Blueprint	Venka Prime Blueprint	Nyx Prime Chassis	Scindo Prime Blade
Axi	S9	Guandao Prime Blade	Titania Prime Chassis	Forma Blueprint	Nezha Prime Blueprint	Gara Prime Chassis	Scourge Prime Blueprint
Axi	T1	Vectis Prime Barrel	Odonata Prime Harness	Saryn Prime Systems	Akstiletto Prime Receiver	Burston Prime Barrel	Tigris Prime Blueprint
Axi	T2	Kogake Prime Boot	Stradavar Prime Stock	Mirage Prime Neuroptics	Forma Blueprint	Burston Prime Barrel	Tipedo Prime Handle
Axi	T3	Limbo Prime Systems	Paris Prime Lower Limb	Burston Prime Blueprint	Equinox Prime Blueprint	Forma Blueprint	Tipedo Prime Handle
Axi	T4	Corinth Prime Blueprint	Wukong Prime Neuroptics	Braton Prime Blueprint	Zhuge Prime Blueprint	Equinox Prime Blueprint	Tipedo Prime Handle
Axi	T5	Zhuge Prime String	Chroma Prime Blueprint	Rubico Prime Receiver	Gram Prime Blueprint	Forma Blueprint	Titania Prime Systems
Axi	T6	Forma Blueprint	Paris Prime String	Zakti Prime Receiver	Tenora Prime Stock	Wukong Prime Chassis	Tekko Prime Blade
Axi	T7	Inaros Prime Systems	Bronco Prime Receiver	Forma Blueprint	Pangolin Prime Blade	Corinth Prime Receiver	Tekko Prime Blade
Axi	T8	Paris Prime Lower Limb	Strun Prime Receiver	Forma Blueprint	Magnus Prime Receiver	Harrow Prime Neuroptics	Tenora Prime Receiver
Axi	V1	Odonata Prime Systems	Carrier Prime Systems	Dual Kamas Prime Blueprint	Volt Prime Neuroptics	Forma Blueprint	Vauban Prime Chassis
Axi	V10	Hikou Prime Stars	Cernos Prime String	Lex Prime Receiver	Forma Blueprint	Valkyr Prime Systems	Venka Prime Gauntlet
Axi	V2	Hikou Prime Pouch	Trinity Prime Systems	Mag Prime Neuroptics	Braton Prime Receiver	Boar Prime Barrel	Vectis Prime Stock
Axi	V3	Trinity Prime Neuroptics	Vasto Prime Barrel	Trinity Prime Systems	Orthos Prime Blueprint	Braton Prime Receiver	Vectis Prime Stock
Axi	V4	Paris Prime Blueprint	Trinity Prime Systems	Odonata Prime Harness	Cernos Prime Blueprint	Forma Blueprint	Vectis Prime Stock
Axi	V5	Venka Prime Blades	Dual Kamas Prime Blueprint	Forma Blueprint	Braton Prime Receiver	Tigris Prime Receiver	Valkyr Prime Chassis
Axi	V6	Braton Prime Blueprint	Ballistica Prime Lower Limb	Forma Blueprint	Fang Prime Handle	Galatine Prime Handle	Valkyr Prime Chassis
Axi	V7	Nami Skyla Prime Blueprint	Lex Prime Barrel	Valkyr Prime Blueprint	Kogake Prime Blueprint	Silva & Aegis Prime Blueprint	Venka Prime Gauntlet
Axi	V8	Odonata Prime Systems	Forma Blueprint	Lex Prime Receiver	Volt Prime Chassis	Odonata Prime Blueprint	Volt Prime Neuroptics
Axi	V9	Valkyr Prime Blueprint	Saryn Prime Neuroptics	Forma Blueprint	Valkyr Prime Systems	Spira Prime Blade	Venka Prime Gauntlet
Axi	W1	Aksomati Prime Receiver	Stradavar Prime Receiver	Bronco Prime Receiver	Inaros Prime Blueprint	Forma Blueprint	Wukong Prime Blueprint
Axi	W2	Baza Prime Receiver	Forma Blueprint	Tekko Prime Gauntlet	Bronco Prime Barrel	Inaros Prime Blueprint	Wukong Prime Blueprint
Axi	Z1	Wukong Prime Neuroptics	Forma Blueprint	Panthera Prime Blueprint	Baza Prime Barrel	Zhuge Prime Blueprint	Zakti Prime Blueprint
Lith	A1	Braton Prime Barrel	Forma Blueprint	Vasto Prime Receiver	Saryn Prime Neuroptics	Vectis Prime Blueprint	Akstiletto Prime Blueprint
Lith	A2	Lex Prime Barrel	Forma Blueprint	Valkyr Prime Blueprint	Akbronco Prime Link	Cernos Prime Blueprint	Akstiletto Prime Blueprint
Lith	A3	Rubico Prime Receiver	Orthos Prime Handle	Lex Prime Blueprint	Akbolto Prime Barrel	Tiberon Prime Blueprint	Akjagara Prime Barrel
Lith	A4	Corinth Prime Blueprint	Burston Prime Receiver	Forma Blueprint	Ivara Prime Systems	Baza Prime Barrel	Astilla Prime Barrel
Lith	B1	Mag Prime Neuroptics	Ankyros Prime Blueprint	Forma Blueprint	Rhino Prime Neuroptics	Boltor Prime Receiver	Boar Prime Stock
Lith	B2	Paris Prime Lower Limb	Tigris Prime Stock	Forma Blueprint	Orthos Prime Blade	Braton Prime Receiver	Ballistica Prime Blueprint
Lith	B3	Limbo Prime Systems	Forma Blueprint	Burston Prime Blueprint	Orthos Prime Blade	Cernos Prime String	Ballistica Prime Blueprint
Lith	B4	Nyx Prime Blueprint	Forma Blueprint	Ankyros Prime Blueprint	Rhino Prime Neuroptics	Scindo Prime Blueprint	Boltor Prime Blueprint
Lith	B5	Banshee Prime Neuroptics	Lex Prime Receiver	Oberon Prime Chassis	Orthos Prime Blade	Rubico Prime Stock	Ballistica Prime Blueprint
Lith	B6	Lex Prime Barrel	Fang Prime Blueprint	Limbo Prime Systems	Orthos Prime Blueprint	Redeemer Prime Blueprint	Ballistica Prime Blueprint
Lith	B7	Lex Prime Receiver	Forma Blueprint	Tipedo Prime Blueprint	Orthos Prime Blueprint	Aksomati Prime Barrel	Baza Prime Blueprint
Lith	B8	Burston Prime Stock	Dethcube Prime Systems	Aksomati Prime Blueprint	Ivara Prime Blueprint	Atlas Prime Chassis	Baza Prime Blueprint
Lith	C1	Fang Prime Blade	Nova Prime Neuroptics	Nova Prime Systems	Kavasa Prime Band	Forma Blueprint	Carrier Prime Cerebrum
Lith	C2	Venka Prime Blades	Paris Prime Upper Limb	Bronco Prime Receiver	Nami Skyla Prime Handle	Akbolto Prime Barrel	Cernos Prime Lower Limb
Lith	C3	Lex Prime Blueprint	Silva & Aegis Prime Hilt	Sybaris Prime Blueprint	Braton Prime Blueprint	Helios Prime Blueprint	Chroma Prime Neuroptics
Lith	C4	Forma Blueprint	Burston Prime Receiver	Paris Prime Lower Limb	Orthos Prime Blade	Braton Prime Stock	Chroma Prime Neuroptics
Lith	C5	Forma Blueprint	Saryn Prime Neuroptics	Spira Prime Blueprint	Venka Prime Blueprint	Valkyr Prime Neuroptics	Cernos Prime Lower Limb
Lith	C6	Equinox Prime Chassis	Forma Blueprint	Fang Prime Blade	Braton Prime Receiver	Mesa Prime Blueprint	Corinth Prime Stock
Lith	C7	Valkyr Prime Blueprint	Hikou Prime Pouch	Forma Blueprint	Nyx Prime Systems	Scindo Prime Blueprint	Cernos Prime Lower Limb
Lith	C8	Zephyr Prime Neuroptics	Tiberon Prime Blueprint	Burston Prime Receiver	Rubico Prime Stock	Forma Blueprint	Chroma Prime Neuroptics
Lith	C9	Octavia Prime Systems	Braton Prime Barrel	Paris Prime Upper Limb	Scourge Prime Handle	Pandero Prime Barrel	Corinth Prime Stock
Lith	D1	Atlas Prime Blueprint	Lex Prime Receiver	Burston Prime Receiver	Mesa Prime Blueprint	Ninkondi Prime Chain	Dethcube Prime Blueprint
Lith	D2	Equinox Prime Chassis	Wukong Prime Neuroptics	Forma Blueprint	Fang Prime Handle	Redeemer Prime Blueprint	Dethcube Prime Cerebrum
Lith	D3	Burston Prime Stock	Ivara Prime Neuroptics	Stradavar Prime Receiver	Ninkondi Prime Chain	Corinth Prime Receiver	Dethcube Prime Blueprint
Lith	D4	Bronco Prime Blueprint	Orthos Prime Handle	Forma Blueprint	Ninkondi Prime Chain	Zakti Prime Barrel	Dethcube Prime Blueprint
Lith	F1	Forma Blueprint	Paris Prime Blueprint	Fang Prime Blade	Scindo Prime Blueprint	Odonata Prime Blueprint	Fragor Prime Blueprint
Lith	F2	Odonata Prime Systems	Hikou Prime Stars	Paris Prime Upper Limb	Burston Prime Barrel	Fang Prime Handle	Vauban Prime Blueprint
Lith	G1	Latron Prime Blueprint	Frost Prime Chassis	Reaper Prime Handle	Ember Prime Systems	Forma Blueprint	Glaive Prime Blueprint
Lith	G2	Bo Prime Blueprint	Wyrm Prime Cerebrum	Latron Prime Stock	Loki Prime Chassis	Frost Prime Systems	Glaive Prime Blueprint
Lith	G3	Zhuge Prime String	Octavia Prime Neuroptics	Paris Prime Upper Limb	Forma Blueprint	Panthera Prime Stock	Guandao Prime Handle
Lith	G4	Octavia Prime Neuroptics	Fang Prime Blueprint	Forma Blueprint	Titania Prime Neuroptics	Inaros Prime Blueprint	Guandao Prime Handle
Lith	G5	Octavia Prime Neuroptics	Volnus Prime Blueprint	Lex Prime Receiver	Forma Blueprint	Strun Prime Stock	Garuda Prime Neuroptics
Lith	H1	Saryn Prime Systems	Paris Prime Blueprint	Bronco Prime Blueprint	Akstiletto Prime Barrel	Nami Skyla Prime Handle	Helios Prime Cerebrum
Lith	H2	Lex Prime Barrel	Forma Blueprint	Zephyr Prime Neuroptics	Oberon Prime Blueprint	Orthos Prime Blueprint	Helios Prime Cerebrum
Lith	H3	Astilla Prime Receiver	Paris Prime String	Nezha Prime Systems	Forma Blueprint	Titania Prime Blueprint	Harrow Prime Systems
Lith	H4	Braton Prime Barrel	Forma Blueprint	Paris Prime String	Inaros Prime Chassis	Nezha Prime Blueprint	Harrow Prime Systems
Lith	I1	Fang Prime Blade	Pandero Prime Blueprint	Forma Blueprint	Burston Prime Barrel	Karyst Prime Handle	Ivara Prime Chassis
Lith	K1	Fang Prime Blueprint	Burston Prime Stock	Odonata Prime Harness	Tigris Prime Barrel	Trinity Prime Blueprint	Kavasa Prime Buckle
Lith	K2	Zephyr Prime Neuroptics	Braton Prime Barrel	Rubico Prime Receiver	Forma Blueprint	Braton Prime Receiver	Kogake Prime Gauntlet
Lith	K3	Rubico Prime Receiver	Forma Blueprint	Paris Prime Upper Limb	Tiberon Prime Blueprint	Wukong Prime Chassis	Kronen Prime Blade
Lith	K4	Nova Prime Neuroptics	Forma Blueprint	Dual Kamas Prime Blueprint	Trinity Prime Blueprint	Soma Prime Receiver	Kavasa Prime Buckle
Lith	K5	Mirage Prime Chassis	Forma Blueprint	Helios Prime Carapace	Akbolto Prime Barrel	Banshee Prime Systems	Kogake Prime Gauntlet
Lith	K6	Bronco Prime Blueprint	Atlas Prime Blueprint	Aksomati Prime Receiver	Paris Prime Grip	Gara Prime Chassis	Karyst Prime Blade
Lith	K7	Paris Prime Lower Limb	Baza Prime Receiver	Guandao Prime Blade	Octavia Prime Chassis	Forma Blueprint	Karyst Prime Blade
Lith	K8	Braton Prime Receiver	Forma Blueprint	Lex Prime Receiver	Limbo Prime Neuroptics	Trinity Prime Neuroptics	Kavasa Prime Buckle
Lith	L1	Destreza Prime Handle	Kogake Prime Boot	Forma Blueprint	Zhuge Prime Blueprint	Equinox Prime Neuroptics	Limbo Prime Neuroptics
Lith	L2	Pyrana Prime Barrel	Equinox Prime Chassis	Redeemer Prime Blade	Braton Prime Receiver	Tekko Prime Blueprint	Limbo Prime Neuroptics
Lith	L3	Pyrana Prime Barrel	Dual Kamas Prime Blueprint	Lex Prime Barrel	Trinity Prime Chassis	Kavasa Prime Band	Limbo Prime Chassis
Lith	M1	Lex Prime Receiver	Boar Prime Receiver	Forma Blueprint	Soma Prime Blueprint	Dakra Prime Blueprint	Mag Prime Blueprint
Lith	M2	Nova Prime Neuroptics	Soma Prime Barrel	Dakra Prime Handle	Boar Prime Barrel	Forma Blueprint	Mag Prime Blueprint
Lith	M3	Silva & Aegis Prime Hilt	Forma Blueprint	Paris Prime Blueprint	Rubico Prime Stock	Oberon Prime Blueprint	Mesa Prime Neuroptics
Lith	M4	Paris Prime Blueprint	Akjagara Prime Blueprint	Equinox Prime Chassis	Stradavar Prime Barrel	Destreza Prime Blueprint	Mesa Prime Neuroptics
Lith	M5	Redeemer Prime Blade	Burston Prime Stock	Atlas Prime Blueprint	Titania Prime Blueprint	Stradavar Prime Barrel	Mesa Prime Neuroptics
Lith	M6	Bronco Prime Blueprint	Inaros Prime Systems	Forma Blueprint	Dethcube Prime Carapace	Akjagara Prime Receiver	Mesa Prime Systems
Lith	M7	Kogake Prime Boot	Akbolto Prime Blueprint	Banshee Prime Neuroptics	Euphona Prime Barrel	Forma Blueprint	Mirage Prime Blueprint
Lith	N1	Nekros Prime Chassis	Bronco Prime Blueprint	Fang Prime Blade	Akbronco Prime Link	Forma Blueprint	Nova Prime Chassis
Lith	N10	Braton Prime Stock	Orthos Prime Handle	Forma Blueprint	Titania Prime Neuroptics	Inaros Prime Blueprint	Nezha Prime Neuroptics
Lith	N11	Fang Prime Blueprint	Lex Prime Blueprint	Pandero Prime Blueprint	Astilla Prime Stock	Zakti Prime Barrel	Nezha Prime Chassis
Lith	N12	Astilla Prime Receiver	Lex Prime Barrel	Nezha Prime Systems	Burston Prime Barrel	Strun Prime Barrel	Nidus Prime Chassis
Lith	N2	Paris Prime Upper Limb	Spira Prime Blueprint	Carrier Prime Systems	Helios Prime Blueprint	Kavasa Prime Band	Nekros Prime Systems
Lith	N3	Sybaris Prime Stock	Burston Prime Receiver	Valkyr Prime Blueprint	Braton Prime Blueprint	Forma Blueprint	Nekros Prime Blueprint
Lith	N4	Bronco Prime Blueprint	Forma Blueprint	Gram Prime Blade	Atlas Prime Systems	Ivara Prime Blueprint	Ninkondi Prime Handle
Lith	N5	Stradavar Prime Stock	Zhuge Prime String	Forma Blueprint	Braton Prime Receiver	Ivara Prime Blueprint	Ninkondi Prime Handle
Lith	N6	Fang Prime Blade	Zhuge Prime Grip	Aksomati Prime Receiver	Stradavar Prime Barrel	Inaros Prime Chassis	Nezha Prime Neuroptics
Lith	N7	Octavia Prime Systems	Braton Prime Blueprint	Lex Prime Barrel	Ivara Prime Blueprint	Pangolin Prime Blade	Nidus Prime Chassis
Lith	N8	Aksomati Prime Blueprint	Astilla Prime Receiver	Pandero Prime Blueprint	Zakti Prime Barrel	Titania Prime Neuroptics	Nezha Prime Neuroptics
Lith	N9	Redeemer Prime Blade	Burston Prime Stock	Forma Blueprint	Mesa Prime Blueprint	Akjagara Prime Receiver	Nami Skyla Prime Blade
Lith	O1	Rubico Prime Receiver	Burston Prime Blueprint	Ballistica Prime Lower Limb	Akbolto Prime Barrel	Forma Blueprint	Oberon Prime Neuroptics
Lith	O2	Volt Prime Blueprint	Bo Prime Blueprint	Wyrm Prime Cerebrum	Loki Prime Chassis	Forma Blueprint	Odonata Prime Wings
