"Relic_Name","C1","C2","C3","U1","U2","Rare","Class","Type","Refinement","C1_Raw","C2_Raw","C3_Raw","U1_Raw","U2_Raw","Rare_Raw"
"Axi A6 Relic (Intact) ","Orthos Prime Handle (25.33%)","Braton Prime Stock (25.33%)","Chroma Prime Blueprint (25.33%)","Zhuge Prime Blueprint (11.0%)","Tipedo Prime Ornament (11.0%)","Atlas Prime Neuroptics (2.0%)","Axi","A6","Intact","Orthos Prime Handle","Braton Prime Stock","Chroma Prime Blueprint","Zhuge Prime Blueprint","Tipedo Prime Ornament","Atlas Prime Neuroptics"
"Axi A7 Relic (Intact) ","Carrier Prime Systems (25.33%)","Braton Prime Blueprint (25.33%)","Akstiletto Prime Receiver (25.33%)","Fragor Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Ash Prime Systems (2.0%)","Axi","A7","Intact","Carrier Prime Systems","Braton Prime Blueprint","Akstiletto Prime Receiver","Fragor Prime Blueprint","Forma Blueprint","Ash Prime Systems"
"Axi A8 Relic (Intact) ","Pyrana Prime Barrel (25.33%)","Braton Prime Stock (25.33%)","Equinox Prime Chassis (25.33%)","Gram Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Aksomati Prime Link (2.0%)","Axi","A8","Intact","Pyrana Prime Barrel","Braton Prime Stock","Equinox Prime Chassis","Gram Prime Blueprint","Forma Blueprint","Aksomati Prime Link"
"Axi A9 Relic (Intact) ","Lex Prime Blueprint (25.33%)","Rubico Prime Stock (25.33%)","Gram Prime Blade (25.33%)","Ivara Prime Systems (11.0%)","Akbronco Prime Link (11.0%)","Atlas Prime Neuroptics (2.0%)","Axi","A9","Intact","Lex Prime Blueprint","Rubico Prime Stock","Gram Prime Blade","Ivara Prime Systems","Akbronco Prime Link","Atlas Prime Neuroptics"
"Axi B1 Relic (Intact) ","Euphona Prime Blueprint (25.33%)","Ash Prime Chassis (25.33%)","Fang Prime Blade (25.33%)","Cernos Prime Blueprint (11.0%)","Kavasa Prime Buckle (11.0%)","Banshee Prime Systems (2.0%)","Axi","B1","Intact","Euphona Prime Blueprint","Ash Prime Chassis","Fang Prime Blade","Cernos Prime Blueprint","Kavasa Prime Buckle","Banshee Prime Systems"
"Axi B2 Relic (Intact) ","Fragor Prime Head (25.33%)","Sybaris Prime Blueprint (25.33%)","Fang Prime Blade (25.33%)","Forma Blueprint (11.0%)","Orthos Prime Blueprint (11.0%)","Banshee Prime Systems (2.0%)","Axi","B2","Intact","Fragor Prime Head","Sybaris Prime Blueprint","Fang Prime Blade","Forma Blueprint","Orthos Prime Blueprint","Banshee Prime Systems"
"Axi B3 Relic (Intact) ","Paris Prime Lower Limb (25.33%)","Stradavar Prime Stock (25.33%)","Forma Blueprint (25.33%)","Zhuge Prime Receiver (11.0%)","Atlas Prime Chassis (11.0%)","Baza Prime Stock (2.0%)","Axi","B3","Intact","Paris Prime Lower Limb","Stradavar Prime Stock","Forma Blueprint","Zhuge Prime Receiver","Atlas Prime Chassis","Baza Prime Stock"
"Axi B4 Relic (Intact) ","Aksomati Prime Blueprint (25.33%)","Akjagara Prime Blueprint (25.33%)","Paris Prime Lower Limb (25.33%)","Ivara Prime Blueprint (11.0%)","Karyst Prime Handle (11.0%)","Baza Prime Blueprint (2.0%)","Axi","B4","Intact","Aksomati Prime Blueprint","Akjagara Prime Blueprint","Paris Prime Lower Limb","Ivara Prime Blueprint","Karyst Prime Handle","Baza Prime Blueprint"
"Axi C1 Relic (Intact) ","Trinity Prime Neuroptics (25.33%)","Vectis Prime Barrel (25.33%)","Lex Prime Receiver (25.33%)","Orthos Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Cernos Prime Lower Limb (2.0%)","Axi","C1","Intact","Trinity Prime Neuroptics","Vectis Prime Barrel","Lex Prime Receiver","Orthos Prime Blueprint","Forma Blueprint","Cernos Prime Lower Limb"
"Axi C2 Relic (Intact) ","Forma Blueprint (25.33%)","Trinity Prime Systems (25.33%)","Braton Prime Blueprint (25.33%)","Silva & Aegis Prime Blade (11.0%)","Fragor Prime Handle (11.0%)","Cernos Prime Lower Limb (2.0%)","Axi","C2","Intact","Forma Blueprint","Trinity Prime Systems","Braton Prime Blueprint","Silva & Aegis Prime Blade","Fragor Prime Handle","Cernos Prime Lower Limb"
"Axi C3 Relic (Intact) ","Helios Prime Carapace (25.33%)","Forma Blueprint (25.33%)","Hydroid Prime Chassis (25.33%)","Banshee Prime Blueprint (11.0%)","Pyrana Prime Receiver (11.0%)","Chroma Prime Systems (2.0%)","Axi","C3","Intact","Helios Prime Carapace","Forma Blueprint","Hydroid Prime Chassis","Banshee Prime Blueprint","Pyrana Prime Receiver","Chroma Prime Systems"
"Axi C4 Relic (Intact) ","Braton Prime Blueprint (25.33%)","Hydroid Prime Chassis (25.33%)","Pyrana Prime Barrel (25.33%)","Sybaris Prime Receiver (11.0%)","Kogake Prime Blueprint (11.0%)","Chroma Prime Systems (2.0%)","Axi","C4","Intact","Braton Prime Blueprint","Hydroid Prime Chassis","Pyrana Prime Barrel","Sybaris Prime Receiver","Kogake Prime Blueprint","Chroma Prime Systems"
"Axi C5 Relic (Intact) ","Braton Prime Barrel (25.33%)","Panthera Prime Blueprint (25.33%)","Tekko Prime Gauntlet (25.33%)","Tipedo Prime Ornament (11.0%)","Akbronco Prime Link (11.0%)","Corinth Prime Barrel (2.0%)","Axi","C5","Intact","Braton Prime Barrel","Panthera Prime Blueprint","Tekko Prime Gauntlet","Tipedo Prime Ornament","Akbronco Prime Link","Corinth Prime Barrel"
"Axi C6 Relic (Intact) ","Pangolin Prime Handle (25.33%)","Karyst Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Pandero Prime Barrel (11.0%)","Ivara Prime Systems (11.0%)","Corinth Prime Barrel (2.0%)","Axi","C6","Intact","Pangolin Prime Handle","Karyst Prime Blueprint","Forma Blueprint","Pandero Prime Barrel","Ivara Prime Systems","Corinth Prime Barrel"
"Axi D1 Relic (Intact) ","Braton Prime Blueprint (25.33%)","Chroma Prime Blueprint (25.33%)","Tiberon Prime Receiver (25.33%)","Zhuge Prime Receiver (11.0%)","Forma Blueprint (11.0%)","Destreza Prime Blade (2.0%)","Axi","D1","Intact","Braton Prime Blueprint","Chroma Prime Blueprint","Tiberon Prime Receiver","Zhuge Prime Receiver","Forma Blueprint","Destreza Prime Blade"
"Axi D2 Relic (Intact) ","Aksomati Prime Receiver (25.33%)","Braton Prime Blueprint (25.33%)","Destreza Prime Handle (25.33%)","Forma Blueprint (11.0%)","Rubico Prime Stock (11.0%)","Destreza Prime Blade (2.0%)","Axi","D2","Intact","Aksomati Prime Receiver","Braton Prime Blueprint","Destreza Prime Handle","Forma Blueprint","Rubico Prime Stock","Destreza Prime Blade"
"Axi D3 Relic (Intact) ","Limbo Prime Systems (25.33%)","Lex Prime Blueprint (25.33%)","Braton Prime Stock (25.33%)","Pyrana Prime Receiver (11.0%)","Destreza Prime Blueprint (11.0%)","Dual Kamas Prime Blade (2.0%)","Axi","D3","Intact","Limbo Prime Systems","Lex Prime Blueprint","Braton Prime Stock","Pyrana Prime Receiver","Destreza Prime Blueprint","Dual Kamas Prime Blade"
"Axi E1 Relic (Intact) ","Latron Prime Barrel (25.33%)","Sicarus Prime Blueprint (25.33%)","Frost Prime Neuroptics (25.33%)","Glaive Prime Blade (11.0%)","Forma Blueprint (11.0%)","Ember Prime Blueprint (2.0%)","Axi","E1","Intact","Latron Prime Barrel","Sicarus Prime Blueprint","Frost Prime Neuroptics","Glaive Prime Blade","Forma Blueprint","Ember Prime Blueprint"
"Axi E2 Relic (Intact) ","Paris Prime Blueprint (25.33%)","Lex Prime Receiver (25.33%)","Braton Prime Stock (25.33%)","Bronco Prime Barrel (11.0%)","Forma Blueprint (11.0%)","Euphona Prime Receiver (2.0%)","Axi","E2","Intact","Paris Prime Blueprint","Lex Prime Receiver","Braton Prime Stock","Bronco Prime Barrel","Forma Blueprint","Euphona Prime Receiver"
"Axi G1 Relic (Intact) ","Nekros Prime Chassis (25.33%)","Saryn Prime Systems (25.33%)","Paris Prime Blueprint (25.33%)","Kavasa Prime Kubrow Collar Blueprint (11.0%)","Forma Blueprint (11.0%)","Galatine Prime Blueprint (2.0%)","Axi","G1","Intact","Nekros Prime Chassis","Saryn Prime Systems","Paris Prime Blueprint","Kavasa Prime Kubrow Collar Blueprint","Forma Blueprint","Galatine Prime Blueprint"
"Axi G2 Relic (Intact) ","Wukong Prime Neuroptics (25.33%)","Akbolto Prime Blueprint (25.33%)","Burston Prime Receiver (25.33%)","Tipedo Prime Ornament (11.0%)","Redeemer Prime Blueprint (11.0%)","Gram Prime Handle (2.0%)","Axi","G2","Intact","Wukong Prime Neuroptics","Akbolto Prime Blueprint","Burston Prime Receiver","Tipedo Prime Ornament","Redeemer Prime Blueprint","Gram Prime Handle"
"Axi G3 Relic (Intact) ","Lex Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Ninkondi Prime Blueprint (25.33%)","Burston Prime Barrel (11.0%)","Kronen Prime Handle (11.0%)","Gram Prime Handle (2.0%)","Axi","G3","Intact","Lex Prime Blueprint","Forma Blueprint","Ninkondi Prime Blueprint","Burston Prime Barrel","Kronen Prime Handle","Gram Prime Handle"
"Axi G4 Relic (Intact) ","Fang Prime Blueprint (25.33%)","Aksomati Prime Receiver (25.33%)","Tekko Prime Gauntlet (25.33%)","Pangolin Prime Blade (11.0%)","Burston Prime Barrel (11.0%)","Gram Prime Handle (2.0%)","Axi","G4","Intact","Fang Prime Blueprint","Aksomati Prime Receiver","Tekko Prime Gauntlet","Pangolin Prime Blade","Burston Prime Barrel","Gram Prime Handle"
"Axi G5 Relic (Intact) ","Chroma Prime Blueprint (25.33%)","Tiberon Prime Receiver (25.33%)","Burston Prime Stock (25.33%)","Zephyr Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Gram Prime Handle (2.0%)","Axi","G5","Intact","Chroma Prime Blueprint","Tiberon Prime Receiver","Burston Prime Stock","Zephyr Prime Blueprint","Forma Blueprint","Gram Prime Handle"
"Axi G6 Relic (Intact) ","Aksomati Prime Blueprint (25.33%)","Karyst Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Braton Prime Stock (11.0%)","Nezha Prime Blueprint (11.0%)","Gara Prime Blueprint (2.0%)","Axi","G6","Intact","Aksomati Prime Blueprint","Karyst Prime Blueprint","Forma Blueprint","Braton Prime Stock","Nezha Prime Blueprint","Gara Prime Blueprint"
"Axi H1 Relic (Intact) ","Forma Blueprint (25.33%)","Fragor Prime Head (25.33%)","Vectis Prime Barrel (25.33%)","Akstiletto Prime Receiver (11.0%)","Trinity Prime Chassis (11.0%)","Helios Prime Cerebrum (2.0%)","Axi","H1","Intact","Forma Blueprint","Fragor Prime Head","Vectis Prime Barrel","Akstiletto Prime Receiver","Trinity Prime Chassis","Helios Prime Cerebrum"
"Axi H2 Relic (Intact) ","Oberon Prime Chassis (25.33%)","Lex Prime Receiver (25.33%)","Fang Prime Handle (25.33%)","Trinity Prime Chassis (11.0%)","Akstiletto Prime Barrel (11.0%)","Helios Prime Cerebrum (2.0%)","Axi","H2","Intact","Oberon Prime Chassis","Lex Prime Receiver","Fang Prime Handle","Trinity Prime Chassis","Akstiletto Prime Barrel","Helios Prime Cerebrum"
"Axi H3 Relic (Intact) ","Kronen Prime Blueprint (25.33%)","Cernos Prime Grip (25.33%)","Helios Prime Carapace (25.33%)","Burston Prime Barrel (11.0%)","Forma Blueprint (11.0%)","Hydroid Prime Systems (2.0%)","Axi","H3","Intact","Kronen Prime Blueprint","Cernos Prime Grip","Helios Prime Carapace","Burston Prime Barrel","Forma Blueprint","Hydroid Prime Systems"
"Axi H4 Relic (Intact) ","Mesa Prime Chassis (25.33%)","Mirage Prime Chassis (25.33%)","Paris Prime Upper Limb (25.33%)","Akbolto Prime Link (11.0%)","Forma Blueprint (11.0%)","Hydroid Prime Systems (2.0%)","Axi","H4","Intact","Mesa Prime Chassis","Mirage Prime Chassis","Paris Prime Upper Limb","Akbolto Prime Link","Forma Blueprint","Hydroid Prime Systems"
"Axi H5 Relic (Intact) ","Banshee Prime Neuroptics (25.33%)","Euphona Prime Blueprint (25.33%)","Akbolto Prime Blueprint (25.33%)","Mirage Prime Systems (11.0%)","Forma Blueprint (11.0%)","Helios Prime Cerebrum (2.0%)","Axi","H5","Intact","Banshee Prime Neuroptics","Euphona Prime Blueprint","Akbolto Prime Blueprint","Mirage Prime Systems","Forma Blueprint","Helios Prime Cerebrum"
"Axi I1 Relic (Intact) ","Pangolin Prime Handle (25.33%)","Panthera Prime Blueprint (25.33%)","Dethcube Prime Systems (25.33%)","Volnus Prime Head (11.0%)","Forma Blueprint (11.0%)","Inaros Prime Neuroptics (2.0%)","Axi","I1","Intact","Pangolin Prime Handle","Panthera Prime Blueprint","Dethcube Prime Systems","Volnus Prime Head","Forma Blueprint","Inaros Prime Neuroptics"
"Axi I2 Relic (Intact) ","Strun Prime Receiver (25.33%)","Tenora Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Gara Prime Chassis (11.0%)","Baza Prime Barrel (11.0%)","Inaros Prime Neuroptics (2.0%)","Axi","I2","Intact","Strun Prime Receiver","Tenora Prime Blueprint","Forma Blueprint","Gara Prime Chassis","Baza Prime Barrel","Inaros Prime Neuroptics"
"Axi K1 Relic (Intact) ","Odonata Prime Harness (25.33%)","Hikou Prime Pouch (25.33%)","Lex Prime Barrel (25.33%)","Forma Blueprint (11.0%)","Akstiletto Prime Receiver (11.0%)","Kavasa Prime Buckle (2.0%)","Axi","K1","Intact","Odonata Prime Harness","Hikou Prime Pouch","Lex Prime Barrel","Forma Blueprint","Akstiletto Prime Receiver","Kavasa Prime Buckle"
"Axi K2 Relic (Intact) ","Orthos Prime Handle (25.33%)","Sybaris Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Cernos Prime String (11.0%)","Galatine Prime Handle (11.0%)","Kronen Prime Blade (2.0%)","Axi","K2","Intact","Orthos Prime Handle","Sybaris Prime Blueprint","Forma Blueprint","Cernos Prime String","Galatine Prime Handle","Kronen Prime Blade"
"Axi K3 Relic (Intact) ","Paris Prime Blueprint (25.33%)","Tiberon Prime Receiver (25.33%)","Cernos Prime Grip (25.33%)","Pyrana Prime Receiver (11.0%)","Banshee Prime Blueprint (11.0%)","Kronen Prime Blade (2.0%)","Axi","K3","Intact","Paris Prime Blueprint","Tiberon Prime Receiver","Cernos Prime Grip","Pyrana Prime Receiver","Banshee Prime Blueprint","Kronen Prime Blade"
"Axi K4 Relic (Intact) ","Paris Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Sybaris Prime Stock (25.33%)","Kogake Prime Blueprint (11.0%)","Destreza Prime Blueprint (11.0%)","Kronen Prime Blade (2.0%)","Axi","K4","Intact","Paris Prime Blueprint","Forma Blueprint","Sybaris Prime Stock","Kogake Prime Blueprint","Destreza Prime Blueprint","Kronen Prime Blade"
"Axi K5 Relic (Intact) ","Ballistica Prime Lower Limb (25.33%)","Braton Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Hydroid Prime Blueprint (11.0%)","Equinox Prime Blueprint (11.0%)","Kronen Prime Blade (2.0%)","Axi","K5","Intact","Ballistica Prime Lower Limb","Braton Prime Blueprint","Forma Blueprint","Hydroid Prime Blueprint","Equinox Prime Blueprint","Kronen Prime Blade"
"Axi L1 Relic (Intact) ","Reaper Prime Blueprint (25.33%)","Wyrm Prime Carapace (25.33%)","Latron Prime Blueprint (25.33%)","Forma Blueprint (11.0%)","Glaive Prime Blade (11.0%)","Loki Prime Systems (2.0%)","Axi","L1","Intact","Reaper Prime Blueprint","Wyrm Prime Carapace","Latron Prime Blueprint","Forma Blueprint","Glaive Prime Blade","Loki Prime Systems"
"Axi L2 Relic (Intact) ","Orthos Prime Handle (25.33%)","Braton Prime Blueprint (25.33%)","Nami Skyla Prime Blueprint (25.33%)","Forma Blueprint (11.0%)","Tiberon Prime Blueprint (11.0%)","Limbo Prime Neuroptics (2.0%)","Axi","L2","Intact","Orthos Prime Handle","Braton Prime Blueprint","Nami Skyla Prime Blueprint","Forma Blueprint","Tiberon Prime Blueprint","Limbo Prime Neuroptics"
"Axi L3 Relic (Intact) ","Nami Skyla Prime Blueprint (25.33%)","Kronen Prime Blueprint (25.33%)","Fang Prime Handle (25.33%)","Akjagara Prime Receiver (11.0%)","Zephyr Prime Chassis (11.0%)","Limbo Prime Chassis (2.0%)","Axi","L3","Intact","Nami Skyla Prime Blueprint","Kronen Prime Blueprint","Fang Prime Handle","Akjagara Prime Receiver","Zephyr Prime Chassis","Limbo Prime Chassis"
"Axi L4 Relic (Intact) ","Forma Blueprint (25.33%)","Bo Prime Ornament (25.33%)","Wyrm Prime Carapace (25.33%)","Volt Prime Systems (11.0%)","Odonata Prime Blueprint (11.0%)","Loki Prime Systems (2.0%)","Axi","L4","Intact","Forma Blueprint","Bo Prime Ornament","Wyrm Prime Carapace","Volt Prime Systems","Odonata Prime Blueprint","Loki Prime Systems"
"Axi L5 Relic (Intact) ","Fang Prime Blueprint (25.33%)","Burston Prime Blueprint (25.33%)","Rubico Prime Stock (25.33%)","Akbronco Prime Link (11.0%)","Kronen Prime Handle (11.0%)","Limbo Prime Chassis (2.0%)","Axi","L5","Intact","Fang Prime Blueprint","Burston Prime Blueprint","Rubico Prime Stock","Akbronco Prime Link","Kronen Prime Handle","Limbo Prime Chassis"
"Axi M1 Relic (Intact) ","Zhuge Prime String (25.33%)","Lex Prime Barrel (25.33%)","Mesa Prime Chassis (25.33%)","Orthos Prime Blueprint (11.0%)","Rubico Prime Barrel (11.0%)","Mirage Prime Blueprint (2.0%)","Axi","M1","Intact","Zhuge Prime String","Lex Prime Barrel","Mesa Prime Chassis","Orthos Prime Blueprint","Rubico Prime Barrel","Mirage Prime Blueprint"
"Axi M2 Relic (Intact) ","Bronco Prime Receiver (25.33%)","Titania Prime Chassis (25.33%)","Burston Prime Blueprint (25.33%)","Panthera Prime Stock (11.0%)","Nezha Prime Blueprint (11.0%)","Magnus Prime Barrel (2.0%)","Axi","M2","Intact","Bronco Prime Receiver","Titania Prime Chassis","Burston Prime Blueprint","Panthera Prime Stock","Nezha Prime Blueprint","Magnus Prime Barrel"
"Axi M3 Relic (Intact) ","Akjagara Prime Blueprint (25.33%)","Fang Prime Blade (25.33%)","Forma Blueprint (25.33%)","Hydroid Prime Neuroptics (11.0%)","Ballistica Prime Upper Limb (11.0%)","Mesa Prime Neuroptics (2.0%)","Axi","M3","Intact","Akjagara Prime Blueprint","Fang Prime Blade","Forma Blueprint","Hydroid Prime Neuroptics","Ballistica Prime Upper Limb","Mesa Prime Neuroptics"
"Axi N1 Relic (Intact) ","Braton Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Fang Prime Blade (25.33%)","Akstiletto Prime Link (11.0%)","Odonata Prime Wings (11.0%)","Ash Prime Systems (2.0%)","Axi","N1","Intact","Braton Prime Blueprint","Forma Blueprint","Fang Prime Blade","Akstiletto Prime Link","Odonata Prime Wings","Ash Prime Systems"
"Axi N2 Relic (Intact) ","Carrier Prime Carapace (25.33%)","Lex Prime Receiver (25.33%)","Bronco Prime Blueprint (25.33%)","Forma Blueprint (11.0%)","Ash Prime Neuroptics (11.0%)","Nikana Prime Hilt (2.0%)","Axi","N2","Intact","Carrier Prime Carapace","Lex Prime Receiver","Bronco Prime Blueprint","Forma Blueprint","Ash Prime Neuroptics","Nikana Prime Hilt"
"Axi N3 Relic (Intact) ","Paris Prime Upper Limb (25.33%)","Dual Kamas Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Volt Prime Blueprint (11.0%)","Bronco Prime Barrel (11.0%)","Nekros Prime Blueprint (2.0%)","Axi","N3","Intact","Paris Prime Upper Limb","Dual Kamas Prime Blueprint","Forma Blueprint","Volt Prime Blueprint","Bronco Prime Barrel","Nekros Prime Blueprint"
"Axi N4 Relic (Intact) ","Cernos Prime Upper Limb (25.33%)","Nekros Prime Chassis (25.33%)","Galatine Prime Blade (25.33%)","Hydroid Prime Neuroptics (11.0%)","Fragor Prime Handle (11.0%)","Nikana Prime Hilt (2.0%)","Axi","N4","Intact","Cernos Prime Upper Limb","Nekros Prime Chassis","Galatine Prime Blade","Hydroid Prime Neuroptics","Fragor Prime Handle","Nikana Prime Hilt"
"Axi N5 Relic (Intact) ","Euphona Prime Blueprint (25.33%)","Oberon Prime Chassis (25.33%)","Lex Prime Barrel (25.33%)","Nekros Prime Neuroptics (11.0%)","Helios Prime Systems (11.0%)","Nami Skyla Prime Blade (2.0%)","Axi","N5","Intact","Euphona Prime Blueprint","Oberon Prime Chassis","Lex Prime Barrel","Nekros Prime Neuroptics","Helios Prime Systems","Nami Skyla Prime Blade"
"Axi N6 Relic (Intact) ","Nikana Prime Blueprint (25.33%)","Braton Prime Barrel (25.33%)","Lex Prime Receiver (25.33%)","Saryn Prime Blueprint (11.0%)","Braton Prime Receiver (11.0%)","Nikana Prime Hilt (2.0%)","Axi","N6","Intact","Nikana Prime Blueprint","Braton Prime Barrel","Lex Prime Receiver","Saryn Prime Blueprint","Braton Prime Receiver","Nikana Prime Hilt"
"Axi N7 Relic (Intact) ","Baza Prime Receiver (25.33%)","Astilla Prime Receiver (25.33%)","Octavia Prime Systems (25.33%)","Dethcube Prime Carapace (11.0%)","Forma Blueprint (11.0%)","Nezha Prime Chassis (2.0%)","Axi","N7","Intact","Baza Prime Receiver","Astilla Prime Receiver","Octavia Prime Systems","Dethcube Prime Carapace","Forma Blueprint","Nezha Prime Chassis"
"Axi O1 Relic (Intact) ","Euphona Prime Blueprint (25.33%)","Paris Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Akstiletto Prime Receiver (11.0%)","Galatine Prime Handle (11.0%)","Oberon Prime Systems (2.0%)","Axi","O1","Intact","Euphona Prime Blueprint","Paris Prime Blueprint","Forma Blueprint","Akstiletto Prime Receiver","Galatine Prime Handle","Oberon Prime Systems"
"Axi O2 Relic (Intact) ","Galatine Prime Blade (25.33%)","Paris Prime String (25.33%)","Fang Prime Blade (25.33%)","Tiberon Prime Blueprint (11.0%)","Helios Prime Systems (11.0%)","Oberon Prime Systems (2.0%)","Axi","O2","Intact","Galatine Prime Blade","Paris Prime String","Fang Prime Blade","Tiberon Prime Blueprint","Helios Prime Systems","Oberon Prime Systems"
"Axi O3 Relic (Intact) ","Destreza Prime Handle (25.33%)","Burston Prime Stock (25.33%)","Forma Blueprint (25.33%)","Venka Prime Blueprint (11.0%)","Zephyr Prime Chassis (11.0%)","Oberon Prime Systems (2.0%)","Axi","O3","Intact","Destreza Prime Handle","Burston Prime Stock","Forma Blueprint","Venka Prime Blueprint","Zephyr Prime Chassis","Oberon Prime Systems"
"Axi O4 Relic (Intact) ","Destreza Prime Handle (25.33%)","Zephyr Prime Neuroptics (25.33%)","Lex Prime Blueprint (25.33%)","Gram Prime Blueprint (11.0%)","Tiberon Prime Blueprint (11.0%)","Oberon Prime Systems (2.0%)","Axi","O4","Intact","Destreza Prime Handle","Zephyr Prime Neuroptics","Lex Prime Blueprint","Gram Prime Blueprint","Tiberon Prime Blueprint","Oberon Prime Systems"
"Axi O5 Relic (Intact) ","Lex Prime Receiver (25.33%)","Nezha Prime Systems (25.33%)","Panthera Prime Blueprint (25.33%)","Inaros Prime Chassis (11.0%)","Fang Prime Handle (11.0%)","Octavia Prime Blueprint (2.0%)","Axi","O5","Intact","Lex Prime Receiver","Nezha Prime Systems","Panthera Prime Blueprint","Inaros Prime Chassis","Fang Prime Handle","Octavia Prime Blueprint"
