item_name	ducats	wa_price	ducats_per_platinum_wa
Oberon Prime Chassis	15	9.81	1.53
Oberon Prime Neuroptics	100	33.44	2.99
Oberon Prime Set	225	119.29	1.8900000000000001
Oberon Prime Systems	65	50.29	1.29
Octavia Prime Blueprint	100	44.17	2.26
Octavia Prime Chassis	45	6.44	6.99
Octavia Prime Neuroptics	15	3.89	3.85
Octavia Prime Set	175	61.94	2.83
Octavia Prime Systems	15	6.14	2.44
Odonata Prime Blueprint	45	10.77	4.18
Odonata Prime Harness	15	12.48	1.2
Odonata Prime Set	140	60.35	2.32
Odonata Prime Systems	15	9.64	1.56
Odonata Prime Wings	65	29.52	2.2
Orthos Prime Blade	45	4.87	9.24
Orthos Prime Blueprint	45	4.63	9.71
Orthos Prime Handle	15	3.45	4.35
Orthos Prime Set	150	18.93	7.92
Pandero Prime Barrel	45	4.61	9.77
Pandero Prime Blueprint	15	3.27	4.59
Pandero Prime Receiver	100	17.29	5.78
Pandero Prime Set	160	26.49	6.04
Pangolin Prime Blade	45	4.24	10.62
Pangolin Prime Blueprint	100	11.34	8.82
Pangolin Prime Handle	15	8.76	1.71
Pangolin Prime Set	160	19.75	8.1
Panthera Prime Barrel	100	13.28	7.53
Panthera Prime Blueprint	15	4.59	3.26
Panthera Prime Receiver	100	14.89	6.71
Panthera Prime Set	260	38.3	6.79
Panthera Prime Stock	45	5.04	8.92
Paris Prime Blueprint	15	4.65	3.23
Paris Prime Grip	45	4.5600000000000005	9.87
Paris Prime Lower Limb	15	3.3	4.55
Paris Prime Set	115	15.71	7.32
Paris Prime String	15	4.77	3.14
Paris Prime Upper Limb	25	3.89	6.43
Pyrana Prime Barrel	15	12.1	1.24
Pyrana Prime Blueprint	100	44.97	2.22
Pyrana Prime Receiver	45	11.87	3.79
Pyrana Prime Set	160	87.38	1.83
Reaper Prime Blade	45	19.32	2.33
Reaper Prime Blueprint	15	16.93	0.89
Reaper Prime Handle	15	32.33	0.46
Reaper Prime Set	75	80.58	0.93
Redeemer Prime Blade	15	9.62	1.56
Redeemer Prime Blueprint	45	10.34	4.35
Redeemer Prime Handle	100	55.3	1.81
Redeemer Prime Set	160	74.22	2.16
Rhino Prime Blueprint	100	41.34	2.42
Rhino Prime Chassis	65	16.16	4.02
Rhino Prime Neuroptics	45	19.69	2.2800000000000002
Rhino Prime Set	225	100.16	2.25
Rhino Prime Systems	15	9.11	1.65
Rubico Prime Barrel	25	9.92	2.52
Rubico Prime Blueprint	100	42.52	2.35
Rubico Prime Receiver	15	9.07	1.65
Rubico Prime Set	185	87.29	2.12
Rubico Prime Stock	45	14.14	3.18
Saryn Prime Blueprint	65	49.97	1.3
Saryn Prime Chassis	100	130.54	0.77
Saryn Prime Neuroptics	45	19.84	2.27
Saryn Prime Set	225	227.19	0.99
Saryn Prime Systems	15	11.12	1.35
Scindo Prime Blade	100	12.63	7.92
Scindo Prime Blueprint	45	4.97	9.05
Scindo Prime Handle	25	7.83	3.19
Scindo Prime Set	170	26.55	6.4
Sicarus Prime Barrel	15	14.78	1.01
Sicarus Prime Blueprint	15	8.22	1.83
Sicarus Prime Receiver	100	35.58	2.81
Sicarus Prime Set	130	57.76	2.25
Silva & Aegis Prime Blade	45	9.4	4.79
Silva & Aegis Prime Blueprint	45	9.67	4.65
Silva & Aegis Prime Guard	100	33.44	2.99
Silva & Aegis Prime Hilt	15	9.2	1.63
Silva & Aegis Prime Set	205	77.81	2.63
Soma Prime Barrel	15	11.73	1.28
Soma Prime Blueprint	15	9.52	1.57
Soma Prime Receiver	45	9.87	4.5600000000000005
Soma Prime Set	175	81.26	2.15
Soma Prime Stock	100	25.57	3.91
Spira Prime Blade	65	27.6	2.36
Spira Prime Blueprint	15	7.47	2.01
Spira Prime Pouch	100	48.59	2.06
Spira Prime Set	345	176.53	1.9500000000000002
Stradavar Prime Barrel	45	4.63	9.72
Stradavar Prime Blueprint	100	15.38	6.5
Stradavar Prime Receiver	15	9.09	1.65
Stradavar Prime Set	175	40.72	4.3
Stradavar Prime Stock	15	8.73	1.72
Strun Prime Barrel	45	5.05	8.9
Strun Prime Blueprint	100	18.91	5.29
Strun Prime Receiver	15	19.13	0.78
Strun Prime Set	205	71.11	2.88
Strun Prime Stock	45	8.53	5.28
Sybaris Prime Barrel	100	44.56	2.24
Sybaris Prime Blueprint	15	7.09	2.12
Sybaris Prime Receiver	45	9.88	4.55
Sybaris Prime Set	175	67.8	2.58
Sybaris Prime Stock	15	9.38	1.6
Tekko Prime Blade	100	30.11	3.32
Tekko Prime Blueprint	45	4.57	9.84
Tekko Prime Gauntlet	15	7.99	1.88
Tekko Prime Set	275	90.61	3.04
Tenora Prime Barrel	100	13.24	7.55
Tenora Prime Blueprint	15	4.63	3.24
Tenora Prime Receiver	100	13.95	7.17
Tenora Prime Set	260	46.95	5.54
Tenora Prime Stock	45	7.43	6.06
Tiberon Prime Barrel	65	15.78	4.12
Tiberon Prime Blueprint	25	4.55	5.5
Tiberon Prime Receiver	15	8.79	1.71
Tiberon Prime Set	205	59.21	3.46
Tiberon Prime Stock	100	24.87	4.02
Tigris Prime Barrel	45	9.01	5.0
Tigris Prime Blueprint	100	38.71	2.58
Tigris Prime Receiver	45	9.49	4.74
Tigris Prime Set	205	70.92	2.89
Tigris Prime Stock	15	9.45	1.5899999999999999
Tipedo Prime Blueprint	15	6.69	2.24
Tipedo Prime Handle	100	42.26	2.37
Tipedo Prime Ornament	45	14.66	3.07
Tipedo Prime Set	205	82.5	2.48
Titania Prime Blueprint	45	5.09	8.84
Titania Prime Chassis	15	7.38	2.03
Titania Prime Neuroptics	45	4.52	9.96
Titania Prime Set	205	41.94	4.89
Titania Prime Systems	100	16.6	6.02
Trinity Prime Blueprint	45	20.5	2.2
Trinity Prime Chassis	45	9.84	4.58
Trinity Prime Neuroptics	25	19.67	1.27
Trinity Prime Set	130	97.79	1.33
Trinity Prime Systems	15	19.68	0.76
Valkyr Prime Blueprint	15	7.98	1.88
Valkyr Prime Chassis	100	58.43	1.71
Valkyr Prime Neuroptics	45	12.33	3.65
Valkyr Prime Set	225	110.06	2.04
Valkyr Prime Systems	65	15.63	4.16
Vasto Prime Barrel	15	22.75	0.66
Vasto Prime Blueprint	45	14.19	3.17
Vasto Prime Receiver	15	21.02	0.71
Vasto Prime Set	75	55.32	1.3599999999999999
Vauban Prime Blueprint	65	35.67	1.82
Vauban Prime Chassis	25	29.13	0.86
Vauban Prime Neuroptics	100	52.07	1.92
Vauban Prime Set	290	215.44	1.35
Vauban Prime Systems	100	82.4	1.21
Vectis Prime Barrel	15	32.38	0.46
Vectis Prime Blueprint	45	9.65	4.66
Vectis Prime Receiver	100	78.81	1.27
Vectis Prime Set	225	196.16	1.15
Vectis Prime Stock	65	44.11	1.47
Venka Prime Blades	15	15.99	0.9400000000000001
Venka Prime Blueprint	45	9.21	4.89
Venka Prime Gauntlet	100	53.4	1.87
Venka Prime Set	275	153.37	1.79
Volnus Prime Blueprint	15	4.61	3.25
Volnus Prime Handle	100	19.62	5.1
Volnus Prime Head	45	5.25	8.57
Volnus Prime Set	160	34.44	4.65
Volt Prime Blueprint	25	23.19	1.08
Volt Prime Chassis	45	18.58	2.42
Volt Prime Neuroptics	65	70.59	0.92
Volt Prime Set	180	162.66	1.11
Volt Prime Systems	45	22.3	2.02
Wukong Prime Blueprint	100	50.33	1.99
Wukong Prime Chassis	45	9.42	4.78
Wukong Prime Neuroptics	15	9.03	1.6600000000000001
Wukong Prime Set	205	91.5	2.24
Wukong Prime Systems	45	11.61	3.88
Wyrm Prime Blueprint	15	14.77	1.02
Wyrm Prime Carapace	15	57.75	0.26
Wyrm Prime Cerebrum	15	36.97	0.41000000000000003
Wyrm Prime Set	90	230.81	0.39
Wyrm Prime Systems	45	76.13	0.59
Zakti Prime Barrel	45	4.58	9.82
Zakti Prime Blueprint	100	13.8	7.24
Zakti Prime Receiver	15	4.8100000000000005	3.12
Zakti Prime Set	160	27.46	5.83
Zephyr Prime Blueprint	65	15.93	4.08
Zephyr Prime Chassis	25	9.09	2.75
Zephyr Prime Neuroptics	15	8.9	1.69
Zephyr Prime Set	205	93.16	2.2
Zephyr Prime Systems	100	47.98	2.08
Zhuge Prime Barrel	100	19.87	5.03
Zhuge Prime Blueprint	45	4.61	9.76
Zhuge Prime Grip	15	7.0	2.14
Zhuge Prime Receiver	45	12.43	3.62
Zhuge Prime Set	220	65.19	3.37
Zhuge Prime String	15	9.85	1.52
