"Realm","Character","Name","Tier","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Minimum LB Points","Limit Break Bonus","Mastery Bonus","Relic","Name (JP)","ID"
"X","Tidus","Water Raiment (Tidus)","LBG","NAT","All allies","","","","0.01","Grants [Attach Water]","N","All allies","250","Water Damage Up","ATK +10","Defending Shield (X)","水装【ティーダ】","20130022"
"X","Tidus","Heavy Rain","LBO","PHY","Single enemy","Physical","32.00","Water","2.50","Four single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [100% Critical 1] and [Instant Cast 1] to the user","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Fayth Sphere (X)","ヘヴィレイン","20130023"
"X","Jecht","Ultimate Jecht Beam","LBO","PHY","Single enemy","Physical","32.00","Dark, Fire","2.50","Four single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Aeon Ball (X)","真・ジェクトビーム","22090017"
"X","Yuna","Guardian Valefor","LBGS","NAT","Self","","","","0.01","Summons Valefor for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Attach Holy 3 with Stacking] and [Damage Cap +20000] to Valefor","N","Self","250","Guardian Summon Damage Up, Damage Reduction Barrier","","Prism Rod (X)","Gヴァルファーレ","20520024"
"X","Wakka","Waterflash (Wakka)","LBG","PHY","Single enemy","Physical","3.36","Water, NE","0.01","One single attack (3.36) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","250","Water Damage Up","ATK +10","Blind Pass (X)","水閃【ワッカ】","20150014"
"XI","Shantotto","Ancient Magic Burst II","LBO","BLK","Single enemy","Magical","120.00","Lightning","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Ramuh's Staff (XI)","古代魔法・バーストII","22360010"
"XI","Zeid","Ground Strike","LBO","PHY","Single enemy","Physical","40.00","Dark","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Martial Sword (XI)","グラウンドストライク","22890009"
"XII","Vaan","Swift Superstar","LBO","PHY","Single enemy","Physical","40.00","Wind","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Lust Dagger (XII)","スピードスーパースター","20700018"
"XII","Fran","Dual Mist","LBO","PHY","Single enemy","Physical","32.00","Ice, Lightning","2.50","Four single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Gastrophetes (XII)","デュアルミスト","20390018"
"XII","Gabranth","Dual Rend","LBO","PHY","Single enemy","Physical","40.00","Dark","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Daybreak & Twilight (XII)","二刀連斬","22370016"
"XII","Basch","Heroic Blade","LBO","PHY","Single enemy","Physical","32.00","Holy, Fire","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Galatyn (XII)","勇将の誓剣","22180018"
"XII","Vayne","Contempt","LBO","NAT","Single enemy","Hybrid","-","Dark","2.50","Four single ranged hybrid attacks (1.00 or 3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, ignores RES, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Enigma (XII)","断罪","22620011"
"XIII","Lightning","Artemis's Arrows","LBO","PHY","Single enemy","Physical","40.00","Lightning","2.50","Five single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Helter-Skelter (XIII)","アルテミスピアス","20600026"
"XIII","Snow","Ice Raiment (Snow)","LBG","NAT","All allies","","","","0.01","Grants [Attach Ice]","N","All allies","250","Ice Damage Up","ATK +10","Chivalry Emblem (XIII)","氷装【スノウ】","20310020"
"XIII","Snow","Ice Chain Promise","LBO","PHY","Single enemy","Physical","32.00","Ice","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [50% Damage Reduction Barrier 2] to all allies","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Crystal Guard (XIII)","氷鎖の約束","20310021"
"XIII","Sazh","Come to Papa","LBO","PHY","Single enemy","Physical","32.00","Fire, Ice, Lightning","2.50","Four single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Procyons (XIII)","息子に届け","20610016"
"XIII","Hope","Lightflash (Hope)","LBG","BLK","Single enemy","Magical","7.50","Holy, NE","0.01","One single attack (7.50) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","Holy Damage Up","MAG +10","Shaman's Mark (XIII)","聖閃【ホープ】","20770016"
"XIV","Y'shtola","Scion's Meteor","LBO","BLK","Single enemy","Magical","96.00","Fire, Ice, Lightning, Dark","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Night Seeker (XIV)","サイオンズ・メテオ","20960011"
"XIV","Ysayle","Ice Raiment (Ysayle)","LBG","NAT","All allies","","","","0.01","Grants [Attach Ice]","N","All allies","250","Ice Damage Up","MAG +10","Voeburtite Tunic of Casting (XIV)","氷装【イゼル】","23130009"
"XIV","Haurchefant","Last Bastion","LBO","PHY","Single enemy","Physical","40.00","Holy, Ice","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Priwen (XIV)","ラストバスティオン","23110009"
"XV","Noctis","Ancillary Link-Strike","LBO","PHY","Single enemy","Physical","32.00","Fire, Earth, Lightning","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Lucian King's Jacket (XV)","アナザーリンクアタック","22740014"
"XV","Ardyn","Evil Armiger","LBO","PHY","Single enemy","Physical","32.00","Dark, Fire","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Rakshasa Blade (XV)","エビルファントムソード","23520003"
"FFT","Agrias","Bestowed Blade","LBO","PHY","Single enemy","Physical","40.00","Holy","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Templar Shield (FFT)","我が主君に捧げし剣","22150011"
"Type-0","Rem","Saintly Dagger Boomerang","LBO","WHT","Single enemy","Magical","126.80","Holy","2.50","Five single attacks (3.17 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Zwillblades (Type-0)","S・ブーメランダガー","23080012"
"Type-0","Cinque","Earth Raiment (Cinque)","LBG","NAT","All allies","","","","0.01","Grants [Attach Earth]","N","All allies","250","Earth Damage Up","ATK +10","Ares' Mace (Type-0)","地装【シンク】","23190009"
"Type-0","Cinque","Maximum Swing!","LBO","PHY","Single enemy","Physical","40.00","Earth, Wind","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","Limit Break Damage Up, Cast Time Down","","Mythril Mace (Type-0)","MAXチャージメイス","23190011"
