"School","Img","Name","Rarity","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","Uses","Max","Orb 1 Required","1-R1","1-R2","1-R3","1-R4","1-R5","Orb 2 Required","2-R1","2-R2","2-R3","2-R4","2-R5","Orb 3 Required","3-R1","3-R2","3-R3","3-R4","3-R5","Orb 4 Required","4-R1","4-R2","4-R3","4-R4","4-R5","Introducing Event","Name (JP)","ID"
"Black Magic","","Thundaga","3","BLK","Single","Magical","4.90","Lightning","1.80","One single attack (4.90)","Y","Lowest HP% enemy","60","2","10","Black","5","10","20","30","50","Lightning","5","15","30","45","75","","","","","","","","","","","","","Dungeons Update #2","サンダガ","30111023"
"Black Magic","","Thundaja","4","BLK","Single","Magical","9.00","Lightning","1.80","One single attack (9.00)","Y","Lowest HP% enemy","70","2","10","Greater Black","5","10","20","30","50","Greater Lightning","5","15","30","45","75","","","","","","","","","","","","","The Pulse Fal'Cie","サンダジャ","30111024"
"Black Magic","","Water","1","BLK","Single","Magical","1.55","Water","1.80","One single attack (1.55)","Y","Lowest HP% enemy","55","2","10","Minor Black","2","5","10","20","30","Minor Fire","2","3","6","12","18","Minor Ice","2","3","6","12","18","","","","","","","Dungeons Update #1","ウォータ","30111031"
"Black Magic","","Watera","2","BLK","Single","Magical","3.05","Water","1.80","One single attack (3.05)","Y","Lowest HP% enemy","55","2","10","Lesser Black","5","10","20","30","50","Lesser Fire","3","6","12","18","30","Lesser Ice","3","6","12","18","30","","","","","","","Dungeons Update #1","ウォタラ","30111032"
"Black Magic","","Waterga","3","BLK","Single","Magical","4.90","Water","1.50","One single attack (4.90)","Y","Lowest HP% enemy","60","2","10","Black","5","10","20","30","50","Fire","3","6","12","18","30","Ice","3","6","12","18","30","","","","","","","Dungeons Update #4","ウォタガ","30111033"
"Black Magic","","Waterja","4","BLK","Single","Magical","9.00","Water","1.50","One single attack (9.00)","Y","Lowest HP% enemy","70","2","10","Greater Black","5","10","20","30","50","Greater Fire","3","6","12","18","30","Greater Ice","3","6","12","18","30","","","","","","","The Dreadnought Leviathan","ウォタジャ","30111034"
"Black Magic","","Bio","2","BLK","Single","Magical","2.80","Poison","1.80","One single attack (2.80), causes [Poison] (3%)","Y","Lowest HP% enemy","55","2","10","Lesser Black","5","10","20","30","50","Lesser Dark","5","15","30","45","75","","","","","","","","","","","","","Dungeons Update #2","バイオ","30111041"
"Black Magic","","Biora","3","BLK","Single","Magical","4.80","Poison","1.80","One single attack (4.80), causes [Poison] (3%)","Y","Lowest HP% enemy","60","2","10","Black","5","10","20","30","50","Dark","5","15","30","45","75","","","","","","","","","","","","","Dungeons Update #2","バイオラ","30111042"
"Black Magic","","Bioga","4","BLK","Single","Magical","8.80","Poison","1.80","One single attack (8.80), causes [Poison] (3%)","Y","Lowest HP% enemy","70","2","10","Greater Black","5","10","20","30","50","Greater Dark","5","15","30","45","75","","","","","","","","","","","","","Man in Black","バイオガ","30111043"
"Black Magic","","Dark","3","BLK","Single","Magical","5.00","Dark","1.80","One single attack (5.00)","Y","Lowest HP% enemy","60","2","10","Black","5","10","20","30","50","Non-Elemental","3","6","12","18","30","Dark","3","6","12","18","30","","","","","","","Dungeons Update #2","ダーク","30111051"
"Black Magic","","Darkra","4","BLK","Single","Magical","9.00","Dark","1.80","One single attack (9.00)","Y","Lowest HP% enemy","70","2","10","Greater Black","5","10","20","30","50","Greater Non-Elemental","3","6","12","18","30","Greater Dark","3","6","12","18","30","","","","","","","Third Pilgrimage","ダーラ","30111052"
"Black Magic","","Death","4","BLK","Single","","","","1.80","Causes [Instant KO] (70%)","Y","Random enemy","75","1","5","Greater Black","5","10","20","30","50","Greater Ice","3","6","12","18","30","Greater Dark","3","6","12","18","30","","","","","","","Dungeons Update #2","デス","30111061"
"Black Magic","","Flare","5","BLK","Single","Magical","13.25","NE","1.80","Five single attacks (2.65 each)","Y","Lowest HP% enemy","100","2","10","Major Black","10","20","30","50","100","Major Non-Elemental","6","12","18","30","60","Major Fire","6","12","18","30","60","","","","","","","Dungeons Update #2","フレア","30111071"
"Black Magic","","Sleep","1","BLK","Single","","","","1.80","Causes [Sleep] (30%)","Y","Random enemy without status","60","2","10","Minor Black","2","5","10","20","30","Minor Ice","2","3","6","12","18","Minor Dark","2","3","6","12","18","","","","","","","Dungeons Update #1","スリプル","30111081"
"Black Magic","","Poison","1","BLK","Single","","","","1.80","Causes [Poison] (30%)","Y","Random enemy without status","60","2","10","Minor Black","3","5","10","20","30","Minor Dark","3","8","15","30","45","","","","","","","","","","","","","Dungeons Update #1","ポイズン","30111091"
"Black Magic","","Confuse","1","BLK","Single","","","","1.80","Causes [Confuse] (30%)","Y","Random enemy without status","60","2","10","Minor Black","3","5","10","20","30","Minor Dark","3","8","15","30","45","","","","","","","","","","","","","Dungeons Update #1","コンフュ","30111101"
"Black Magic","","Gravity","3","BLK","Single","","","","1.80","Damages for 50% of the target's current HP, resisted via Instant KO","Y","Lowest HP% enemy","65","2","10","Black","5","10","20","30","50","Lightning","3","6","12","18","30","Dark","3","6","12","18","30","","","","","","","Dungeons Update #1","グラビデ","30111111"
"Black Magic","","Stop","3","BLK","Single","","","","1.80","Causes [Stop] (70%)","Y","Random enemy without status","65","2","10","Black","5","10","20","30","50","Non-Elemental","3","6","12","18","30","Dark","3","6","12","18","30","","","","","","","Dungeons Update #1","ストップ","30111121"
"Black Magic","","Comet","3","BLK","Single","Magical","5.10","NE","1.80","One single attack (5.10)","Y","Lowest HP% enemy","65","2","10","Black","5","10","20","30","50","Non-Elemental","3","6","12","18","30","Earth","3","6","12","18","30","","","","","","","Dungeons Update #1","コメット","30111131"
"Black Magic","","Break","4","BLK","Single","","","","1.80","Causes [Petrify] (25%)","Y","Random enemy without status","75","2","10","Greater Black","5","10","20","30","50","Greater Non-Elemental","3","6","12","18","30","Greater Earth","3","6","12","18","30","","","","","","","Dungeons Update #1","ブレイク","30111141"
"Black Magic","","Quake","4","BLK","All enemies","Magical","5.60","Earth","1.80","One group attack (5.60)","Y","All enemies","70","2","10","Greater Black","5","10","20","30","50","Greater Earth","3","6","12","18","30","Greater Dark","3","6","12","18","30","","","","","","","Dungeons Update #1","クエイク","30111151"
"Black Magic","","Fireball","2","BLK","All enemies","Magical","2.00","Fire","1.65","One group attack (2.00)","Y","All enemies","55","2","10","Lesser Black","5","10","20","30","50","Lesser Fire","8","15","30","45","75","","","","","","","","","","","","","Evil of Mardias","ファイアボール","30111161"
"Black Magic","","Raincall","2","BLK","All enemies","Magical","2.00","Water","1.65","One group attack (2.00)","Y","All enemies","55","2","10","Lesser Black","5","10","20","30","50","Lesser Ice","8","15","30","45","75","","","","","","","","","","","","","Evil of Mardias","レインコール","30111171"
"Black Magic","","Meteor","5","BLK","All enemies","Magical","10.50","NE","1.80","Three group attacks (3.50 each)","Y","All enemies","100","2","10","Major Black","10","20","30","50","100","Major Non-Elemental","6","12","18","30","60","Major Fire","3","6","9","12","15","Major Earth","6","12","18","30","60","Man in Black","メテオ","30111181"
"Black Magic","","Blind","1","BLK","Single","","","","1.80","Causes [Blind] (30%)","Y","Random enemy without status","60","4","12","Minor Black","3","5","10","20","30","Minor Dark","3","8","15","30","45","","","","","","","","","","","","","Touched by Magic","ブライン","30111201"
"Black Magic","","Blindga","3","BLK","Single","","","","1.80","Causes [Blind] (60%)","Y","Random enemy without status","65","4","12","Black","5","10","20","30","50","Dark","8","15","30","45","75","","","","","","","","","","","","","Touched by Magic","ブライガ","30111202"
"Black Magic","","Ruin","2","BLK","Single","Magical","3.00","NE","1.80","One group attack (3.00)","Y","Lowest HP% enemy","60","2","10","Lesser Black","5","10","20","30","50","Lesser Holy","3","6","12","18","30","Lesser Dark","3","6","12","18","30","","","","","","","Chasing Hope","ルイン","30111211"
"Black Magic","","Ruinga","4","BLK","All enemies","Magical","5.90","NE","1.80","One group attack (5.90)","Y","All enemies","75","2","10","Greater Black","5","10","20","30","50","Greater Holy","3","6","12","18","30","Greater Dark","3","6","12","18","30","","","","","","","Chasing Hope","ルインガ","30111213"
"Black Magic","","Snowball Flurry","2","BLK","All enemies","Magical","2.00","Ice","1.65","One group attack (2.00)","Y","All enemies","55","2","10","Lesser Black","5","10","20","30","50","Lesser Ice","8","15","30","45","75","","","","","","","","","","","","","Dungeons Update #13","陽気なスノーボール","30111221"
"Black Magic","","Lightning","2","BLK","All enemies","Magical","2.00","Lightning","1.65","One group attack (2.00)","Y","All enemies","55","2","10","Lesser Black","5","10","20","30","50","Lesser Lightning","8","15","30","45","75","","","","","","","","","","","","","Dungeons Update #16","いかずち","30111231"
"Black Magic","","Ultima","6","BLK","All enemies","Magical","12.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.80","Three group attacks (4.00 each)","Y","All enemies","90","2","10","Black Crystal","10","20","30","50","100","Non-Elemental Crystal","6","12","18","30","60","Fire Crystal","6","12","18","30","60","Ability Record","1","0","0","0","0","Ultima Record","アルテマ","30111241"
"Black Magic","","Meltdown","6","BLK","Single","Magical","14.80","Fire, Wind, Earth","1.80","Four single attacks (3.70 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","10","20","30","50","100","Fire Crystal","6","12","18","30","60","Earth Crystal","6","12","18","30","60","Ability Record","1","0","0","0","0","Meltdown Record","メルトン","30111251"
"Black Magic","","Chain Blizzaga","5","BLK","Single","Magical","11.80","Ice","1.80","Four single attacks (2.95 each)","Y","Lowest HP% enemy","75","2","10","Major Black","10","20","40","60","100","Major Non-Elemental","6","12","24","36","60","Major Ice","6","12","24","36","60","","","","","","","Go Go Gullwings!","連続ブリザガ","30111261"
"Black Magic","","Chain Blizzaja","6","BLK","Single","Magical","15.25","Ice","1.80","Five single attacks (3.05 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","10","20","30","50","100","Non-Elemental Crystal","6","12","18","30","60","Ice Crystal","6","12","18","30","60","Ability Record","1","0","0","0","0","Hard-Won Absolution","連続ブリザジャ","30111262"
"Black Magic","","Chain Firaga","5","BLK","Single","Magical","11.80","Fire","1.80","Four single attacks (2.95 each)","Y","Lowest HP% enemy","75","2","10","Major Black","10","20","40","60","100","Major Non-Elemental","6","12","24","36","60","Major Fire","6","12","24","36","60","","","","","","","Friendship Ribbon","連続ファイガ","30111271"
"Black Magic","","Chain Firaja","6","BLK","Single","Magical","15.25","Fire","1.80","Five single attacks (3.05 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","10","20","30","50","100","Non-Elemental Crystal","6","12","18","30","60","Fire Crystal","6","12","18","30","60","Ability Record","1","0","0","0","0","Darkest Precepts","連続ファイジャ","30111272"
"Black Magic","","Stone","1","BLK","Single","Magical","1.50","Earth","1.80","One single attack (1.50)","Y","Lowest HP% enemy","55","2","10","Minor Black","3","5","10","20","30","Minor Earth","3","8","15","30","45","","","","","","","","","","","","","Thorns of the Rose","ストーン","30111291"
"Black Magic","","Stonera","2","BLK","Single","Magical","2.90","Earth","1.80","One single attack (2.90)","Y","Lowest HP% enemy","55","2","10","Lesser Black","5","10","20","30","50","Lesser Earth","8","15","30","45","75","","","","","","","","","","","","","Thorns of the Rose","ストンラ","30111292"
"Black Magic","","Stonega","3","BLK","Single","Magical","4.90","Earth","1.80","One single attack (4.90)","Y","Lowest HP% enemy","60","2","10","Black","5","10","20","30","50","Earth","8","15","30","45","75","","","","","","","","","","","","","Thorns of the Rose","ストンガ","30111293"
"Black Magic","","Stoneja","4","BLK","Single","Magical","9.00","Earth","1.80","One single attack (9.00)","Y","Lowest HP% enemy","70","2","10","Greater Black","5","10","20","30","50","Greater Earth","8","15","30","45","75","","","","","","","","","","","","","Thorns of the Rose","ストンジャ","30111294"
"Black Magic","","Chain Stonega","5","BLK","Single","Magical","11.80","Earth","1.80","Four single attacks (2.95 each)","Y","Lowest HP% enemy","75","2","10","Major Black","10","20","40","60","100","Major Earth","6","12","24","36","60","Major Dark","6","12","24","36","60","","","","","","","Thorns of the Rose","連続ストンガ","30111295"
"Black Magic","","Chain Thundaga","5","BLK","Single","Magical","11.80","Lightning","1.80","Four single attacks (2.95 each)","Y","Lowest HP% enemy","75","2","10","Major Black","10","20","40","60","100","Major Lightning","6","12","24","36","60","Major Wind","6","12","24","36","60","","","","","","","Heir of the Dynast-King","連続サンダガ","30111301"
"Black Magic","","Chain Thundaja","6","BLK","Single","Magical","15.25","Lightning","1.80","Five single attacks (3.05 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","10","20","30","50","100","Lightning Crystal","6","12","18","30","60","Wind Crystal","6","12","18","30","60","Ability Record","1","0","0","0","0","Darkest Precepts","連続サンダジャ","30111302"
"Black Magic","","Chain Biora","5","BLK","Single","Magical","11.80","Poison","1.80","Four single attacks (2.95 each), causes [Poison] (3%)","Y","Lowest HP% enemy","75","2","10","Major Black","10","20","40","60","100","Major Earth","6","12","24","36","60","Major Dark","6","12","24","36","60","","","","","","","The Lion Wakes","連続バイオラ","30111311"
"Black Magic","","Chain Waterga","5","BLK","Single","Magical","11.80","Water","1.80","Four single attacks (2.95 each)","Y","Lowest HP% enemy","75","2","10","Major Black","10","20","40","60","100","Major Fire","6","12","24","36","60","Major Ice","6","12","24","36","60","","","","","","","Scouring the Dephts","連続ウォタガ","30111321"
"Black Magic","","Chain Waterja","6","BLK","Single","Magical","15.25","Water","1.80","Five single attacks (3.05 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","10","20","30","50","100","Fire Crystal","6","12","18","30","60","Ice Crystal","6","12","18","30","60","Ability Record","1","0","0","0","0","One-Eyed Tyrant","連続ウォタジャ","30111322"
"Black Magic","","Tornado","5","BLK","Single","Magical","11.80","Wind","1.80","Four single attacks (2.95 each)","Y","Lowest HP% enemy","75","2","10","Major Black","10","20","40","60","100","Major Non-Elemental","6","12","24","36","60","Major Wind","6","12","24","36","60","","","","","","","Triumph over Darkness","トルネド","30111331"
"Black Magic","","Voltech","6","BLK","Single","Magical","14.80","Ice, Water, Lightning","1.80","Four single attacks (3.70 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","10","20","30","50","100","Ice Crystal","6","12","18","30","60","Lightning Crystal","6","12","18","30","60","Ability Record","1","0","0","0","0","Darkest Precepts","ボルテック","30111341"
"Black Magic","","Chain Stoneja","6","BLK","Single","Magical","15.25","Earth","1.80","Five single attacks (3.05 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","10","20","30","50","100","Earth Crystal","6","12","18","30","60","Dark Crystal","6","12","18","30","60","Ability Record","1","0","0","0","0","Mired in Despair","連続ストンジャ","30111351"
"Black Magic","","Chain Tornado","6","BLK","Single enemy","Magical","15.25","Wind","1.80","Five single attacks (3.05 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","10","20","30","50","100","Non-Elemental Crystal","6","12","18","30","60","Wind Crystal","6","12","18","30","60","Ability Record","1","0","0","0","0","Guardian of the Altar","連続トルネド","30111361"
"Black Magic","","Drain","3","BLK","Single","Magical","4.50","Dark","1.80","One single attack (4.50), heals the user for 30% of the damage dealt","Y","Highest HP% enemy","60","2","10","Black","5","10","20","30","50","Dark","8","15","30","45","75","","","","","","","","","","","","","Magitek Facility Infiltration","ドレイン","30991001"
"Black Magic","","Drainga","4","BLK","Single","Magical","7.00","Dark","1.80","One single attack (7.00), heals the user for 30% of the damage dealt","Y","Highest HP% enemy","70","2","10","Greater Black","5","10","20","30","50","Greater Dark","8","15","30","45","75","","","","","","","","","","","","","Touched by Magic","ドレイガ","30991003"
"Black Magic","","Onion Wizardry (Onion Knight Only)","6","BLK","Single","Magical","17.50","Wind, Water, Fire, Earth","1.80","Five single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Record Boards Launch","たまねぎ大魔法","30111371"
"Black Magic","","Kerplode VIII (Maria Only)","6","BLK","Single","Magical","21.00","Earth","1.80","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","A Way Through the Snow","ばくは8","30111381"
"Black Magic","","Artemis Arrow (Serah Only)","6","BLK","Single enemy","Magical","19.95","Ice","2.60","Seven single attacks (2.85 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Summer Sun Festival 2020","アルテミスアロー(セラ専用)","30111391"
"Black Magic","","Firaga RF (Ace Only)","6","BLK","Single enemy","Magical","21.00","Fire","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Dear-Bought Message","ファイガRF(エース専用)","30111401"
"Black Magic","","Cleansing (Krile Only)","6","BLK","Single enemy","Magical","13.20","Fire, Earth","0.01","Four single attacks (3.30 each)","Y","Lowest HP% enemy","70","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Rays of Dawn","てんちほうかい(クルル専用)","30111411"
"Black Magic","","Jolt (Alisaie Only)","6","BLK","Single enemy","Magical","9.90","Wind, Lightning","1.65","Three single attacks (3.30 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Vanquish the Primals","ジョルト(アリゼー専用)","30111421"
"Black Magic","","Riot Blade (Terra Only)","6","BLK","Single enemy","Magical","32.40","Fire, Wind","1.65","Four single attacks (3.50 each), followed by one single attack (18.40) that ignores RES","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Autumn Festival 2020","ライオットソード(ティナ専用)","30111431"
"Black Magic","","Earth Rave (Red XIII Only)","6","BLK","Single enemy","Magical","17.50","Earth","1.65","Five single attacks (3.50 each), causes [Imperil Earth 10%] for 5 seconds","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Autumn Festival 2020","アースレイヴ(レッドXIII専用)","30111441"
"Black Magic","","Whirlwind (Barbariccia Only)","6","BLK","Single enemy","Magical","17.50","Wind","0.01","Five single attacks (3.50 each)","Y","Lowest HP% enemy","70","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Pride's Awakening","たつまき(バルバリシア専用)","30111451"
"Black Magic","","Pallida Mors (Meia Only)","6","BLK","Single enemy","Magical","21.00","Water","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Fat Black Chocobo: Soggy Forgery","パッリダ・モルス(メイア専用)","30111461"
"Black Magic","","Maelstrom's Bolt (Ashe Only)","6","BLK","Single","Magical","21.00","Lightning","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Glory Fest 2020","天鼓雷音稲妻斬(アーシェ専用)","30111471"
"Black Magic","","Double Black Magic Fira (Vivi Only)","6","BLK","Single","Magical","21.00","Fire","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Glory Fest 2020","W黒魔法・ファイラ(ビビ専用)","30111481"
"Black Magic","","Diving Strike (Seven Only)","6","BLK","Single","Magical","17.50","Ice","0.01","Five single attacks (3.50 each)","Y","Lowest HP% enemy","70","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Fat Black Chocobo: Chilling Forgery","ヘッドストライク(セブン専用)","30111491"
"Black Magic","","Dr. Mog's Legacy (Dr. Mog Only)","6","BLK","All enemies","Magical","13.20","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","Four group attacks (3.30 each)","Y","All enemies","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Bug Catching Strategy","Dr.モグの秘技(Dr.モグ専用)","30111501"
"Black Magic","","Scion's Fire (Papalymo Only)","6","BLK","Single","Magical","21.00","Fire","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","6th Anniversary Festival","サイオンズ・ファイア(パパリモ専用)","30111511"
"Black Magic","","Aqua Breath (Strago Only)","6","BLK","Single","Magical","21.00","Water","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","6th Anniversary Festival","アクアブレス(ストラゴス専用)","30111521"
"Black Magic","","Starfall (Emperor Only)","6","BLK","Single enemy","Magical","9.90","Dark, Earth, Wind","1.65","Three single attacks (3.30 each), causes [Imperil Dark 10% (5s)], [Imperil Earth 10% (5s)] and [Imperil Wind 10% (5s)]","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","6th Anniversary Festival","いんせき(皇帝専用)","30111531"
"Black Magic","","Last Resort (Hope Only)","6","BLK","Single enemy","Magical","21.00","Holy","1.65","Six single attacks (3.50 each), removes [Haste] every second activation","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","6th Anniversary Festival","ラストリゾート(ホープ専用)","30111561"
"Black Magic","","Zan (Fujin Only)","6","BLK","Single enemy","Magical","32.40","Wind","1.65","Four single attacks (3.50 each), followed by one single attack (18.40) that ignores RES","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Fat Black Chocobo: A Howling Forgery","斬(風神専用)","30111551"
"Black Magic","","The World's Rules (Enna Kros Only)","6","BLK","Single","Magical","21.00","Earth, Holy","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Core Torment","世界のルール(エナ・クロ専用)","30111541"
"Black Magic","","Trickster (Wedge Only)","6","NAT","Single enemy","Hybrid","-","Wind","1.65","Six single ranged hybrid attacks (1.10 or 3.50 each), removes negative effects from all allies every four uses","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Core Torment","トリックスター(ウェッジ専用)","30111571"
"Black Magic","","Magic Mimicry (Gogo (VI) Only)","6","NAT","Single enemy","Hybrid","-","Fire, Ice, Wind, Earth, NE","1.65","Five single hybrid attacks (1.10 or 3.50 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","The Deserted Kingdom","ものまね・まほう(ゴゴ専用)","30111581"
"Black Magic","","Bolt of the Ancients (Desch Only)","6","BLK","Single enemy","Magical","13.20","Lightning","1.65","Four single attacks (3.30 each), grants [Buff Lightning 10% (15s)] to all allies every third activation","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Record Board","1","0","0","0","0","Chaotic Memories II (III)","古代の雷閃(デッシュ専用)","30111591"
