"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Archivist's Teachings Follow-Up","Archivist's Teachings","BLK","Single enemy","Magical","19.50","Holy, Fire, Ice, Lightning, NE","0.01","Ten single attacks (1.95 each), grants [Buff Holy 10% (15s)], [Buff Fire 10% (15s)], [Buff Ice 10% (15s)] and [Buff Lightning 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","30541205"
"Marine Wave Follow-Up","Marine Wave 1","BLK","All enemies","Magical","6.66","Water, NE","0.01","One single attack (6.66), causes [Debuff Fire 10% (15s)]","Y","All enemies","0","Black Magic","30541068"
"Marine Wave Follow-Up","Marine Wave 2","BLK","Single enemy","Magical","8.16","Water, NE","0.01","Four single attacks (2.04 each), grants [Buff Water 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Black Magic","30541069"
"Striking Reminiscence Follow-Up","Striking Reminiscence","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single ranged hybrid attacks (4.52 or 18.64), ignores DEF and RES, 100% hit rate","Y","Lowest HP% enemy","0","Support","31540486"
"Our Bond Follow-Up","Our Bond","PHY","Single enemy","Physical","3.52","Earth, Holy, NE","0.01","One single attack (3.52) capped at 99999, 3.77 multiplier if Tyro, Elarra or Wedge are alive and 2+ Core/Beyond allies are alive, 50%/100% additional critical chance if 0-1/2+ Core/Beyond allies are alive, grants [High Quick Cast 1] to the user if 4+ Core/Beyond allies are alive, 100% hit rate","Y","Lowest HP% enemy","0","Knight","31540628"
"Wondrous Mirage Follow-Up","Wondrous Mirage","NAT","Single enemy","Hybrid","-","Wind, NE","0.01","Six single hybrid ranged attacks (0.32 or 1.32 each), 100% hit rate, causes [Imperil Wind 10% (15s)], grants [Buff Wind 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","31540626"
"Historical Covenant Follow-Up","Historical Covenant","BLK","Single enemy","Magical","7.50","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","1/4 single attacks (7.50 or 2.04 each) capped at 99999/9999 every 1+2n/2+2n uses, grants [Quick Cast 1] to the user every 2+2n uses","Y","Lowest HP% enemy","0","Black Magic","31541444"
"Archive Authority Mode","Magical Surfing","BLK","Single enemy","Magical","9.99","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single attack (9.99/10.99) capped at 99999 if 1+ of Tyro, Elarra, Biggs or Wedge aren't/are alive","Y","Lowest HP% enemy","0","Black Magic","31541448"
"Dual Awoken Record Keeper Mode I (Tyro)","Dual Clearsight Grimoire","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","Ten single hybrid attacks (0.12/0.19/0.26/0.32/0.39 or 0.41/0.64/0.87/1.10/1.33 each) at triggering ability rank 1/2/3/4/5, 100% hit rate","Y","Lowest HP% enemy","0","Support","31541436"
"Dual Awoken Record Keeper Mode II (Tyro)","Dual Protection Grimoire","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single hybrid attacks (5.92 or 24.78) capped at 9999/19999 if 2+ Core/Beyond allies aren't/are alive, ignores DEF and RES, 100% hit rate, grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","0","Support","31541453"
"Dual Awoken Wind Mode II (Wedge)","Dual Wonder Cyclone","NAT","Single enemy","Hybrid","-","Wind, NE","0.01","Six single hybrid attacks (0.48 or 1.98 each), 100% hit rate, grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","0","Black Magic","31541440"
"Apprentice Historian Mode","Nostalgic Grimoire","NAT","Single enemy","","-","-","0.01","One single attack that deals 99999 damage, causes [Imperil Prismatic 10% (5s)], removes Apprentice Historian Mode after triggering two times","Y","Lowest HP% enemy","0","Support","31541584"
"Grip of Chaos Follow-Up","Grip of Chaos","PHY","Single enemy","Physical","1.82","Dark, NE","0.01","Two single attacks (0.91 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","0","Darkness","30549061"
"Damage of Chaos Impact Follow-Up","Chaos Impact","PHY","Single enemy","Physical","2.20","Dark, NE","0.01","Five single attacks (0.32/0.38/0.44 each) if the user has Heavy Charge 0/1/2","Y","Lowest HP% enemy","0","Heavy","30549197"
"Flurry Follow-Up","Follow-Up Flurry","PHY","Single enemy","Physical","2.16","-","0.01","Four single attacks (0.54 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548022"
"Tceles Nottub B Follow-Up","Tceles Nottub B","BLK","Single enemy","Magical","8.32","Fire, Ice, Lightning, NE","0.01","Four single attacks (2.08 each)","Y","Lowest HP% enemy","0","Witch","30541014"
"Awash Follow-Up","Awash","BLK","Single enemy","Magical","7.95","Water, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541060"
"Gear Storm Follow-Up","Gear Storm","PHY","Single enemy","Physical","2.28","Wind, Poison, NE","0.01","Six single attacks (0.32/0.35/0.38 each) scaling with Storm Raider level","Y","Lowest HP% enemy","0","Thief","30548437"
"Stealthy Prowl Follow-Up","Stealthy Prowl","PHY","Single enemy","Physical","4.00","Wind, Poison, NE","0.01","Eight single attacks (0.50 each) if the user has Haste (100% hit rate if triggered), grants [Quick Cast 2] to all allies in the character's row","Y","Lowest HP% enemy","0","Thief","30548436"
"Awoken Cornelian Princess","Healing Voice","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","30542267"
"Timely Encore Follow-Up","Timely Encore","NAT","All allies","","","","0.01","Restores HP (25), grants [Quick Cast 1]","N","All allies","0","Dancer","30542465"
"Warrior's Fate Mode","Blast of Light","PHY","Single enemy","Physical","5.20","Holy, NE","0.01","One single attack (5.20) capped at 99999, 100% hit rate, grants [Dual Blink 1] to the user","Y","Lowest HP% enemy","0","Knight","30544411"
"Reborn Mode","Chaos Reborn","PHY","Single enemy","Physical","1.92","Dark, NE","0.01","Six single attacks (0.32 each), grants [Chaos Reborn +15% Boost]/[Chaos Reborn +30% Boost]/[Chaos Reborn +50% Boost] after 1/2/3 casts, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","31540294"
"Poisoner Thieves Follow-Up","Poisoner Thieves","PHY","Single enemy","Physical","1.95","Wind, Poison, NE","0.01","Five single attacks (0.39 each), 100% hit rate, grants [Buff Poison 10% (15s)] to the user","Y","Lowest HP% enemy","0","Thief","31541108"
"Frenzied Monk Mode","Ballistic Fist","PHY","Single enemy","Physical","4.45","Earth, Fire, Lightning, NE","0.01","One single attack (4.45), ignores DEF, 100% hit rate, causes Martial Will -1 to the user","Y","Lowest HP% enemy","0","Monk","31541155"
"Royal Talent Follow-Up","Royal Talent (White Magic)","WHT","Single ally","","","","0.01","Restores HP (105), grants [Damage Cap +10000 1] to the user","N","Lowest HP% ally","0","White Magic","31541301"
"Royal Talent Follow-Up","Royal Talent (Dancer)","NAT","All allies","","","","0.01","Grants [HP Stock (1500)]","N","All allies","0","Dancer","31541302"
"Dual Awoken Cosmic Warrior Mode II (Wol)","Dual Heavy Break","PHY","Single enemy","Physical","4.04","Earth, Holy, NE","0.01","Four single attacks (1.01), causes [Imperil Earth 10% (15s)] and [Imperil Holy 10% (15s)]","Y","Lowest HP% enemy","0","Knight","31541374"
"Awoken Battlefist","Fist Flurry","PHY","Single enemy","Physical","4.20","Earth, Fire, Lightning, NE","0.01","Six single attacks (0.70 each), grants [100% Critical 1] to the user every second use","Y","Lowest HP% enemy","0","Monk","31541789"
"Chain Force Mode (Meia)","Water Guidance: Meia","BLK","Single enemy","Magical","8.20","Water, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with uses, grants [Water Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31541923"
"Dual Awoken Cornelian Princess Mode I (Sarah)","Dual Healing Song","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) after casting 1/2/3/4/5+ times, grants [Quick Cast 1] to all allies every second cast if Warrior of Light or Garland are alive","N","All allies","0","White Magic","31542082"
"Dual Awoken Cornelian Princess Mode II (Sarah)","Dual Healing Warsong","WHT","All allies","","","","0.01","Restores HP (55), grants [Regenga] and [Quick Cast 1]","N","All allies","0","White Magic","31542083"
"Chain Force Mode (Warrior of Light)","Holy Guidance: Warrior of Light","PHY","Single enemy","Physical","2.05","Holy, NE","0.01","One single attack (1.95/2.05) capped at 99999 scaling with uses, grants [Holy Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Knight","31542085"
"Anguished Rose Follow-Up","Anguished Rose","BLK","Single enemy","Magical","7.80","Earth, Dark, NE","0.01","Four single attacks (1.95 each)","Y","Lowest HP% enemy","0","Black Magic","30541049"
"Hero's Barrage Follow-Up","Hero's Barrage","PHY","Single enemy","Physical","1.80","Ice, NE","0.01","Four single attacks (0.45 each)","Y","Lowest HP% enemy","0","Monk","30548321"
"Kaus Australis Follow-Up","Kaus Australis","BLK","Single enemy","Magical","16.40","Earth, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541147"
"Resist Break Follow-Up","Earth Resist Break","NAT","Single enemy","","","","0.01","Causes [Imperil Earth 10%] for 15 seconds","Y","Lowest HP% enemy","0","Black Magic","30541201"
"Resist Break Follow-Up","Wind Resist Break","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10%] for 15 seconds","Y","Lowest HP% enemy","0","Black Magic","30541202"
"Resist Break Follow-Up","Dark Resist Break","NAT","Single enemy","","","","0.01","Causes [Imperil Dark 10%] for 15 seconds","Y","Lowest HP% enemy","0","Black Magic","30541203"
"Sinister Incursion Follow-Up","Sinister Incursion 1","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Darkness","30541579"
"Sinister Incursion Follow-Up","Sinister Incursion 2","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each), grants [Buff Dark 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Darkness","30541579"
"Beloved Homeland Follow-Up","Beloved Homeland","NAT","Single enemy","Hybrid","-","Fire, NE","0.01","Four single ranged hybrid attacks (0.28 or 1.00 each), grants [PHY +30% Boost 1] or [Magical +30% Boost 1] to all allies, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545089"
"Beloved Homeland Follow-Up","Lost Nation","NAT","Single enemy","Hybrid","-","Fire, NE","0.01","Four single ranged hybrid attacks (0.28 or 1.00 each), causes [ATK and DEF -50% (15s)]/[MAG and RES -50% (15s)] after 1+2n/2+2n uses, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545090"
"Lifelong Devotion Follow-Up","Lifelong Devotion","NAT","Self","","","","0.01","Grants [Attach Fire] and [Fire +30% Boost 1]/[Fire +50% Boost 1]/[Fire +70% Boost 1] to the user if 0/1/2 of Gordon or Hilda are alive","N","Self","0","Special","30545092"
"Vengeful Earth Follow-Up","Vengeful Earth","PHY","Single enemy","Physical","1.80","Earth, NE","0.01","One single attack (1.80), causes [Imperil Earth 10% (15s)] and [DEF, RES and MND -70% (8s)], 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540031"
"Gaia Stamp Follow-Up","Gaia Stamp","PHY","Single enemy","Physical","?","Earth, NE","0.01","Four single attacks (? each), grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","0","Monk","31540032"
"Dim Spray Follow-Up","Dim Spray","PHY","Single enemy","Physical","2.00","Water, NE","0.01","Four single attacks (0.50 each), 100% hit rate","Y","Lowest HP% enemy","0","Thief","31540123"
"Marine Edge Follow-Up","Marine Edge","PHY","Single enemy","Physical","1.95","Water, NE","0.01","Five single attacks (0.39 each), 100% hit rate, causes [Imperil Water 10% (15s)] every second use","Y","Lowest HP% enemy","0","Thief","31540118"
"Dismal Tempest Follow-Up","Dismal Tempest","BLK","Single enemy","Magical","11.07","Dark, Earth, Wind, NE","0.01","One single attack (11.07) capped at 99999, causes [Imperil Dark 10% (15s)], [Imperil Earth 10% (15s)] and [Imperil Wind 10% (15s)]","Y","Lowest HP% enemy","0","Black Magic","31540485"
"Chain of Arms Mode","Plummet","PHY","Single enemy","Physical","5.28","Ice, NE","0.01","One single attack (5.28) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31540909"
"Awoken Mastery","Weapon Waltz","PHY","Single enemy","Physical","5.60","Holy, Ice, Fire, NE","0.01","4/6/8 single attacks (0.70 each) if the user's HP is greater than or equal to 0/34/67%, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31540918"
"Enhanced Mastery Mode","Straightarrow","PHY","Single enemy","Physical","1.90","Holy, Ice, Fire, NE","0.01","Five single ranged attacks (0.38 each)","Y","Lowest HP% enemy","0","Samurai","31540925"
"Stout Archer Mode","Mash VIII","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Black Magic","31541000"
"Aqua Venom Follow-Up","Aqua Venom","PHY","Single enemy","Physical","1.28","Water, Poison, NE","0.01","Four single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Thief","31541115"
"Stalwart Survivor Mode","Boost Morale","NAT","All allies","","","","0.01","Grants [Last Stand], grants [Buff Ice 50% (5s)] to the user, removes Stalwart Survivor Mode from the user","N","All allies","0","Monk","31541135"
"Colossal Fist Follow-Up","Colossal Fist","PHY","Single enemy","Physical","1.00","Earth, NE","0.01","One single attack (1.00), 100% hit rate, 100% additional critical chance, grants [Damage Cap +10000 1] to the user after every third use","Y","Lowest HP% enemy","0","Monk","31541295"
"Dual Awoken Imperial Mode II (Emperor)","Dual Martial Might","NAT","Single enemy","","","","0.01","Causes [ATK and MAG -50% (8s)]/[DEF and RES -50% (8s)] every 1+2n/2+2n casts, grants [Quick Cast 1] to all allies","N","Lowest HP% enemy","0","Black Magic","31541532"
"Dual Blessing of Gaia Mode","Dual Rock Impact","PHY","Single enemy","Physical","6.40","Earth, NE","0.01","One single attack (6.40) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541534"
"Troubled Heart Mode","Fiery Assault","PHY","Single enemy","Physical","3.36","Fire, NE","0.01","One single attack (1.76/3.36) capped at 99999 if 0-3/4+ FF2 allies are alive, 0%/100% additional critical chance if 0-3/4+ FF2 allies are alive, grants [Quick Cast 1] to the user if 4+ FF2 allies are alive","Y","Lowest HP% enemy","0","Spellblade","31541539"
"Dual Awoken Earth Mode II (Maria)","Dual Break Meteor","BLK","Single enemy","Magical","8.46","Earth, NE","0.01","One single attack (8.46) capped at 99999, grants [Buff Earth 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","31541598"
"Captain's Camaraderie Mode","Caustic Splash (Water)","NAT","Self","","","","0.01","Grants [Instant Cast 1], [Soul Break Gauge +250], removes Captain's Camaraderie Mode from the user","N","Self","0","Special","31541733"
"Captain's Camaraderie Mode","Caustic Splash (Poison)","NAT","Single enemy","","","","0.01","Causes [Imperil Poison 10% (15s)], grants [Buff Poison 10% (15s)] to all allies, grants [Attach Poison] to the user, removes Captain's Camaraderie Mode from the user","N","Lowest HP% enemy","0","Special","31541734"
"Chain Force Mode (Josef)","Ice Guidance: Josef","PHY","Single enemy","Physical","0.96","Ice, NE","0.01","Three single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541952"
"Chain Force Mode (Maria)","Bond Guidance: Maria","BLK","Single enemy","Magical","8.20","Earth, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with uses, grants [Earth Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31541954"
"Gale Spear Follow-Up","Gale Spear","PHY","Single enemy","Physical","1.92","Wind, NE","0.01","Six single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548112"
"Dia Splash Follow-Up","Dia Splash","WHT","Single enemy","Magical","9.78","Holy, Water, NE","0.01","2/3/4/5/6 single attacks (1.63 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","White Magic","30542054"
"Explosive Rush Mode 1/2/3","Skydance Firestorm","PHY","Single enemy","Physical","1.60","Fire, NE","0.01","4/4/5/6 single attacks (0.40 each) if the user has Explosive Rush Mode 0/1/2/3, 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548129"
"Titan Strike Follow-Up","Titan Strike","PHY","Single enemy","Physical","2.04","Earth, NE","0.01","4/5/6 single attacks (0.34 each) at 798/2736 DEF, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548143"
"EX: Light's Wisdom","Wind Onion Magic","BLK","Single enemy","Magical","7.95","Wind, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541091"
"EX: Light's Wisdom","Water Onion Magic","BLK","Single enemy","Magical","7.95","Water, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541092"
"EX: Light's Wisdom","Fire Onion Magic","BLK","Single enemy","Magical","7.95","Fire, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541093"
"EX: Light's Wisdom","Earth Onion Magic","BLK","Single enemy","Magical","7.95","Earth, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541094"
"Lightning Follow-Up","Lightning","BLK","All enemies","Magical","4.40","Dark, Lightning, NE","0.01","One group attack (4.40)","Y","All enemies","0","Black Magic","30520320"
"EX: Esoteric Light","Serpent's Blessing","SUM","Single enemy","Magical","7.95","Water, NE","0.01","Five single attacks (1.59 each), restores HP (25) to all allies","N","Lowest HP% enemy","0","Summoning","30543067"
"Boltstorm Spear Follow-Up","Boltstorm Spear","PHY","Single enemy","Physical","5.20","Lightning, Wind, NE","0.01","One single ranged attack (5.20) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548118"
"Onion Sorcery Follow-Up","Onion Sorcery","BLK","Single enemy","Magical","15.65","Wind, Water, Fire, Earth, NE","0.01","One single attack (15.65), capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541353"
"Gentle Thunder Follow-Up","Gentle Thunder","BLK","Single enemy","Magical","7.92","Lightning, NE","0.01","4/4/4/6 single attacks (1.32 each) if 0-1/2/3/4 female allies are alive, grants [Quick Cast 1] to all allies in the character's row if 2 or more female allies are alive, grants [Buff Lightning 10% (15s)] to all allies if 3 or more female allies are alive","Y","Lowest HP% enemy","0","Black Magic","30541139"
"Sacred Breath Follow-Up","Sacred Breath","WHT","Single enemy","","","","0.01","Causes [Imperil Holy 10% (15s)] and [Imperil Water 10% (15s)]","Y","Lowest HP% enemy","0","White Magic","30543069"
"Blacksmith's Daughter Follow-Up","Fist of Kazus","PHY","Single enemy","Physical","2.01","Fire, NE","0.01","Three single attacks (0.67 each), 0/0/50/50/100% additional critical chance if 0/1/2/3/4+ FF3 allies are alive, grants [Quick Cast 1]/[Quick Cast 1]/[High Quick Cast 1] to the user/allies in the same row/allies in the same row if 0-2/3/4+ FF3 allies are alive, 100% hit rate","Y","Lowest HP% enemy","0","Monk","30544427"
"Awoken Shadow Ninja","Unleashed Power","PHY","Single enemy","Physical","4.14","Wind, Water, Fire, Earth, NE","0.01","Six single attacks (0.69 each), 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30544425"
"Blast Lance Follow-Up","Blast Lance","PHY","Single enemy","Physical","3.46","Wind, NE","0.01","One single ranged attack (3.46) capped at 99999, 0%/100%/100% additional critical chance and 0%/0%/20% additional critical damage if 0/2/3 of Arc, Refia or Ingus are alive, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","31540289"
"Relentless Blaze Follow-Up","Relentless Blaze","PHY","Single enemy","Physical","5.85","Fire, NE","0.01","5/10/15 single attacks (0.39 each) scaling with uses, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540685"
"Scattering Blast Follow-Up","Scattering Blast","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Four single attacks (0.50 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540688"
"Fealty Mode","Knight's Espada","PHY","Single enemy","Physical","3.52","Earth, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Knight","31541030"
"Wind Chosen Mode","Onion Soul: Wind","BLK","Single enemy","Magical","15.82","Wind, NE","0.01","5/10 single attacks (0.95 each) if Onion Soul: Wind has been cast 0-1/2 times, followed by one single attack (6.32) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","31541026"
"Maiden of Water Mode","Maiden's Protection","WHT","Single enemy","Magical","","","0.01","One single attack that deals 99999 damage, grants [HP Stock (2000)] to a random ally","Y","Lowest HP% enemy","0","White Magic","31541220"
"Enfeebling Appendages","Enfeebling Appendages 0","NAT","Self","","","","0.01","Grants [Quick Cast 2]","Y","Self","0","Darkness","31541285"
"Enfeebling Appendages","Enfeebling Appendages 1","BLK","Single enemy","Magical","11.28","Dark, Lightning, NE","0.01","One single attack (11.28) capped at 99999, causes [DEF, RES and MND -70% (8s)], causes Flood of Darkness -1 to the user","Y","Lowest HP% enemy","0","Darkness","31541285"
"Enfeebling Appendages","Enfeebling Appendages 2","BLK","Single enemy","Magical","16.40","Dark, Lightning, NE","0.01","One single attack (16.40) capped at 99999, causes [Imperil Lightning 10% (15s)] and [DEF, RES and MND -70% (8s)], causes Flood of Darkness -2 to the user","Y","Lowest HP% enemy","0","Darkness","31541285"
"Particle Beam Charge Follow-Up","Particle Beam Charge","NAT","Single enemy","","","","0.01","Causes [Imperil Lightning 10% (15s)] and [Imperil Dark 10% (15s)], grants [Dark/Lightning Ability +30% Boost 1] to the user","N","Lowest HP% enemy","0","Darkness","31541289"
"Crystal's Revelation Mode","Tremendous Slash","PHY","Single enemy","Physical","3.54","Wind, Water, Fire, Earth, NE","0.01","One single attack (3.20/3.37/3.54) capped at 99999 if ATK is greater than or equal to 0/1200/1800 ATK, 100% hit rate","Y","Lowest HP% enemy","0","Celerity","31541324"
"Random Flame Dance Follow-Up","Random Flame Dance","PHY","Single enemy","Physical","?","Fire, NE","0.01","Six single attacks (? each)","Y","Lowest HP% enemy","0","Monk","31520060"
"Chain Force Mode (Ingus)","Guidance of Earth: Ingus","PHY","Single enemy","Physical","2.00","Earth, NE","0.01","One single attack (2.00) capped at 99999, grants [Earth Ability Quick Cast 4] to the user","Y","Lowest HP% enemy","0","Knight","31541970"
"Dual Awoken Altruist Mode I (Arc)","Dual Saintly Splash","NAT","Single enemy","Hybrid","-","Holy, Water, NE","0.01","Three single hybrid attacks (2.89/2.72 each), causes [Imperil Holy 10% (5s)] and [Imperil Water 10% (5s)], causes [DEF, RES and MND -50% (8s)] every second use","Y","Lowest HP% enemy","0","White Magic","31541978"
"Chain Force Mode (Arc)","Bond Guidance: Arc","NAT","Single enemy","Hybrid","-","Holy, Water, NE","0.01","Four single hybrid attacks (1.38/1.30 each)","Y","Lowest HP% enemy","0","White Magic","31541982"
"Dual Awoken Dark Mode I (Cloud of Darkness)","Dual Particle Blast","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each), grants [Quick Cast 1] to the user every second use","Y","Lowest HP% enemy","0","Darkness","31541976"
"Dual Awoken Black Magic Mode I (Onion Knight (Fire))","Dual Flame Sorcery","BLK","Single enemy","Magical","18.61","Fire, NE","0.01","One single attack (15.25/16.92/18.61) capped at 99999 if the user dealt 0-72000/72001-240000/240001+ damage while under [Dual Awoken Black Magic Mode I (Onion Knight (Fire))]","Y","Lowest HP% enemy","0","Black Magic","31541973"
"Dual Awoken Black Magic Mode II (Onion Knight (Fire))","Dual Fire Magic","BLK","Single enemy","Magical","11.88","Fire, NE","0.01","Six single attacks (1.98 each), grants [Quick Cast 1] to all allies to all allies in the character's row","Y","Lowest HP% enemy","0","Black Magic","31541974"
"Tidal Flood Follow-Up","Tidal Flood","SUM","Single enemy","Magical","7.85","Water, NE","0.01","Five single attacks (1.57 each), minimum damage 1100","N","Lowest HP% enemy","0","Summoning","30543064"
"Chaotic Moon","Lurking Shadow","PHY","Single enemy","Physical","4.32","Water, Lightning, NE","1.65","1/1/2 single attacks (2.16 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30511739"
"Old Man's Hammer Follow-Up","Old Man's Hammer","PHY","Single enemy","Physical","1.80","Lightning, NE","0.01","Four single attacks (0.45 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549151"
"Ladle of Love Mode","Ladle Lash","PHY","Single enemy","Physical","2.05","Earth, Fire, NE","0.01","Five single attacks (0.41 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548223"
"Tiny Curaga Follow-Up","Tiny Curaga","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), restores HP (27) if Palom is alive","Y","All allies","0","White Magic","30542414"
