Realm,Character,Img,Name,Tier,Type,Target,Formula,Multiplier,Element,Time,Effects,Counter,Auto Target,Points,Soulbreak Bonus,Relic,Name (JP),ID
Core,Biggs,,Boulder Blow,USB,PHY,Single enemy,Physical,7.00,"Earth, Holy, NE",2.5,"Ten single attacks (0.70 each), grants Elbow Follow-Up and PHY +30/50/70% Boost to the user scaling with uses",N,Lowest HP% enemy,500,ATK +10,Ancient Sword (Core),オレ様流・聖岩裂斬,23310002.0
Core,Biggs,,Flashy Blow,Glint,PHY,Single enemy,Physical,3.12,"Earth, NE",0.01,"Six single attacks (0.52 each), grants Attach Earth Stacking and Attach Earth to the user",N,Lowest HP% enemy,250,ATK +10,Coral Sword (Core),オレ様流・気合一閃,23310003.0
Core,Biggs,,Multifists,Glint,PHY,Random enemies,Physical,4.16,"Earth, NE",0.01,"Eight random attacks (0.52 each), grants PHY +30% Boost to the user",N,Random enemies,250,ATK +10,Warlord Fang (Core),ばくれつけん,23310004.0
Core,Wedge,,Remedy!,Default,NAT,All allies,,,,2.5,Removes negative effects,N,All allies,500,,-,万能薬っス！,23320001.0
Core,Wedge,,Trickster,USB,NAT,Single enemy,Hybrid,-,"Wind, Lightning, NE",2.5,"Ten single hybrid ranged attacks (0.70 or 1.68 each), grants ATK/DEF or DEF/MAG +30% for 25 seconds, Attach Wind and Aero Star Follow-Up to the user",N,Lowest HP% enemy,500,"ATK +5, MAG +5",Main Gauche (Core),トリックスター,23320002.0
Core,Wedge,,Fairy Stars,Glint,NAT,Single enemy,Hybrid,-,"Wind, NE",0.01,"Six single hybrid ranged attacks (0.52 or 1.25 each), grants Attach Wind Stacking and Attach Wind to the user",N,Lowest HP% enemy,250,"ATK +5, MAG +5",Ripper (Core),フェアリースター,23320003.0
Core,Wedge,,Great Chain-Cast,USB,BLK,Single enemy,Magical,16.50,"Fire, WInd, Ice, NE",2.5,"Ten single attacks (1.65 each), grants Black Magic +50% Boost 2, Magical Instant Cast 2 and Magic Purge Follow-Up to the user",N,Lowest HP% enemy,500,MAG +10,Scholar's Cap (Core),大連続じゅもん,23320004.0
Core,Wedge,,Slime Shower,Glint,PHY,All enemies,Physical,5.52,"Fire, Water, Wind, NE",0.01,Twelve group ranged attacks (0.46 each),N,All enemies,250,ATK +10,Slime Fan (Core),スライムシャワー,23320005.0
Core,Dr. Mog,,Tetra Break,Default,NAT,Single enemy,,,,2.5,"ATK, DEF, MAG and RES -30% for 15 seconds",N,Random enemy without status,500,,-,テトラブレイク,23060038.0
Core,Dr. Mog,,Nature's Wrath,USB,BLK,Single enemy,Magical,16.30,"Holy, Fire, Ice, Light., NE",2.5,"Ten single attacks (1.63 each), ATK, MAG and MND +30% to all allies for 25 seconds, grants Mog Follow-Up to the user",N,Lowest HP% enemy,500,"MAG +5, MND +5",Mythril Staff (Core),テトラディザスター,23060036.0
Core,Dr. Mog,,Royal Sentinel,Glint,NAT,All allies,,,,0.01,DEF and RES +200% for 25 seconds,N,All allies,250,"MAG +5, MND +5",Scholar Hat (Core),歴史省秘技「鉄壁」,23060037.0
Core,Dr. Mog,,Magic Burst,AOSB,BLK,All enemies,Magical,63.60,"Holy, Dark, NE",2.5,"Three group attacks (21.20 each), capped at 99999, multiplier increased by 0.0014 for every SB point",N,All enemies,750,MAG +10,Sage's Staff (Core),マダンテ,23060042.0
Core,Dr. Mog,,Puff,USB,BLK,All enemies,Magical,14.30,"Fire, NE",2.5,"Ten group attacks (1.43 each), grants Attach Fire, Medium Buff Fire and Intense Fire Follow-Up to the user",N,All enemies,500,MAG +10,Wyrm Wand (Core),ドラゴラム,23060043.0
Core,Dr. Mog,,Our Historia,CSB,NAT,All allies,,,,2.5,"Activates Core Chain (max 150, field +50%), grants Haste, ATK and MAG +30% for 25 seconds",N,All allies,500,,Power Staff (Core),我らが記すヒストリア,23060047.0
Core,Dr. Mog,,Tetra Catastrophe,AASB,BLK,Single enemy,Magical,22.50,"Holy, Fire, Ice, Lightning, NE",2.5,"Fifteen single attacks (1.50 each), grants Major Buff Holy, Major Buff Fire, Major Buff Ice, Major Buff Lightning, Awoken Royal Archives, Damage Cap +10000 and Royal Archives' Teachings Follow-Up to the user",N,Lowest HP% enemy,500,MAG +10,Judicer's Staff (Core),テトラカタストロフィ,23060048.0
Core,Dr. Mog,,Magic Burst,AOSB,BLK,Single enemy,Magical,62.90,"Holy, Fire, Ice, Lightning",2.5,"Twenty single attacks (1.82 each), followed by one single attack (26.50) capped at 99999",N,Lowest HP% enemy,750,MAG +10,Mage's Robe (Core),歴史省奥義「起源」,23060049.0
I,Warrior of Light,,Class Change,Default,NAT,Self,,,,3.0,"ATK, DEF, MAG and RES +30% for 25 seconds",N,Self,500,,-,クラスチェンジ,20330001.0
I,Warrior of Light,,Shining Wave,SB,PHY,Single enemy,Physical,4.80,Holy,3.0,One single ranged attack (4.80),N,Lowest HP% enemy,500,,Sun Blade (I),シャイニングウェーブ,20330002.0
I,Warrior of Light,,Radiant Sword,SSB,PHY,All enemies,Physical,6.00,-,2.5,"Eight group attacks (0.75 each), grants Physical Blink 1 to all allies",N,All enemies,500,ATK +10,Braveheart (I),レディアントソード,20330003.0
I,Warrior of Light,,Crossover,SB,PHY,Single enemy,Physical,5.20,Holy,2.5,"Four single attacks (1.30 each), RES +100% to the user for 25 seconds",N,Lowest HP% enemy,500,,Helm of Light (I),クロスオーバー,20330004.0
I,Warrior of Light,,Ultimate Shield,BSB,PHY,Single enemy,Physical,6.48,"Holy, NE",2.5,"Eight single attacks (0.81 each), grants Haste, Attach Holy and Burst Mode to the user",N,Lowest HP% enemy,500,ATK +10,Lustrous Shield (I),アルティメットシールド,20330005.0
I,Warrior of Light,,Shining Saber,OSB,PHY,Single enemy,Physical,11.44,"Holy, NE",2.5,One single attack (11.44~12.93 scaling with hits taken) capped at 99999,N,Lowest HP% enemy,500,ATK +10,Excalibur (I),ブライトセイバー,20330006.0
I,Warrior of Light,,Shield of Light,CSB,PHY,Single enemy,Physical,7.92,Holy,2.5,"Activates Holy Chain (max 99, field +20%), eleven single attacks (0.72 each), grants HP Stock (2000) to all allies",N,Lowest HP% enemy,500,ATK +10,Ragnarok (I),シールドオブライト,20330007.0
I,Warrior of Light,,Bitter End,USB,PHY,Single enemy,Physical,7.10,"Holy, NE",2.5,"Ten single attacks (0.71 each), grants Attach Holy and EX: Light's Blessing to the user",N,Lowest HP% enemy,500,ATK +10,Braveheart+ (I),エンドオール,20330008.0
I,Warrior of Light,,Bright Overload,AOSB,PHY,Single enemy,Physical,24.00,Holy,2.5,Three single attacks (8.00 each) capped at 99999,N,Lowest HP% enemy,750,ATK +10,Save the Queen (I),ブライトオーバー,20330009.0
I,Warrior of Light,,Hail of Light,USB,PHY,Single enemy,Physical,7.10,"Holy, NE",2.5,"Ten single attacks (0.71 each), grants Attach Holy and EX: Prophesied Warrior to the user",N,Lowest HP% enemy,500,ATK +10,Warrior of Light's Guise (I),クラシックオブライト,20330010.0
I,Warrior of Light,,Radiant Soul,Glint,NAT,Self,,,,0.01,"Grants Attach Holy Stacking, Attach Holy and High Quick Cast 2",N,Self,250,ATK +10,Ultima Weapon (I),レディアントソウル,20330011.0
I,Warrior of Light,,Radiant Buckler,USB,PHY,Single enemy,Physical,7.20,Holy,2.5,"Ten single attacks (0.72 each), grants Holy Radiant Shield: 75% and Instant Cast 1 to all allies",N,Lowest HP% enemy,500,ATK +10,Apocalypse (I),レディアントバックラー,20330015.0
I,Warrior of Light,,Oversoul,AASB,PHY,Single enemy,Physical,9.00,"Holy, NE",2.5,"Fifteen single attacks (0.60 each), grants Attach Holy, Awoken Holy, Damage Cap +10000 to the user, grants Major Buff Holy to all allies",N,Lowest HP% enemy,500,ATK +10,Durandal (I),オーバーソウル,20330016.0
I,Warrior of Light,,Crystal Wave,CSB,NAT,All allies,,,,2.5,"Activates I Chain (max 150, field +50%), grants Haste, ATK and MAG +30% for 25 seconds",N,All allies,500,ATK +10,Ultima Blade (I),クリスタルウェーブ,20330017.0
I,Warrior of Light,,Soul Keeper,Glint+,NAT,All allies,,,,0.01,"Grants Last Stand, grants Instant Cast 1 to the user",N,All allies,0,ATK +10,Dawn of Fantasy (I),リマインソウル,20330018.0
I,Garland,,Dire Strike,Default,NAT,Self,,,,3.0,"ATK +35% for 25 seconds, DEF -35% for 25 seconds",N,Self,500,,-,猛攻撃,22310003.0
I,Garland,,Chaos Bringer,SSB,PHY,Random enemies,Physical,7.80,Dark,2.5,"Four random attacks (1.95 each), heals the user for 50% of the damage dealt",N,Random enemies,500,ATK +10,Soulrender (I),カオスブリンガー,22310002.0
I,Garland,,Chaos Cyclone,SB,PHY,All enemies,Physical,4.14,Dark,2.5,"Three group ranged attacks (1.38 each), causes Imperil Dark 20% for 25 seconds",N,All enemies,500,,Dark Plate (I),混沌の竜巻,22310001.0
I,Garland,,Dark Rebirth,BSB,PHY,Single enemy,Physical,6.60,Dark,2.75,"Six single attacks (1.10 each), grants Haste, Attach Dark and Burst Mode to the user",N,Lowest HP% enemy,500,ATK +10,Ogrekiller (I),戦いの輪廻,22310004.0
I,Garland,,Bardiche,SSB,PHY,All enemies,Physical,5.75,"Dark, NE",2.5,"Five group attacks (1.15 each), ATK and DEF -50% for 25 seconds",N,All enemies,500,ATK +10,Gigantaxe (I),バルディッシュ,22310005.0
I,Garland,,Discord Incarnate,OSB,PHY,Single enemy,Physical,11.25,"Dark, NE",2.5,"One single attack (11.25) capped at 99999, 12.75 multiplier if exploiting elemental weakness",N,Lowest HP% enemy,500,ATK +10,Earthbreaker (I),混沌の現身,22310006.0
I,Garland,,Bent on Destruction,CSB,PHY,Single enemy,Physical,7.92,Dark,2.5,"Activates Dark Chain (max 99, field +20%), twenty-two single attacks (0.36 each)",N,Lowest HP% enemy,500,ATK +10,Rune Axe (I),闘争の境地,22310007.0
I,Garland,,Source of Hatred,USB,PHY,Single enemy,Physical,7.10,"Dark, NE",2.5,"Ten single attacks (0.71 each), grants Attach Dark, Darkness Quick Cycle and Grip of Chaos Follow-Up to the user",N,Lowest HP% enemy,500,ATK +10,Rebellion (I),憎悪の根源,22310008.0
I,Garland,,Twin Swords,BSB,PHY,Single enemy,Physical,6.64,"Dark, NE",2.5,"Eight single attacks (0.83 each), grants Haste, Attach Dark and Burst Mode to the user",N,Lowest HP% enemy,500,ATK +10,Claymore (I),ダーククラスチェンジ,22310009.0
I,Garland,,Scion of Malice,AOSB,PHY,Single enemy,Physical,24.00,Dark,2.5,Three single attacks (8.00 each) capped at 99999,N,Lowest HP% enemy,750,ATK +10,Chaosbringer (I),怨念の邪身,22310010.0
I,Garland,,Glimpse of Chaos,Glint,NAT,Self,,,,0.01,Grants Medium Buff Dark and High Quick Cast 2,N,Self,250,ATK +10,Garland's Helm (I),混沌の片鱗,22310011.0
I,Garland,,Chaos Genocide,USB,PHY,Single enemy,Physical,7.10,"Dark, NE",2.5,"Ten single attacks (0.71 each), ATK and DEF +30% to the user for 25 seconds, grants Attach Dark and Damage of Chaos Impact Follow-Up to the user",N,Lowest HP% enemy,500,ATK +10,Avenger (I),カオスジェノサイド,22310012.0
I,Garland,,Soul of Chaos,AASB,PHY,Single enemy,Physical,9.00,"Dark, NE",2.5,"Fifteen single attacks (0.60 each), grants Dark Radiant Shield: 75% to all allies, grants Attach Dark, Awoken Dark and Damage Cap +10000 to the user",N,Lowest HP% enemy,500,ATK +10,Blood Sword (I),ソウルオブカオス,22310013.0
I,Sarah,,Leading Light,Default,WHT,All enemies,Magical,1.40,Holy,2.75,One group attack (1.40),N,All enemies,500,,-,導きの光,22300003.0
I,Sarah,,Sacred Prayer,SB,WHT,All allies,,,,3.0,"Restores HP (50), grants High Regen",N,All allies,500,,Healing Staff (I),聖なる祈り,22300001.0
I,Sarah,,Ballad of Cornelia,SB,NAT,All allies,,,,2.5,ATK and DEF +30% for 25 seconds,N,All allies,500,,White Robe (I),コーネリアの調べ,22300002.0
I,Sarah,,Ancient Lute,SSB,WHT,All allies,,,,2.5,"Restores HP (85), grants Haste",N,All allies,500,MND +10,Ancient Lute (I),古のリュート,22300004.0
I,Sarah,,Age-old Hymn,BSB,WHT,All allies,,,,2.5,"Restores HP (55), grants Magical Blink 1, RES and MND +30% to the user for 25 seconds, grants Haste and Burst Mode to the user",N,All allies,500,MND +10,Light Robe (I),古の祈り歌,22300005.0
I,Sarah,,Ballad of Light,USB,NAT,All allies,,,,2.5,"ATK and MAG +30% for 25 seconds, grants Haste, Shell and HP Stock (2000)",N,All allies,500,MND +10,Sage Staff (I),戦士に捧ぐ歌,22300006.0
I,Sarah,,Crystal's Glean,USB,WHT,All allies,Magical,2.00,Holy,0.01,"Restores HP (85), damages undeads, grants Last Stand, grants Brave Mode to the user",N,All allies,500,MND +10,Staff of Light (I),クリスタルの輝き,22300007.0
I,Sarah,,Love of Cornelia,Glint,NAT,All allies,,,,0.01,"Grants Shell, Haste and Stoneskin: 30%",N,All allies,250,MND +10,Rune Staff (I),コーネリアへの慈愛,22300008.0
I,Sarah,,Song of Reunion,USB,WHT,All allies,,,,0.01,"Restores HP (85), grants Regenga, grants Quick Cast to the user, grants Minor Buff Holy/Dark if Warrior of Light/Garland is in the party, grants Medium Buff Holy and Medium Buff Dark if both are in the party",N,All allies,500,MND +10,Apollo's Harp (I),再会を願う歌,22300009.0
I,Sarah,,Light Rondo,Glint,NAT,All allies,,,,0.01,Grants Magical Blink 1 and Haste to all allies,N,All allies,250,MND +10,Stardust Rod (I),光のロンド,22300010.0
I,Wol,,Onion Dicer,Default,PHY,Single enemy,Physical,1.80,-,2.75,Three single attacks (0.60 each),N,Lowest HP% enemy,500,,-,たまねぎみじん切り,22280003.0
I,Wol,,Dancing Edge (I),SB,PHY,Single enemy,Physical,5.28,-,2.5,"Twelve single attacks (0.44 each), causes Stun (100%)",N,Random enemy without status,500,,Blank Gear (I),ダンシングエッジ,22280002.0
I,Wol,,Arc Slash,SSB,PHY,All enemies,Physical,6.00,-,2.5,"Four group attacks (1.50 each), ATK and MAG -40% for 25 seconds",N,All enemies,500,ATK +10,Blank Blade (I),ラウンドスラッシュ,22280001.0
I,Wol,,Overkill,USB,PHY,Single enemy,Physical,7.68,-,2.5,"Eight single ranged attacks (0.96 each), causes Crash -70% for 8 seconds, removes positive effects",N,Lowest HP% enemy,500,ATK +10,Organyx (I),オーバーキル,22280004.0
I,Wol,,Shijin Spiral,BSB,PHY,Random enemies,Physical,7.56,-,2.5,"Seven random attacks (1.08 each), ATK, DEF, MAG and RES -40% for 25 seconds, grants Haste and Burst Mode to the user",N,Random enemies,500,ATK +10,Monk's Leathers (I),四神円舞,22280005.0
I,Wol,,Sudden Smite,USB,PHY,Single enemy,Physical,6.30,"Earth, Holy",0.01,"Ten single attacks (0.63 each), ATK, MAG and MND -30% for 25 seconds, grants High Quick Cast and Brave Mode to the user",N,Lowest HP% enemy,500,ATK +10,Sargatanas (I),サドンスマイト,22280006.0
I,Wol,,Howl of Hell,BSB,NAT,All allies,,,,2.5,"ATK +50% for 25 seconds, grants Haste, grants Burst Mode to the user",N,All allies,500,ATK +10,Rogue Regalia (I),ヘルハウリング,22280007.0
I,Echo,,Healing Gift,Default,WHT,All allies,,,,2.75,Grants Low Regen,N,All allies,500,,-,いたいのとんでけ,22290003.0
I,Echo,,Elemental Gift,SB,BLK,All enemies,Magical,9.60,"Lightning, NE",2.5,Four group attacks (2.40 each),N,All enemies,500,,Mogurumi (I),エレメントほいほい,22290001.0
I,Echo,,Hastening Gift,SSB,NAT,All allies,,,,3.0,"Grants Shell and Haste, RES +50% for 25 seconds",N,All allies,500,MAG +10,Seraphic Rod (I),おうえんヘイスト,22290002.0
I,Echo,,Breaker's Gift,SSB,BLK,All enemies,Magical,14.19,-,2.5,"Three group attacks (4.73 each), MAG and RES -50% for 25 seconds",N,All enemies,500,MAG +10,Mythic Maracas (I),ブレイクごほうび,22290004.0
I,Echo,,Echo's Prize,BSB,NAT,All allies,,,,2.5,"Restores HP for 40% of the target's maximum HP, MAG and RES +30% for 25 seconds, grants Haste and Burst Mode to the user",N,All allies,500,MAG +10,Cane of Wisdom (I),エコーのご褒美,22290005.0
