"Name","Realm","Type","Synergy","Combine","Rarity","Level","ATK","DEF","MAG","RES","MND","ACC","EVA","Effect","Character","Soul Break","Legend Materia","Brar","Blv","Batk","Bdef","Bmag","Bres","Bmnd","Bacc","Beva","Mrar","Mlv","Matk","Mdef","Mmag","Mres","Mmnd","Macc","Meva","ID","GL","Season","Group","Random Passive Effects"
"Ichigeki","-","Dagger","","","S","50","300","0","0","0","0","95","0","Dark damage +20%","","","","S","50","221","","","","","95","","S","50","300","","","","","95","","21201047","✓","","",""
"Dancing Dagger","-","Dagger","","","S","50","300","0","0","0","0","95","0","Fire damage +20%","","","","S","50","221","","","","","95","","S","50","300","","","","","95","","21201078","✓","","",""
"Mythril Dagger","-","Dagger","","","S","50","151","0","300","0","97","95","0","Ice damage +20%","","","","S","50","93","","221","","62","95","","S","50","151","","300","","97","95","","21201008","✓","","",""
"Oborozuki","-","Dagger","","","S","50","300","0","0","0","0","95","0","Ice damage +20%","","","","S","50","221","","","","","95","","S","50","300","","","","","95","","21201053","✓","","",""
"Orichalcum","-","Dagger","","","S","50","300","0","0","0","0","95","0","Lightning damage +20%","","","","S","50","221","","","","","95","","S","50","300","","","","","95","","21201115","✓","","",""
"Poison Fang","-","Dagger","","","S","50","300","0","0","0","0","95","0","Poison damage +20%","","","","S","50","221","","","","","95","","S","50","300","","","","","95","","21201068","✓","","",""
"Shark","-","Dagger","","","S","50","151","0","300","0","97","95","0","Water damage +20%","","","","S","50","93","","221","","62","95","","S","50","151","","300","","97","95","","21201044","✓","","",""
"Shear Feather","-","Dagger","","","S","50","151","0","300","0","97","95","0","Wind damage +20%","","","","S","50","93","","221","","62","95","","S","50","151","","300","","97","95","","21201100","✓","","",""
"Swordbreaker","-","Dagger","","","S","50","151","0","300","0","97","95","0","Earth damage +20%","","","","S","50","93","","221","","62","95","","S","50","151","","300","","97","95","","21201112","✓","","",""
"Triton's Dagger","-","Dagger","","","S","50","300","0","0","0","0","95","0","Water damage +20%","","","","S","50","221","","","","","95","","S","50","300","","","","","95","","21201151","✓","","",""
"Blade of Recollection: Lightning","-","Dagger","","","S","50","285","0","285","0","0","95","0","Lightning damage +20%","","","","S","50","206","","206","","","95","","S","50","285","","285","","","95","","21201203","✓","","",""
"Blade of Recollection: Earth","-","Dagger","","","S","50","285","0","285","0","0","95","0","Earth damage +20%","","","","S","50","206","","206","","","95","","S","50","285","","285","","","95","","21201202","✓","","",""
"Blade of Recollection: Water","-","Dagger","","","S","50","285","0","285","0","0","95","0","Water damage +20%","","","","S","50","206","","206","","","95","","S","50","285","","285","","","95","","21201204","✓","","",""
"Blade of Recollection: Fire","-","Dagger","","","S","50","285","0","285","0","0","95","0","Fire damage +20%","","","","S","50","206","","206","","","95","","S","50","285","","285","","","95","","21201194","✓","","",""
"Blade of Recollection: Ice","-","Dagger","","","S","50","285","0","285","0","0","95","0","Ice damage +20%","","","","S","50","206","","206","","","95","","S","50","285","","285","","","95","","21201200","✓","","",""
"Blade of Recollection: Dark","-","Dagger","","","S","50","285","0","285","0","0","95","0","Dark damage +20%","","","","S","50","206","","206","","","95","","S","50","285","","285","","","95","","21201206","✓","","",""
"Blade of Recollection: Holy","-","Dagger","","","S","50","285","0","285","0","0","95","0","Holy damage +20%","","","","S","50","206","","206","","","95","","S","50","285","","285","","","95","","21201205","","","",""
"Blade of Recollection: Wind","-","Dagger","","","S","50","285","0","285","0","0","95","0","Wind damage +20%","","","","S","50","206","","206","","","95","","S","50","285","","285","","","95","","21201201","","","",""
"Blade of Recollection: Poison","-","Dagger","","","S","50","285","0","285","0","0","95","0","Poison damage +20%","","","","S","50","206","","206","","","95","","S","50","285","","285","","","95","","21201207","","","",""
"Crescent Knife","Core","Dagger","","","7","30","192","0","190","0","0","95","0","Wind damage +20%","Wedge","High-Flying Star","","7","30","133","","131","","","95","","9","40","212","","210","","","95","","21001214","","","",""
"Zwill Crossblade","I","Dagger","","","7","30","199","0","0","0","0","95","0","Poison damage +20%","Thief (I)","Crescent Gale","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001212","","","",""
"Danjuro","II","Dagger","","","7","30","199","0","0","0","0","95","0","Water damage +20%","Leila","Split Edge","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001198","✓","","",""
"Dancing Dagger+","II","Dagger","","","7","30","199","0","0","0","0","95","0","Water damage +20%","Leila","Pirate Splash","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001225","","","",""
"Poison Dagger","II","Dagger","","","7","30","199","0","0","0","0","95","0","Poison damage +20%","Leila","Poisonlink (Leila)","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001159","","","",""
"Man-Eater","IV","Dagger","","","7","30","85","0","204","0","90","95","0","Wind damage +20%","Barbariccia","Harsh Wind","","7","30","53","","144","","62","95","","9","40","96","","224","","99","95","","21001197","✓","","",""
"Danjuro","VI","Dagger","","","7","30","199","0","0","0","0","95","0","Fire damage +20%","Locke","Phoenix Heat","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001177","✓","","",""
"Illusion Dagger","VI","Dagger","","","7","30","199","0","0","0","0","95","0","Fire damage +20%","Locke","Apex Mirage Dive","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001179","✓","","",""
"Double Edge","VI","Dagger","","","7","30","199","0","0","0","0","95","0","Fire damage +20%","Locke","Guardian Phoenix","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001209","","","",""
"Phase Cutter","VI","Dagger","","","7","30","199","0","0","0","0","95","0","Fire damage +20%","Locke","Realmlink (Locke)","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001231","","","",""
"Air Knife","IX","Dagger","","","7","30","199","0","0","0","0","95","0","Wind damage +20%","Zidane","Realmlink (Zidane)","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001142","","","",""
"Vajra","XI","Dagger","","","7","30","199","0","0","0","0","95","0","Water damage +20%","Lion","Mandalic Stab","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001221","✓","","",""
"Misericorde","XI","Dagger","","","7","30","199","0","0","0","0","95","0","Water damage +20%","Lion","Apex Walk the Plank","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001227","","","",""
"Sleight Kukri","XI","Dagger","","","7","30","200","0","0","0","111","95","0","","Lilisette","Rousing Samba","","7","30","140","","","","67","95","","9","40","220","","","","125","95","","21001228","","","",""
"Lust Dagger","XII","Dagger","","","7","30","199","0","0","0","0","95","0","Wind damage +20%","Vaan","Swift Superstar","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001157","✓","","",""
"Twilight","XII","Dagger","","","7","30","199","0","0","0","0","95","0","Dark damage +20%","Gabranth","Dual Rend","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001192","✓","","",""
"Spurs of the Thorn Prince","XIV","Dagger","","","7","30","199","0","0","0","0","95","0","Earth damage +20%","Thancred","Assassinate","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001188","✓","","",""
"Mythril Knife","XV","Dagger","","","7","30","199","0","0","0","0","95","0","Fire damage +20%","Ignis","Sage's Hellfire","","7","30","139","","","","","95","","9","40","219","","","","","95","","21001182","✓","","",""
"Mythril Daggers","Type-0","Dagger","","","7","30","136","0","145","0","207","95","0","Holy damage +20%","Rem","Saintly Huntcraft","","7","30","92","","92","","147","95","","9","40","150","","163","","227","95","","21001161","✓","","",""
"Zwillblades","Type-0","Dagger","","","7","30","136","0","145","0","207","95","0","Holy damage +20%","Rem","Saintly Dagger Boomerang","","7","30","92","","92","","147","95","","9","40","150","","163","","227","95","","21001185","✓","","",""
"Main Gauche","Core","Dagger","","","6","25","170","0","160","0","0","95","0","Wind damage +20%","Wedge","Trickster","","6","25","124","","115","","","95","","8","35","188","","178","","","95","","21001154","✓","","",""
"Air Knife","Core","Dagger","","","6","25","170","0","160","0","0","95","0","Wind damage +20%","Wedge","Mach Star","","6","25","124","","115","","","95","","8","35","188","","178","","","95","","21001171","✓","","",""
"Sargatanas","I","Dagger","","","6","25","170","0","0","0","0","95","0","Earth damage +20%","Wol","Sudden Smite","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001103","✓","","",""
"Thief's Knife","I","Dagger","","","6","25","170","0","0","0","0","95","0","Wind damage +20%","Thief (I)","Dust Devil","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001181","✓","","",""
"Mage Masher","I","Dagger","","","6","25","171","0","0","0","0","95","0","","Thief (I)","Wind Drive","","6","25","125","","","","","95","","8","35","189","","","","","95","","21001169","✓","","",""
"Andraste's Nail","I","Dagger","","","6","25","170","0","0","0","0","95","0","Earth damage +20%","Wol","True Sudden Smite","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001183","✓","","",""
"Valiant Knife","I","Dagger","","","6","25","170","0","0","0","0","95","0","Wind damage +20%","Thief (I)","Lively Thieves","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001195","✓","","",""
"Zwill Crossblade","II","Dagger","","","6","25","170","0","0","0","0","95","0","Poison damage +20%","Leila","Pirate Scourge","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001148","✓","","",""
"Pirate's Knife","II","Dagger","","","6","25","170","0","0","0","0","95","0","Water damage +20%","Leila","Pirate's Cutlass","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001160","✓","","",""
"Assassin Dagger","II","Dagger","","","6","25","170","0","0","0","0","95","0","Water damage +20%","Leila","Pirate's Gaze","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001186","✓","","",""
"Gladius","III","Dagger","","","6","25","122","0","168","0","81","95","0","RS: Lightning damage +20%","Desch","Roar of Duty","","6","25","91","","123","","58","95","","8","35","134","","186","","90","95","","21001111","✓","","",""
"Orichalcum","III","Dagger","","","6","25","171","0","0","0","0","95","0","","Luneth","Winds of Possibility","","6","25","125","","","","","95","","8","35","189","","","","","95","","21001138","✓","","",""
"Barbariccia's Dagger","IV","Dagger","","","6","25","77","0","173","0","81","95","0","Wind damage +20%","Barbariccia","Whirlwind","","6","25","50","","128","","58","95","","8","35","87","","191","","90","95","","21001130","✓","","",""
"Air Knife","IV","Dagger","","","6","25","77","0","174","0","81","95","0","","Barbariccia","Eye of the Tornado","","6","25","50","","129","","58","95","","8","35","87","","192","","90","95","","21001174","✓","","",""
"Valiant Knife","IV","Dagger","","","6","25","170","0","0","0","81","95","0","Holy damage +20%","Ceodore","Gleam Thruster","","6","25","124","","","","58","95","","8","35","188","","","","90","95","","21001131","✓","","",""
"Chicken Knife","V","Dagger","","","6","25","165","0","0","0","0","95","0","","Bartz","Chosen Traveler","","6","25","119","","","","","95","","8","35","183","","","","","95","","21001039","✓","","",""
"Zwill Crossblade","V","Dagger","","","6","25","171","0","0","0","0","95","0","","Bartz","Crystals' Chosen","","6","25","125","","","","","95","","8","35","189","","","","","95","","21001123","✓","","",""
"Man-Eater","V","Dagger","","","6","25","170","0","0","0","0","95","0","Wind damage +20%","Bartz","Crystalline Focus","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001136","✓","","",""
"Behemoth Knife","V","Dagger","","","6","25","171","0","0","0","0","95","0","","Bartz","Quest of the Four","","6","25","125","","","","","95","","8","35","189","","","","","95","","21001156","✓","","",""
"Adamant Knife","V","Dagger","","","6","25","170","0","0","0","0","95","0","Earth damage +20%","Bartz","Rousing Earth","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001184","✓","","",""
"Mythril Knife","V","Dagger","","","6","25","77","0","174","0","140","95","0","","Gogo (V)","","Subversion (Gogo (V))","6","25","50","","129","","96","95","","8","35","87","","192","","158","95","","21001162","","","",""
"Gladius","VI","Dagger","","","6","25","158","0","0","0","0","95","0","Holy damage +20%","Locke","Miracle of Kohlingen","","6","25","112","","","","","95","","8","35","176","","","","","95","","21001077","✓","","",""
"Zwill Crossblade","VI","Dagger","","","6","25","165","0","0","0","0","95","0","Chance to cause Sleep","Locke","Atomic Dive","","6","25","119","","","","","95","","8","35","183","","","","","95","","21001082","✓","","",""
"Platinum Dagger","VI","Dagger","","","6","25","168","0","0","0","0","95","0","RS: Fire damage +20%","Locke","Burning Steel","","6","25","122","","","","","95","","8","35","186","","","","","95","","21001119","✓","","",""
"Orichalcum","VI","Dagger","","","6","25","170","0","0","0","0","95","0","Fire damage +20%","Locke","Blade of the Phoenix","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001107","✓","","",""
"Adventurer's Knife","VI","Dagger","","","6","25","171","0","0","0","0","95","0","","Locke","Heat Slicer","","6","25","125","","","","","95","","8","35","189","","","","","95","","21001167","✓","","",""
"Triton's Dagger","VI","Dagger","","","6","25","171","0","0","0","0","95","0","","Locke","Burning Spirit","","6","25","125","","","","","95","","8","35","189","","","","","95","","21001109","✓","","",""
"Dancing Dagger","IX","Dagger","","","6","25","170","0","0","0","0","95","0","Poison damage +20%","Marcus","Blade Gambit","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001153","✓","","",""
"Darksteel Baselard","XI","Dagger","","","6","25","164","0","94","0","0","95","0","","Lion","Pirate Pummel","","6","25","118","","63","","","95","","8","35","182","","106","","","95","","21001101","✓","","",""
"Darksteel Kukri","XI","Dagger","","","6","25","171","0","0","0","81","95","0","","Lilisette","Sensual Dance","","6","25","125","","","","58","95","","8","35","189","","","","90","95","","21001122","✓","","",""
"Norgish Dagger","XI","Dagger","","","6","25","170","0","0","0","0","95","0","Water damage +20%","Lion","Evisceration","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001120","✓","","",""
"Chicken Knife","XI","Dagger","","","6","25","170","0","0","0","0","95","0","Water damage +20%","Lion","Scatter Shot","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001121","✓","","",""
"Beetle Knife","XI","Dagger","","","6","25","171","0","0","0","0","95","0","","Lion","Shark Bite","","6","25","125","","","","","95","","8","35","189","","","","","95","","21001097","✓","","",""
"Avis","XI","Dagger","","","6","25","171","0","0","0","94","95","0","","Lilisette","","Hastening (Lilisette)","6","25","125","","","","63","95","","8","35","189","","","","106","95","","21001229","","","",""
"Shikari Nagasa","XII","Dagger","","","6","25","156","0","0","0","0","95","0","","Vaan","Blood-Red Spiral","","6","25","110","","","","","95","","8","35","174","","","","","95","","21001088","✓","","",""
"Triton's Dagger","XII","Dagger","","","6","25","170","0","0","0","0","95","0","Wind damage +20%","Vaan","Whitest Whorl","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001151","✓","","",""
"Sky Pirate's Knife","XII","Dagger","","","6","25","170","0","0","0","0","95","0","Wind damage +20%","Vaan","Dreadnought","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001158","✓","","",""
"Dancing Dagger","XII","Dagger","","","6","25","171","0","0","0","0","95","0","","Vaan","Wind of Liberation","","6","25","125","","","","","95","","8","35","189","","","","","95","","21001175","✓","","",""
"Yukimitsu","XIV","Dagger","","","6","25","170","0","0","0","0","95","0","Earth damage +20%","Thancred","Wheel of Life","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001143","✓","","",""
"Shire Knives","XIV","Dagger","","","6","25","171","0","0","0","0","95","0","","Thancred","Kassatsu","","6","25","125","","","","","95","","8","35","189","","","","","95","","21001190","✓","","",""
"Dreadwyrm Daggers","XIV","Dagger","","","6","25","170","0","0","0","0","95","0","Earth damage +20%","Thancred","Hidden Trick Attack","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001189","✓","","",""
"Avengers","XV","Dagger","","","6","25","171","0","0","0","0","95","0","","Ignis","Sagefire","","6","25","125","","","","","95","","8","35","189","","","","","95","","21001134","✓","","",""
"Swords of the Wanderer","XV","Dagger","","","6","25","170","0","0","0","0","95","0","Lightning damage +20%","Noctis","Regal Flair","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001139","✓","","",""
"Cutlass","XV","Dagger","","","6","25","170","0","0","0","0","95","0","Fire damage +20%","Ignis","Flameboost Bite","","6","25","124","","","","","95","","8","35","188","","","","","95","","21001141","✓","","",""
"Orichalcum Dirk","FFT","Dagger","","","6","25","165","0","0","0","0","95","0","","Delita","King Apparent","","6","25","119","","","","","95","","8","35","183","","","","","95","","21001113","✓","","",""
"Assassin's Dagger","FFT","Dagger","","","6","25","171","0","0","0","0","95","0","","Delita","","Onslaught (Delita)","6","25","125","","","","","95","","8","35","189","","","","","95","","21001216","✓","","",""
"Argentic Daggers","Type-0","Dagger","","","6","25","122","0","130","0","174","95","0","","Rem","Manalchemy","","6","25","91","","86","","130","95","","8","35","134","","148","","192","95","","21001105","✓","","",""
"Ogrenyxes","Type-0","Dagger","","","6","25","122","0","130","0","176","95","0","Holy damage +20%","Rem","Cleansing Flame","","6","25","91","","86","","132","95","","8","35","134","","148","","194","95","","21001128","✓","","",""
"Butterfly Edge","Type-0","Dagger","","","6","25","122","0","130","0","176","95","0","","Rem","Live Another Day","","6","25","91","","86","","132","95","","8","35","134","","148","","194","95","","21001140","✓","","",""
"Survival Edges","Type-0","Dagger","","","6","25","122","0","130","0","176","95","0","Holy damage +20%","Rem","Seraphim Strike","","6","25","91","","86","","132","95","","8","35","134","","148","","194","95","","21001150","✓","","",""
"Parrying Daggers","Type-0","Dagger","","","6","25","122","0","130","0","176","95","0","Holy damage +20%","Rem","Saintly Dagger Toss","","6","25","91","","86","","132","95","","8","35","134","","148","","194","95","","21001145","✓","","",""
"Defender's Daggers","Type-0","Dagger","","","6","25","122","0","130","0","176","95","0","","Rem","Tenacious Stand","","6","25","91","","86","","132","95","","8","35","134","","148","","194","95","","21001163","✓","","",""
"Ripper","Core","Dagger","","","5","20","137","0","129","0","0","95","0","","Wedge","Fairy Stars","","5","20","102","","95","","","95","","7","30","154","","146","","","95","","21001155","✓","","",""
"Behemoth Knife","Core","Dagger","","","5","20","94","0","0","0","0","95","0","","-","Meteorite","","5","20","64","","","","","95","","7","30","109","","","","","95","","21001033","✓","","",""
"Bolt Plume","Core","Dagger","","","5","20","136","0","0","0","0","95","0","Lightning damage +20%","","","","5","20","101","","","","","95","","7","30","153","","","","","95","","21001070","✓","","",""
"Frost Knife","Core","Dagger","","","5","20","136","0","0","0","0","95","0","Ice damage +20%","","","","5","20","101","","","","","95","","7","30","153","","","","","95","","21001170","✓","","",""
"Serpentscale Blade","Core","Dagger","","","5","20","136","0","0","0","0","95","0","Water damage +20%","","","","5","20","101","","","","","95","","7","30","153","","","","","95","","21001173","✓","","",""
"Tornado Dagger","Core","Dagger","","","5","20","136","0","0","0","0","95","0","Wind damage +20%","","","","5","20","101","","","","","95","","7","30","153","","","","","95","","21001176","✓","","",""
"Earth Knife","Core","Dagger","","","5","20","136","0","0","0","0","95","0","Earth damage +20%","","","","5","20","101","","","","","95","","7","30","153","","","","","95","","21001178","✓","","",""
"Lustrous Dagger","Core","Dagger","","","5","20","136","0","0","0","0","95","0","Holy damage +20%","","","","5","20","101","","","","","95","","7","30","153","","","","","95","","21001180","✓","","",""
"Shadowy Dagger","Core","Dagger","","","5","20","136","0","0","0","0","95","0","Dark damage +20%","","","","5","20","101","","","","","95","","7","30","153","","","","","95","","21001110","✓","","",""
"Phoenix Pinion","Core","Dagger","","","5","20","136","0","0","0","0","95","0","Fire damage +20%","","","","5","20","101","","","","","95","","7","30","153","","","","","95","","21001087","✓","","",""
"Gladius","I","Dagger","","","5","20","104","0","0","0","0","95","0","","","","","5","20","75","","","","","95","","7","30","119","","","","","95","","21001048","","","",""
"Orichalcum","I","Dagger","","","5","20","135","0","0","0","0","95","0","","Thief (I)","Invisibreak","","5","20","100","","","","","95","","7","30","152","","","","","95","","21001115","✓","","",""
"Mythril Knife","I","Dagger","","","5","20","135","0","0","0","0","95","0","","Thief (I)","Scourge Edge","","5","20","100","","","","","95","","7","30","152","","","","","95","","21001114","✓","","",""
"Sirius","I","Dagger","","","5","20","137","0","0","0","0","95","0","","Wol","","Breaker of Laws","5","20","102","","","","","95","","7","30","154","","","","","95","","21001152","✓","","",""
"Assassin Dagger","I","Dagger","","","5","20","137","0","0","0","0","95","0","","Thief (I)","Wind Trick","","5","20","102","","","","","95","","7","30","154","","","","","95","","21001116","✓","","",""
"Orichalcum","II","Dagger","","","5","20","97","0","0","0","0","95","0","","-","Scarlet Blade","","5","20","68","","","","","95","","7","30","111","","","","","95","","21001031","","","",""
"Dancing Dagger","II","Dagger","","","5","20","114","0","0","0","0","95","0","","Leila","Captain's Command","","5","20","79","","","","","95","","7","30","131","","","","","95","","21001078","✓","","",""
"Gladius","II","Dagger","","","5","20","125","0","0","0","0","95","0","","Leila","Poison Cloud XVI","","5","20","90","","","","","95","","7","30","142","","","","","95","","21001092","✓","","",""
"Mage Masher","II","Dagger","","","5","20","137","0","0","0","0","95","0","","Leila","","Pirate of Paloom","5","20","102","","","","","95","","7","30","154","","","","","95","","21001093","✓","","",""
"Lust Dagger","III","Dagger","","","5","20","115","0","0","0","0","95","0","","Luneth","Swordshower","","5","20","80","","","","","95","","7","30","132","","","","","95","","21001043","✓","","",""
"Assassin's Dagger","IV","Dagger","","","5","20","100","0","0","0","0","95","0","Chance to cause Instant KO","","","","5","20","71","","","","","95","","7","30","115","","","","","95","","21001067","✓","","",""
"Triton's Dagger","IV","Dagger","","","5","20","88","0","121","0","0","95","0","","Palom","Chaincast Boltstorm","","5","20","61","","87","","","95","","7","30","101","","138","","","95","","21001058","✓","","",""
"Air Knife","V","Dagger","","","5","20","106","0","0","0","0","95","0","Wind damage +20%","Bartz","Blade Wing","","5","20","75","","","","","95","","7","30","122","","","","","95","","21001045","✓","","",""
"Gladius","V","Dagger","","","5","20","137","0","0","0","0","95","0","","Bartz","Call of the Wind","","5","20","102","","","","","95","","7","30","154","","","","","95","","21001098","✓","","",""
"Triton's Dagger","V","Dagger","","","5","20","137","0","71","0","0","95","0","","Kelger","","Undimmed Justice","5","20","102","","53","","","95","","7","30","154","","80","","","95","","21001137","✓","","",""
"Assassin's Dagger","V","Dagger","","","5","20","137","0","0","0","0","95","0","Chance to cause Instant KO","Gilgamesh","","Melodramatic Swordsman","5","20","102","","","","","95","","7","30","154","","","","","95","","21001066","✓","","",""
"Assassin's Dagger","VI","Dagger","","","5","20","97","0","0","0","0","95","0","Chance to cause Instant KO","","","","5","20","68","","","","","95","","7","30","112","","","","","95","","21001018","✓","","",""
"Dancing Dagger","VI","Dagger","","","5","20","97","0","0","0","0","95","0","","-","Sword Dance","","5","20","68","","","","","95","","7","30","111","","","","","95","","21001050","","","",""
