"Realm","Character","Img","Name","Tier","Effect","Master","Relic","Name (JP)","ID","Anima"
"I","Warrior of Light","","Light Within","LMR","ATK +3% for each hit taken by damaging attacks, up to +35%","ATK +10","Crystal Helm (I)","輝ける魂","201010102","4"
"I","Warrior of Light","","Absolute Justice","LMR","Grants [Attach Holy] at the beginning of the battle","ATK +10","Flame Shield (I)","正義を信じぬく心","201010103","1"
"I","Warrior of Light","","Steadfast Warrior","LMR","25% chance to cast an ability (PHY: single, 3x 0.42 physical Holy/NE, restores 1500 HP to the lowest HP% ally) after taking damage from an enemy","ATK +10","Crystal Shield (I)","毅然たる戦士","201010104","4"
"I","Warrior of Light","","Cycle Breaker","LMR","Grants [Quick Cast 3] at the beginning of the battle","ATK +10","Light Axe (I)","時の鎖を断つ刃","201010105","4"
"I","Garland","","Embracer of the Dark","-","Increases Dark damage dealt by 10%","","-","闇を選びし者","201010200",""
"I","Garland","","Font of Darkness","-","40% chance of restoring HP to the user for 40% of the damage dealt with single-target Dark attacks","","-","闇の元凶","201010201",""
"I","Garland","","Frenzied Warrior","LMR","Restores HP for 100% of the user's maximum HP and grants [Extended Quick Cast] when HP fall below 20%","ATK +10","Demon Mail (I)","狂乱の古強者","201010202","1"
"I","Garland","","Timeless Hatred","LMR","25% chance to dualcast Darkness abilities","ATK +10","Garland's Cloak (I)","時を越えた憎悪","201010203","4"
"I","Garland","","Battlelust","LMR","Grants [Attach Dark] at the beginning of the battle","ATK +10","Demon Shield (I)","溢れる戦闘欲","201010204","4"
"I","Garland","","Onslaught (Garland)","LMR+","35% chance to cast an ability (PHY: single, 4x 0.54 physical Dark/NE) after dealing damage with a Dark ability","ATK +10","Giant's Gloves (I)","遊撃【ガーランド】","201010205",""
"I","Sarah","","Gracious Princess","-","WHT abilities restore 15% more HP","","-","心優しい姫","201010300",""
"I","Sarah","","Beloved Princess","-","35% chance to dualcast White Magic abilities","","-","民に愛されし姫君","201010302",""
"I","Sarah","","Warriors' Ballad","LMR","25% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability","MND +10","Princess Veil (I)","戦う者たちを想う歌","201010301","1"
"I","Sarah","","Windsong","LMR","35% chance to grant [Quick Cast 1] to the user after using a Bard ability","MND +10","Gold Hairpin (I)","はやての調べ","201010303","4"
"I","Wol","","Rational Realist","-","PHY attacks deal 10% more damage","","-","鋭い現実主義者","201010400",""
"I","Wol","","Revolutionary Warrior of Light","-","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-","世界を変えた光の戦士","201010401",""
"I","Wol","","Breaker of Laws","LMR","Grants [Elemental Boost] when HP fall below 20%","ATK +10","Sirius (I)","ルールを覆す者","201010402","1"
"I","Wol","","Aspirant of Light","LMR","20% chance to cause [Imperil Earth 10% (15s)] to the target after using a Earth attack on an enemy","ATK +10","Durga's Firangi (I)","光の戦士候補","201010403",""
"I","Echo","","Blank Guide","-","Reduces damage taken by BLK attacks by 10%","","-","ブランクを導く者","201010500",""
"I","Echo","","Master of Mischief","-","Increases the duration of stat debuffs by 40%","","-","いたずら好きの本領","201010502",""
"I","Echo","","Fickle Fortune","LMR","25% chance to cast an ability (NAT: group, restores HP for 30% of the target's maximum HP) after using a Dancer ability","MAG +10","Captain Costume (I)","気まぐれなごほうび","201010501","1"
"I","Echo","","Fabled Spirit","LMR","Grants [Haste] and [Instant Cast 1] at the beginning of the battle","MAG +10","Nirvana (I)","伝説の妖精","201010503","4"
"I","Echo","","Faerie Helper","LMR","25% chance to dualcast Dancer abilities","MAG +5, MND +5","Yggdrasil Staff (I)","妖精の手助け","201010504",""
"I","Master","","Fists of Steel","-","Monk abilities deal 15% more damage","","-","研ぎ澄ます鉄拳","201010600",""
"I","Master","","Fist of the Master","-","35% chance to dualcast Monk abilities","","-","達人の妙技","201010601",""
"I","Master","","Glimmer of Insight","LMR","25% chance to grant [ATK +35% for Next Damaging Action] to the user after using a Monk ability","ATK +10","Kenpogi (I)","熟練の瞬技","201010602","1"
"I","Master","","Martial Mentor","LMR","PHY attacks deal 20% more damage when equipping a fist","ATK +10","Soldier's Armlet (I)","武人の鑑","201010603","4"
"I","Matoya","","Eccentric Witch","-","BLK attacks deal 10% more damage","","-","偏屈な魔女","201010700",""
"I","Matoya","","Cave Keeper","-","35% chance to dualcast Witch abilities","","-","魔窟の主","201010702",""
"I","Matoya","","Mystic Master","LMR","Witch abilities deal 25% more damage when equipping a staff","MAG +10","Matoya's Hat (I)","魔道の老手","201010701","1"
"I","Matoya","","Apt Apothecary","LMR","35% chance to grant [Quick Cast 1] to the user after using a Witch ability","MAG +10","Mage's Staff (I)","優れた薬師","201010703",""
"I","Meia","","Bewitching Heretic","-","Increases Water damage dealt by 10%","","-","美貌の異端者","201010800",""
"I","Meia","","Chimeric Witch","-","30% chance to grant [Quick Cast 3] to the user after using a Water ability","","-","変幻自在な魔女","201010802",""
"I","Meia","","Azure Witchcraft","LMR","Grants [Attach Water] at the beginning of the battle","MAG +10","Vesna Krasna (I)","復讐の碧き魔力","201010801","1"
"I","Meia","","Free from Hatred","LMR","25% chance to dualcast abilities that deal Water damage","MAG +10","Glam Vamp (I)","憎悪からの解放","201010803","4"
"I","Thief (I)","","Deft Dagger","-","PHY attacks deal 10% more damage when equipping a dagger","","-","巧みな短剣さばき","201010900",""
"I","Thief (I)","","Thief's Prestige","-","35% chance to dualcast Thief abilities","","-","盗賊の矜持","201010902",""
"I","Thief (I)","","Thief's Fortune","LMR","50% chance to increase Gil gained at the end of battle by 30% when equipping a dagger","ATK +10","Thief's Bandana (I)","幸運な盗賊","201010901","1"
"I","Thief (I)","","Thieving Flair","LMR","35% chance to grant [Quick Cast 1] to the user after using a Wind or Poison attack","ATK +10","Brigand's Gloves (I)","義賊の流儀","201010903",""
"II","Firion","","All in the Wrist","-","PHY attacks deal 10% more damage","","-","巧みな武器術","201020100",""
"II","Firion","","Honed Skills","-","ATK +1% for each hit dealt with damaging PHY attacks, up to +50%","","-","武具を極めし者","201020101",""
"II","Firion","","Untarnished Honor","LMR","25% chance to dualcast Combat abilities","ATK +10","Mythril Shield (II)","折れぬ義侠心","201020103","1"
"II","Firion","","Future's Edge","LMR","25% chance to dualcast Samurai abilities","ATK +10","Winged Helm (II)","未来を切り開く刃","201020104","4"
"II","Firion","","Impassioned Leader","LMR","25% chance to dualcast Knight abilities","ATK +10","Crystal Mail (II)","熱き魂を持つ義士","201020105","4"
"II","Firion","","Defying Oppression","LMR","PHY attacks deal 20% more damage when equipping a sword","ATK +10","Mythril Spear (II)","支配への義憤","201020106","4"
"II","Maria","","Unshakeable","-","Increases Earth damage dealt by 10%","","-","気丈な振る舞い","201020200",""
"II","Maria","","Master of Magics","-","MAG +1% for each hit dealt with damaging BLK attacks, up to +30%","","-","熟練の大魔術","201020201",""
"II","Maria","","Depths of Sorrow","LMR","Grants [Attach Earth] at the beginning of the battle","MAG +10","Maria's Armguards (II)","深き慈しみの少女","201020202","1"
"II","Maria","","Searching Sister","LMR","25% chance to dualcast abilities that deal Earth damage","MAG +10","Minerva Bustier (II)","兄の行方を追う少女","201020203","4"
"II","Guy","","True of Heart","-","Increases Earth damage dealt by 10%","","-","素朴な好漢","201020300",""
"II","Guy","","Measured Might","-","30% chance to cause [Imperil Earth 10% (15s)] to the target after using a Earth attack on an enemy","","-","心優しき怪力青年","201020301",""
"II","Guy","","Hale and Hearty","LMR","PHY attacks deal 20% more damage when equipping an axe","ATK +10","Viking Axe (II)","頑健なる肉体","201020302","1"
"II","Leon","","Past Sins","-","Increases Dark damage dealt by 10%","","-","業深き戦士","201020400",""
"II","Leon","","Penance","-","ATK +2% for each hit dealt with PHY attacks that deal Dark damage, up to +50%","","-","犯した罪の贖罪","201020401",""
"II","Leon","","Dark Bloom","LMR","25% chance to dualcast Darkness abilities","ATK +10","Diamond Armor (II)","開花せし闇の力","201020402","1"
"II","Leon","","Knight Superior","LMR","Grants [Attach Dark] at the beginning of the battle","ATK +10","Obelisk (II)","優秀なる司令官","201020403","4"
"II","Minwu","","Regal Retainer","-","WHT abilities restore 15% more HP","","-","美しき参謀","201020500",""
"II","Minwu","","Ultimate Decree","-","75% chance to remove Poison, Silence, Blind and Confuse to the user after being afflicted with Poison, Silence, Blind or Confuse","","-","究極魔法に捧げし天命","201020501",""
"II","Minwu","","Rebel Mastermind","LMR","25% chance to grant [Physical Blink 1] to the target after using a single-target White Magic ability that restores HP on an ally","MND +10","Minwu's Bulwark (II)","反乱軍のブレーン","201020502","1"
"II","Minwu","","Seer of Fate","LMR","25% chance to dualcast White Magic abilities","MND +10","Staff of the Magi (II)","天命を見抜く瞳","201020503","4"
"II","Minwu","","Heroic Mage","LMR","Grants [Attach Holy] at the beginning of the battle","MND +10","Asura's Rod (II)","勇敢な白魔道士","201020504","4"
"II","Gordon","","Glimpse of Bravery","-","Support abilities deal 15% more damage","","-","勇気の片鱗","201020600",""
"II","Gordon","","Love's Vow","-","30% chance to cause [Imperil Fire 10% (15s)] to the target after using a Support ability","","-","愛する者への誓い","201020601",""
"II","Gordon","","Kashuan Heir","LMR","Increases the duration of stat debuffs by 30%","ATK +10","Diamond Shield (II)","カシュオーンの後継者","201020602","1"
"II","Gordon","","Ascendant Prince","LMR","Grants [Haste] and [Instant Cast 1] at the beginning of the battle","ATK +10","Heavy Lance (II)","芽生えし王族の自信","201020603","4"
"II","Gordon","","Ancestral Ardor","LMR","25% chance to cast Ancestral Ardor after using a Support ability","ATK +5, MAG +5","Crimson Armlet (II)","継承せし気炎","201020604",""
"II","Gordon","","Hastening (Gordon)","LMR+","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","ATK +5, MAG +5","Gordon's Guise (II)","迅速【ゴードン】","201020605",""
"II","Leila","","Mischievous Meddler","-","PHY attacks deal 10% more damage","","-","おせっかいな性分","201020700",""
"II","Leila","","Resourceful Captain","-","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-","世渡り上手な女ボス","201020701",""
"II","Leila","","Maiden of the Sea","LMR","25% chance to grant [Quick Cast 1] to the user after using a Water or Poison attack","ATK +10","Leila's Bandana (II)","海上の女傑","201020702","1"
"II","Leila","","Pirate of Paloom","LMR","20% chance to cause [Imperil Water 10% (15s)] to the target after using a Water attack on an enemy","ATK +10","Mage Masher (II)","パルムの海賊","201020703",""
"II","Ricard","","Daring Dragoon","-","Dragoon abilities deal 15% more damage","","-","勇猛なる竜騎士","201020800",""
"II","Ricard","","Promise of Peace","-","ATK +2% for each hit dealt with Dragoon abilities, up to +50%","","-","愛する者たちに誓う平和","201020801",""
"II","Ricard","","Windslice Wyvern","LMR","Grants [Attach Wind] at the beginning of the battle","ATK +10","Ricard's Gauntlets (II)","嵐を駆け抜けし竜","201020802","1"
"II","Ricard","","Storm Strider","LMR","Grants [Attach Lightning] at the beginning of the battle","ATK +10","Dragon Armor (II)","雷雲駆け抜けし竜","201020803","4"
"II","Josef","","Salamand's Boast","-","Monk abilities deal 15% more damage","","-","サラマンドの力自慢","201020900",""
"II","Josef","","Fitting End","-","Causes [Doom: 15], restores HP to all allies for 55% max HP and grants [Last Stand] to all allies when HP fall below 20%","","-","漢の散り様","201020901",""
"II","Josef","","Man of Virtue","LMR","Grants [Attach Ice] at the beginning of the battle","ATK +10","Aegis Shield (II)","仁義あふれる諜報員","201020902","1"
"II","Josef","","A Father's Love","LMR","25% chance to dualcast Monk abilities","ATK +10","Twist Headband (II)","娘への深き愛","201020903","4"
"II","Emperor","","Otherworldly Power","-","BLK attacks deal 10% more damage","","-","魔界より出でし力","201021000",""
"II","Emperor","","Hellforged Might","-","45% chance to counter enemy BLK attacks with an ability (NAT: single, causes [Imperil Earth 10%] for 15 seconds)","","-","地獄で得し究極の力","201021001",""
"II","Emperor","","Soul of Rebirth","LMR","Restores HP for 100% of the user's maximum HP and grants [Extended Quick Cast] when HP fall below 20%","MAG +10","Imperial Shell (II)","ソウルオブリバース","201021002","1"
"II","Emperor","","Despotic Stratagem","LMR","Grants [Attach Earth] at the beginning of the battle","MAG +10","Silver Despot (II)","独裁者の謀略","201021003","4"
"II","Emperor","","Bloody Past","LMR","25% chance to dualcast Black Magic or Darkness abilities","MAG +10","Royal Crown (II)","血塗られた戦いの歴史","201021004","4"
"II","Emperor","","Risen Tyrant","LMR","Black Magic abilities deal 25% more damage when equipping a rod","MAG +10","Deathbringer (II)","地獄より蘇りし暴君","201021005","4"
"II","Emperor","","Drastic Despot","LMR","Grants [Attach Dark] at the beginning of the battle","MAG +10","Marching Bracer (II)","手段を選ばぬ独裁者","201021006",""
"II","Hilda","","Rebel Commander","-","WHT abilities restore 15% more HP","","-","反乱軍の指揮者","201021100",""
"II","Hilda","","Princess's Hope","-","35% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability","","-","王女の激励","201021101",""
"II","Hilda","","Noble Blood","LMR","25% chance to dualcast White Magic abilities","MND +10","Hilda's Cloak (II)","高潔な血筋の淑女","201021102","1"
"II","Scott","","Gallant Prince","-","Spellblade abilities deal 15% more damage","","-","潔き王子","201021200",""
"II","Scott","","Shining Example","-","35% chance to dualcast Spellblade abilities","","-","後進に託す理想","201021201",""
"II","Scott","","Unspoken Love","LMR","Grants [Attach Fire] at the beginning of the battle","ATK +10","Demon Shield (II)","語らぬ愛","201021202","1"
"II","Scott","","Moxie (Scott)","LMR+","Increases Fire damage dealt by 25%","ATK +10","Scott's Guise (II)","昇華【スコット】","201021203",""
"III","Luneth","","Unbridled Curiosity","-","Increases Wind damage dealt by 10%","","-","好奇心旺盛な少年","201030100",""
"III","Luneth","","Windborn Warrior","-","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-","疾風の申し子","201030101",""
"III","Luneth","","Orphan of Ur","LMR","Grants [Attach Wind] at the beginning of the battle","ATK +10","Blessed Hammer (III)","ウルのやんちゃ坊主","201030102","1"
"III","Luneth","","Fast and Furious","LMR","35% chance to grant [Quick Cast 1] to the user after using a Wind attack","ATK +10","Dragoon Armor (III)","迅速果敢","201030103","4"
"III","Luneth","","Rascal of Ur","LMR","25% chance to dualcast abilities that deal Wind damage","ATK +10","Dual Haken (III)","ウルのわんぱく小僧","201030104","4"
"III","Arc","","Youthful Embrace","-","WHT abilities restore 15% more HP","","-","少年の思いやり","201030200",""
"III","Arc","","Childhood's End","-","35% chance to dualcast White Magic abilities","","-","頼もしき成長","201030201",""
"III","Arc","","Bookworm","LMR","MND +1% for each hit dealt with White Magic abilities, up to +25%","MND +10","Lordly Robes (III)","読書家の理知","201030202","1"
"III","Arc","","Studious Orphan","LMR","Grants [Attach Water] at the beginning of the battle","MND +10","Golden Staff (III)","博識な少年","201030203","4"
"III","Arc","","Plucky Orphan","LMR","25% chance to dualcast Summoning abilities","MND +10","Royal Crown (III)","芯強き少年","201030204","4"
"III","Arc","","Onslaught (Arc)","LMR+","35% chance to cast an ability (SUM/WHT: single, 3x 2.81/2.98 magical Water/Holy/NE, summoning ether 1 to the user) after dealing damage with a Water or Holy ability","MAG +10","Laurel Crown (III)","遊撃【アルクゥ】","201030205",""
"III","Refia","","Light of Affection","-","Increases Fire damage dealt by 10%","","-","色恋沙汰への興味","201030300",""
"III","Refia","","Competitive Spirit","-","Grants [ATK +50% for Next Damaging Action] to the user after dealing a critical hit","","-","灼熱の闘技","201030301",""
"III","Refia","","Deadly Charm","LMR","25% chance to dualcast abilities that deal Fire damage","ATK +10","Refia's Tunic (III)","乙女の可愛げ","201030302","1"
"III","Refia","","The Road Ahead","LMR","Grants [Attach Fire] at the beginning of the battle","ATK +10","Cat-ear Hood (III)","旅立ちの決意","201030303","4"
"III","Refia","","Onslaught (Refia)","LMR+","35% chance to cast an ability (PHY: single, 4x ? physical Fire/NE) after dealing damage with a Monk attack","ATK +10","Dragon Claw (III)","遊撃【レフィア】","201030304",""
"III","Ingus","","Gaia's Champion","-","Knight abilities deal 15% more damage","","-","大地の戦士","201030400",""
"III","Ingus","","Grim Protector","-","ATK +3% for each hit taken by damaging attacks, up to +50%","","-","果敢なる守り手","201030401",""
"III","Ingus","","Loyal Heart","LMR","25% chance to reduce damage taken by 30% when equipping a shield","ATK +10","Genji Shield (III)","忠義の精神","201030402","1"
"III","Ingus","","Resolute Warrior","LMR","Grants [Attach Earth] at the beginning of the battle","ATK +10","Genji Armor (III)","奥ゆかしき凄腕兵士","201030403","4"
"III","Ingus","","Stoic Knight","LMR","25% chance to cast an ability (PHY: single, 3x 0.42 physical Earth/NE, restores 1500 HP to the lowest HP% ally) after using a Knight ability","ATK +10","Knight's Helm (III)","静かなる騎士","201030404","4"
"III","Ingus","","Hidden Feelings","LMR","25% chance to dualcast Knight abilities","ATK +10","Genji Helm (III)","秘めたる恋慕","201030405",""
"III","Desch","","Ancient Wisdom","-","Increases Lightning damage dealt by 10%","","-","古代の英知","201030500",""
"III","Desch","","Rekindled Memory","-","35% chance to dualcast abilities that deal Lightning damage","","-","蘇る太古の記憶","201030501",""
"III","Desch","","Total Devotion","LMR","MAG +1% for each hit dealt with damaging BLK attacks, up to +20%","MAG +10","Bracer (III)","使命にかける気概","201030502","1"
"III","Desch","","Aimless Wanderer","LMR","Grants [Haste] and [Instant Cast 1] at the beginning of the battle","MAG +10","Blood Sword (III)","飄々とした風来坊","201030503","4"
"III","Desch","","Lovestruck Wanderer","LMR","Grants [Attach Lightning] at the beginning of the battle","MAG +10","Coral Sword (III)","流浪の伊達男","201030504",""
"III","Onion Knight","","Swordsman Sublime","-","35% chance to dualcast Celerity abilities","","-","武器術の頂","201030600",""
"III","Onion Knight","","Sorceror Sublime","-","35% chance to dualcast Black Magic abilities","","-","魔法術の頂","201030601",""
"III","Onion Knight","","Nom de Guerre","LMR","Grants [Instant Cast 2] at the beginning of the battle","ATK +5, MAG +5","Onion Cape (III)","伝説の称号を持つ少年","201030602","1"
"III","Onion Knight","","Power Overflowing","LMR","Black Magic abilities deal 25% more damage when equipping a rod","ATK +5, MAG +5","Onion Helm (III)","みなぎる魔力","201030603","4"
"III","Onion Knight","","Bounding Growth","LMR","Grants [Attach Water] at the beginning of the battle","MAG +10","Ninja Cowl (III)","飛躍的な成長","201030604",""
"III","Cloud of Darkness","","Eldritch Destroyer","-","Increases Dark damage dealt by 10%","","-","妖しき破壊者","201030700",""
"III","Cloud of Darkness","","Effusing Darkness","-","35% chance to cast an ability (BLK: group, 4.40 magical Dark) after using a Dark ability","","-","溢れし闇の波動","201030701",""
"III","Cloud of Darkness","","Spawn of Darkness","LMR","Grants [Attach Dark] at the beginning of the battle","MAG +10","Brooding Armguard (III)","闇の氾濫より出でし存在","201030702","1"
"III","Cloud of Darkness","","Herald of Darkness","LMR","Grants [Haste] and [Instant Cast 1] at the beginning of the battle","MAG +10","Chaos Mace (III)","無を招く暗雲","201030703","4"
"III","Cloud of Darkness","","Oblivion Seeker","LMR","25% chance to dualcast abilities that deal Dark damage","MAG +10","Dark Armlet (III)","虚無を望む者","201030704",""
"III","Cloud of Darkness","","Hastening (Cloud of Darkness)","LMR+","Grants [Quick Cast 3] after using three Dark abilities","MAG +10","Hades Gloves (III)","短縮【暗闇の雲】","201030705",""
"III","Aria","","Pure of Heart","-","WHT abilities restore 15% more HP","","-","清らかなる心","201030900",""
"III","Aria","","Water Crystal's Boon","-","Reduces damage taken by Fire attacks by 25%","","-","水のクリスタルの巫女","201030901",""
"III","Aria","","Crystal Prayer","LMR","25% chance to grant [Heals +30%] for 10 seconds to the user after using a WHT ability","MND +10","Spirit Ring (III)","クリスタルに捧ぐ祈り","201030902","1"
"III","Aria","","Duty First","LMR","25% chance to dualcast White Magic abilities","MND +10","Lamia's Tiara (III)","使命に殉ずる決意","201030903","4"
"III","Aria","","Maiden of the Wreck","LMR","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability","MND +10","Angel Robe (III)","難破船に眠りし巫女","201030904",""
"IV","Cecil (Dark Knight)","","Dark Knight's Honor","-","Increases Dark damage dealt by 10%","","-","暗黒騎士の侠気","201040100",""
"IV","Cecil (Dark Knight)","","Thirsting Fang","-","40% chance of restoring HP to the user for 40% of the damage dealt with single-target Dark attacks","","-","赤き血の牙","201040101",""
"IV","Cecil (Dark Knight)","","Thirsting Blade","LMR","Grants [Last Stand] and [Thirsting Blade] for 25 seconds when HP fall below 20%","ATK +10","Hades Armor (IV)","赤き呪いの剣","201040102","1"
"IV","Cecil (Dark Knight)","","Dark Power","LMR","Grants [Attach Dark] at the beginning of the battle","ATK +10","Arondight (IV)","深き闇の力","201040103","4"
"IV","Cecil (Dark Knight)","","Dark Elite","LMR","25% chance to dualcast Darkness abilities","ATK +10","Soul Sabre (IV)","暗黒の精鋭","201040104",""
"IV","Cecil (Paladin)","","Harmonious Soul","-","Reduces damage taken by Holy attacks by 10%","","-","和を重んじる騎士","201040200",""
"IV","Cecil (Paladin)","","Guileless Paladin","-","40% chance to cover PHY attacks that target allies, reducing damage taken by 50%","","-","聖騎士の誠心","201040201",""
"IV","Cecil (Paladin)","","Indomitable","LMR","DEF +3% for each hit taken by damaging attacks, up to +35%","ATK +10","Cecil's Guise (IV)","逆境を越えし聖騎士","201040202","4"
"IV","Cecil (Paladin)","","Ardor's Light","LMR","Grants [Attach Holy] at the beginning of the battle","ATK +10","Caesar's Plate (IV)","試練の果てに掴んだ光","201040203","1"
"IV","Cecil (Paladin)","","Led by the Moon","LMR","25% chance to dualcast Knight abilities","ATK +10","Crystal Shield (IV)","月の導き","201040204","4"
"IV","Cecil (Paladin)","","Holy Dawn","LMR","MND +1% for each hit dealt with White Magic abilities, up to +25%","MND +10","Crystal Armlet (IV)","聖なる力の開花","201040205","4"
"IV","Cecil (Paladin)","","Holy Promise","LMR","25% chance to dualcast White Magic abilities","MND +10","Platinum Armor (IV)","聖なる力の可能性","201040206","4"
"IV","Kain","","Echoing Roar","-","Increases Lightning damage dealt by 10%","","-","轟きし竜の咆哮","201040300",""
"IV","Kain","","Soaring Dragoon","-","ATK +2% for each hit dealt with jump attacks, up to +50%","","-","高き天を翔けし竜騎士","201040301",""
"IV","Kain","","Dragoon's Essence","LMR","Dragoon abilities deal 25% more damage when equipping a spear","ATK +10","Dragoon Bracers (IV)","竜騎士の証","201040302","1"
"IV","Kain","","Weak No More","LMR","Grants [Attach Lightning] at the beginning of the battle","ATK +10","Thunder Shield (IV)","弱き心との決別","201040303","4"
"IV","Kain","","Dragoon Resolute","LMR","25% chance to dualcast Dragoon abilities","ATK +10","Lightseeker Cap (IV)","克己の竜騎士","201040304","4"
"IV","Rydia","","Eidolon's Legacy","-","SUM attacks deal 10% more damage","","-","召喚士の末裔","201040400",""
"IV","Rydia","","Eidolon's Beloved","-","35% chance to dualcast Summoning abilities","","-","幻獣に愛されし者","201040401",""
"IV","Rydia","","Gifted Summoner","LMR","35% chance to grant [Quick Cast 1] to the user after using a Summoning ability","MAG +10","Rydia's Guise (IV)","類まれな召喚の才","201040402","1"
"IV","Rydia","","Pristine Spirit","LMR","Grants [Attach Water] at the beginning of the battle","MAG +10","Diamond Armlet (IV)","汚れなき心","201040403","4"
"IV","Rydia","","Opposing Fate","LMR","Grants [Attach Earth] at the beginning of the battle","MAG +10","Whale Whisker (IV)","運命に立ち向かう力","201040404","4"
"IV","Rydia","","Reluctant Fighter","LMR","SUM attacks deal 25% more damage when equipping a whip","MAG +10","Platinum Bangle (IV)","気負いなき素直さ","201040405","4"
"IV","Rosa","","Gentle Prayer","-","WHT abilities restore 15% more HP","","-","優しきいのり","201040600",""
"IV","Rosa","","Compassion's Boon","-","75% chance to remove Poison, Silence, Blind and Confuse to the user after being afflicted with Poison, Silence, Blind or Confuse","","-","情深き白魔道士","201040601",""
"IV","Rosa","","Quiet Devotion","LMR","MND +1% for each hit dealt with White Magic abilities, up to +25%","MND +10","Rosa's Armguard (IV)","ひたむきな想い","201040602","1"
