"ID","Common Name","Effects","Default Duration","MND Modifier","Exclusive Status"
"2023","Jump Instant Cast 1","Cast speed x9999999 for Jump attacks, lasts for 1 turn","-","-","-"
"2024","Physical High Quick Cast 1","Cast speed x3.00 for PHY attacks, lasts for 1 turn","-","-","-"
"2025","Thief Quick Cast 2","Cast speed x2.00 for Thief abilities, lasts for 2 turns","-","-","-"
"2026","Magical Instant Cast 3","Cast speed x9999999 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 3 turns","-","-","-"
"2027","Physical High Quick Cast 2","Cast speed x3.00 for PHY attacks, lasts for 2 turns","-","-","-"
"203","Confuse","Forces default action, affects targeting, resets ATB when set or removed, removed upon taking damage by PHY attack","30","± 2,50%","All ""Retaliate"" status, Rage, Green Cherry, Ability Berserk"
"204","Haste","Wait speed x2.00","-","-","Slow"
"205","Slow","Wait speed x0.50","20","0.005%","Haste, Infinite Haste"
"2051","Extended Quick Cast","Cast speed x2.00","25","-","-"
"2052","Spellblade Quick Cast: Alternative","Cast speed x2.00 for Spellblade abilities","15","-","-"
"2053","Jump Instant Cast","Cast speed x9999999 for Jump attacks","15","-","-"
"2054","Quick Cast","Cast speed x2.00","15","-","-"
"2055","Sharpshooter Quick Cast","Cast speed x2.00 for Sharpshooter abilities","15","-","-"
"2056","Jump Quick Cast","Cast speed x2.00 for Jump attacks","15","-","-"
"2057","High Quick Cast","Cast speed x3.00","15","-","-"
"2058","Physical High Quick Cast 3","Cast speed x3.00 for PHY attacks, lasts for 3 turns","-","-","-"
"2059","Striker Mode 1","Cast speed x2.00","15","-","Striker Mode 2, Striker Mode 3"
"206","Stop","Arrests ATB charge rate, can't act","6","± 2,00%","All ""Retaliate"" status"
"2060","Striker Mode 2","Cast speed x4.00","15","-","Striker Mode 1, Striker Mode 3"
"2061","Striker Mode 3","Cast speed x6.00","15","-","Striker Mode 1, Striker Mode 2"
"2062","Spellblade High Quick Cast","Cast speed x3.00 for Spellblade abilities","15","-","-"
"2063","Darkness Quick Cast 3","Cast speed x2.00 for Darkness abilities, lasts for 3 turns","-","-","-"
"2064","Black Magic High Quick Cast","Cast speed x3.00 for Black Magic abilities","15","-","-"
"2065","Black Magic Quick Cast","Cast speed x2.00 for Black Magic abilities","15","-","-"
"2066","Magical Quick Cast","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage","15","-","-"
"2067","White Magic High Quick Cast","Cast speed x3.00 for White Magic abilities","15","-","-"
"2068","Summoning Quick Cast","Cast speed x2.00 for Summoning abilities","15","-","-"
"2069","Summoning High Quick Cast","Cast speed x3.00 for Summoning abilities","15","-","-"
"207","Protect","DEF +100% (ignoring the buff stacking caps)","-","-","-"
"2070","Spellblade Quick Cast","Cast speed x2.00 for Spellblade abilities","15","-","-"
"2071","Combat Quick Cast","Cast speed x2.00 for Combat abilities","15","-","-"
"2072","Combat High Quick Cast","Cast speed x3.00 for Combat abilities","15","-","-"
"2073","Support Quick Cast","Cast speed x2.00 for Support abilities","15","-","-"
"2074","Support High Quick Cast","Cast speed x3.00 for Support abilities","15","-","-"
"2075","Celerity Quick Cast","Cast speed x2.00 for Celerity abilities","15","-","-"
"2076","Celerity High Quick Cast","Cast speed x3.00 for Celerity abilities","15","-","-"
"2077","Dragoon Quick Cast","Cast speed x2.00 for Dragoon abilities","15","-","-"
"2078","Dragoon High Quick Cast","Cast speed x3.00 for Dragoon abilities","15","-","-"
"2079","Monk Quick Cast","Cast speed x2.00 for Monk abilities","15","-","-"
"208","Shell","RES +100% (ignoring the buff stacking caps)","-","-","-"
"2080","Monk High Quick Cast","Cast speed x3.00 for Monk abilities","15","-","-"
"2081","Thief Quick Cast","Cast speed x2.00 for Thief abilities","15","-","-"
"2082","Thief High Quick Cast","Cast speed x3.00 for Thief abilities","15","-","-"
"2083","Knight Quick Cast","Cast speed x2.00 for Knight abilities","15","-","-"
"2084","Knight High Quick Cast","Cast speed x3.00 for Knight abilities","15","-","-"
"2085","Samurai Quick Cast","Cast speed x2.00 for Samurai abilities","15","-","-"
"2086","Samurai High Quick Cast","Cast speed x3.00 for Samurai abilities","15","-","-"
"2087","Ninja Quick Cast","Cast speed x2.00 for Ninja abilities","15","-","-"
"2088","Ninja High Quick Cast","Cast speed x3.00 for Ninja abilities","15","-","-"
"2089","Bard Quick Cast","Cast speed x2.00 for Bard abilities","15","-","-"
"209","Reflect","Redirect single-target BLK and WHT attacks to a random member of the opposite group","35","3.00%","-"
"2090","Bard High Quick Cast","Cast speed x3.00 for Bard abilities","15","-","-"
"2091","Dancer Quick Cast","Cast speed x2.00 for Dancer abilities","15","-","-"
"2092","Dancer High Quick Cast","Cast speed x3.00 for Dancer abilities","15","-","-"
"2093","Machinist Quick Cast","Cast speed x2.00 for Machinist abilities","15","-","-"
"2094","Machinist High Quick Cast","Cast speed x3.00 for Machinist abilities","15","-","-"
"2095","Darkness Quick Cast","Cast speed x2.00 for Darkness abilities","15","-","-"
"2096","Darkness High Quick Cast","Cast speed x3.00 for Darkness abilities","15","-","-"
"2097","Sharpshooter High Quick Cast","Cast speed x3.00 for Sharpshooter abilities","15","-","-"
"2098","Witch Quick Cast","Cast speed x2.00 for Witch abilities","15","-","-"
"2099","Witch High Quick Cast","Cast speed x3.00 for Witch abilities","15","-","-"
"210","Blind","ACC -50%, decreases hit rate by 75%, persists after battle","60","± 2,00%","Eye Power"
"2100","Heavy Quick Cast","Cast speed x2.00 for Heavy abilities","15","-","-"
"2101","Heavy High Quick Cast","Cast speed x3.00 for Heavy abilities","15","-","-"
"2102","Black Magic Quick Cast 2","Cast speed x2.00 for Black Magic abilities, lasts for 2 turns","-","-","-"
"2103","Black Magic Quick Cast 3","Cast speed x2.00 for Black Magic abilities, lasts for 3 turns","-","-","-"
"2104","White Magic Quick Cast 2","Cast speed x2.00 for White Magic abilities, lasts for 2 turns","-","-","-"
"2105","White Magic Quick Cast 3","Cast speed x2.00 for White Magic abilities, lasts for 3 turns","-","-","-"
"2106","Summoning Quick Cast 2","Cast speed x2.00 for Summoning abilities, lasts for 2 turns","-","-","-"
"2107","Summoning Quick Cast 3","Cast speed x2.00 for Summoning abilities, lasts for 3 turns","-","-","-"
"2108","Spellblade Quick Cast 2","Cast speed x2.00 for Spellblade abilities, lasts for 2 turns","-","-","-"
"2109","Spellblade Quick Cast 3","Cast speed x2.00 for Spellblade abilities, lasts for 3 turns","-","-","-"
"211","Sleep","Arrests ATB charge rate, can't act, removed upon taking damage by PHY attack","30","± 2,00%","All ""Retaliate"" status"
"2110","Combat Quick Cast 2","Cast speed x2.00 for Combat abilities, lasts for 2 turns","-","-","-"
"2111","Combat Quick Cast 3","Cast speed x2.00 for Combat abilities, lasts for 3 turns","-","-","-"
"2112","Support Quick Cast 2","Cast speed x2.00 for Support abilities, lasts for 2 turns","-","-","-"
"2113","Support Quick Cast 3","Cast speed x2.00 for Support abilities, lasts for 3 turns","-","-","-"
"2114","Celerity Quick Cast 2","Cast speed x2.00 for Celerity abilities, lasts for 2 turns","-","-","-"
"2115","Celerity Quick Cast 3","Cast speed x2.00 for Celerity abilities, lasts for 3 turns","-","-","-"
"2116","Dragoon Quick Cast 2","Cast speed x2.00 for Dragoon abilities, lasts for 2 turns","-","-","-"
"2117","Dragoon Quick Cast 3","Cast speed x2.00 for Dragoon abilities, lasts for 3 turns","-","-","-"
"2118","Monk Quick Cast 2","Cast speed x2.00 for Monk abilities, lasts for 2 turns","-","-","-"
"2119","Monk Quick Cast 3","Cast speed x2.00 for Monk abilities, lasts for 3 turns","-","-","-"
"212","Petrify","Arrests ATB charge rate, can't act, resets ATB when set, persists after battle, counts towards Game Over","-","-","All"
"2120","Thief Quick Cast 3","Cast speed x2.00 for Thief abilities, lasts for 3 turns","-","-","-"
"2121","Knight Quick Cast 3","Cast speed x2.00 for Knight abilities, lasts for 3 turns","-","-","-"
"2122","Samurai Quick Cast 2","Cast speed x2.00 for Samurai abilities, lasts for 2 turns","-","-","-"
"2123","Samurai Quick Cast 3","Cast speed x2.00 for Samurai abilities, lasts for 3 turns","-","-","-"
"2124","Ninja Quick Cast 2","Cast speed x2.00 for Ninja abilities, lasts for 2 turns","-","-","-"
"2125","Ninja Quick Cast 3","Cast speed x2.00 for Ninja abilities, lasts for 3 turns","-","-","-"
"2126","Bard Quick Cast 2","Cast speed x2.00 for Bard abilities, lasts for 2 turns","-","-","-"
"2127","Bard Quick Cast 3","Cast speed x2.00 for Bard abilities, lasts for 3 turns","-","-","-"
"2128","Dancer Quick Cast 2","Cast speed x2.00 for Dancer abilities, lasts for 2 turns","-","-","-"
"2129","Dancer Quick Cast 3","Cast speed x2.00 for Dancer abilities, lasts for 3 turns","-","-","-"
"213","Doom: 60","Causes Doom with a 60 seconds timer","-","-","-"
"2130","Machinist Quick Cast 3","Cast speed x2.00 for Machinist abilities, lasts for 3 turns","-","-","-"
"2131","Darkness Quick Cast 2","Cast speed x2.00 for Darkness abilities, lasts for 2 turns","-","-","-"
"2132","Sharpshooter Quick Cast 2","Cast speed x2.00 for Sharpshooter abilities, lasts for 2 turns","-","-","-"
"2133","Sharpshooter Quick Cast 3","Cast speed x2.00 for Sharpshooter abilities, lasts for 3 turns","-","-","-"
"2134","Witch Quick Cast 2","Cast speed x2.00 for Witch abilities, lasts for 2 turns","-","-","-"
"2135","Witch Quick Cast 3","Cast speed x2.00 for Witch abilities, lasts for 3 turns","-","-","-"
"2136","Heavy Quick Cast 2","Cast speed x2.00 for Heavy abilities, lasts for 2 turns","-","-","-"
"2137","Heavy Quick Cast 3","Cast speed x2.00 for Heavy abilities, lasts for 3 turns","-","-","-"
"2138","Black Magic High Quick Cast 2","Cast speed x3.00 for Black Magic abilities, lasts for 2 turns","-","-","-"
"2139","Black Magic High Quick Cast 3","Cast speed x3.00 for Black Magic abilities, lasts for 3 turns","-","-","-"
"214","Instant KO","HP = 0 when set","-","-","-"
"2140","White Magic High Quick Cast 2","Cast speed x3.00 for White Magic abilities, lasts for 2 turns","-","-","-"
"2141","White Magic High Quick Cast 3","Cast speed x3.00 for White Magic abilities, lasts for 3 turns","-","-","-"
"2142","Summoning High Quick Cast 2","Cast speed x3.00 for Summoning abilities, lasts for 2 turns","-","-","-"
"2143","Summoning High Quick Cast 3","Cast speed x3.00 for Summoning abilities, lasts for 3 turns","-","-","-"
"2144","Spellblade High Quick Cast 2","Cast speed x3.00 for Spellblade abilities, lasts for 2 turns","-","-","-"
"2145","Spellblade High Quick Cast 3","Cast speed x3.00 for Spellblade abilities, lasts for 3 turns","-","-","-"
"2146","Combat High Quick Cast 2","Cast speed x3.00 for Combat abilities, lasts for 2 turns","-","-","-"
"2147","Combat High Quick Cast 3","Cast speed x3.00 for Combat abilities, lasts for 3 turns","-","-","-"
"2148","Support High Quick Cast 2","Cast speed x3.00 for Support abilities, lasts for 2 turns","-","-","-"
"2149","Support High Quick Cast 3","Cast speed x3.00 for Support abilities, lasts for 3 turns","-","-","-"
"215","Berserk","ATK +25%, forces default action, affects targeting","20","± 2,50%","All ""Retaliate"" status, Rage, Green Cherry, Ability Berserk, Confuse"
"2150","Celerity High Quick Cast 2","Cast speed x3.00 for Celerity abilities, lasts for 2 turns","-","-","-"
"2151","Celerity High Quick Cast 3","Cast speed x3.00 for Celerity abilities, lasts for 3 turns","-","-","-"
"2152","Dragoon High Quick Cast 2","Cast speed x3.00 for Dragoon abilities, lasts for 2 turns","-","-","-"
"2153","Dragoon High Quick Cast 3","Cast speed x3.00 for Dragoon abilities, lasts for 3 turns","-","-","-"
"2154","Monk High Quick Cast 2","Cast speed x3.00 for Monk abilities, lasts for 2 turns","-","-","-"
"2155","Monk High Quick Cast 3","Cast speed x3.00 for Monk abilities, lasts for 3 turns","-","-","-"
"2156","Thief High Quick Cast 2","Cast speed x3.00 for Thief abilities, lasts for 2 turns","-","-","-"
"2157","Thief High Quick Cast 3","Cast speed x3.00 for Thief abilities, lasts for 3 turns","-","-","-"
"2158","Knight High Quick Cast 2","Cast speed x3.00 for Knight abilities, lasts for 2 turns","-","-","-"
"2159","Knight High Quick Cast 3","Cast speed x3.00 for Knight abilities, lasts for 3 turns","-","-","-"
"216","Low Regen","Heals for 3% max HP every 3.00 seconds","30","3.00%","Medium Regen, High Regen, Poison, Sap, Zombie, Regenga"
"2160","Samurai High Quick Cast 2","Cast speed x3.00 for Samurai abilities, lasts for 2 turns","-","-","-"
"2161","Samurai High Quick Cast 3","Cast speed x3.00 for Samurai abilities, lasts for 3 turns","-","-","-"
"2162","Ninja High Quick Cast 2","Cast speed x3.00 for Ninja abilities, lasts for 2 turns","-","-","-"
"2163","Ninja High Quick Cast 3","Cast speed x3.00 for Ninja abilities, lasts for 3 turns","-","-","-"
"2164","Bard High Quick Cast 2","Cast speed x3.00 for Bard abilities, lasts for 2 turns","-","-","-"
"2165","Bard High Quick Cast 3","Cast speed x3.00 for Bard abilities, lasts for 3 turns","-","-","-"
"2166","Dancer High Quick Cast 2","Cast speed x3.00 for Dancer abilities, lasts for 2 turns","-","-","-"
"2167","Dancer High Quick Cast 3","Cast speed x3.00 for Dancer abilities, lasts for 3 turns","-","-","-"
"2168","Machinist High Quick Cast 2","Cast speed x3.00 for Machinist abilities, lasts for 2 turns","-","-","-"
"2169","Machinist High Quick Cast 3","Cast speed x3.00 for Machinist abilities, lasts for 3 turns","-","-","-"
"2170","Darkness High Quick Cast 2","Cast speed x3.00 for Darkness abilities, lasts for 2 turns","-","-","-"
"2171","Darkness High Quick Cast 3","Cast speed x3.00 for Darkness abilities, lasts for 3 turns","-","-","-"
"2172","Sharpshooter High Quick Cast 2","Cast speed x3.00 for Sharpshooter abilities, lasts for 2 turns","-","-","-"
"2173","Sharpshooter High Quick Cast 3","Cast speed x3.00 for Sharpshooter abilities, lasts for 3 turns","-","-","-"
"2174","Witch High Quick Cast 2","Cast speed x3.00 for Witch abilities, lasts for 2 turns","-","-","-"
"2175","Witch High Quick Cast 3","Cast speed x3.00 for Witch abilities, lasts for 3 turns","-","-","-"
"2176","Heavy High Quick Cast 2","Cast speed x3.00 for Heavy abilities, lasts for 2 turns","-","-","-"
"2177","Heavy High Quick Cast 3","Cast speed x3.00 for Heavy abilities, lasts for 3 turns","-","-","-"
"2178","Black Magic Instant Cast 2","Cast speed x9999999 for Black Magic abilities, lasts for 2 turns","-","-","-"
"2179","Black Magic Instant Cast 3","Cast speed x9999999 for Black Magic abilities, lasts for 3 turns","-","-","-"
"218","Float","","","",""
"2180","White Magic Instant Cast 2","Cast speed x9999999 for White Magic abilities, lasts for 2 turns","-","-","-"
"2181","White Magic Instant Cast 3","Cast speed x9999999 for White Magic abilities, lasts for 3 turns","-","-","-"
"2182","Summoning Instant Cast 2","Cast speed x9999999 for Summoning abilities, lasts for 2 turns","-","-","-"
"2183","Summoning Instant Cast 3","Cast speed x9999999 for Summoning abilities, lasts for 3 turns","-","-","-"
"2184","Spellblade Instant Cast 2","Cast speed x9999999 for Spellblade abilities, lasts for 2 turns","-","-","-"
"2185","Spellblade Instant Cast 3","Cast speed x9999999 for Spellblade abilities, lasts for 3 turns","-","-","-"
"2186","Combat Instant Cast 2","Cast speed x9999999 for Combat abilities, lasts for 2 turns","-","-","-"
"2187","Combat Instant Cast 3","Cast speed x9999999 for Combat abilities, lasts for 3 turns","-","-","-"
"2188","Support Instant Cast 2","Cast speed x9999999 for Support abilities, lasts for 2 turns","-","-","-"
"2189","Support Instant Cast 3","Cast speed x9999999 for Support abilities, lasts for 3 turns","-","-","-"
"219","Weak","","","",""
"2190","Celerity Instant Cast 2","Cast speed x9999999 for Celerity abilities, lasts for 2 turns","-","-","-"
"2191","Celerity Instant Cast 3","Cast speed x9999999 for Celerity abilities, lasts for 3 turns","-","-","-"
"2192","Dragoon Instant Cast 2","Cast speed x9999999 for Dragoon abilities, lasts for 2 turns","-","-","-"
"2193","Dragoon Instant Cast 3","Cast speed x9999999 for Dragoon abilities, lasts for 3 turns","-","-","-"
"2194","Monk Instant Cast 2","Cast speed x9999999 for Monk abilities, lasts for 2 turns","-","-","-"
"2195","White Magic Quick Cast","Cast speed x2.00 for White Magic abilities","15","-","-"
"2196","Thief Instant Cast 2","Cast speed x9999999 for Thief abilities, lasts for 2 turns","-","-","-"
"2197","Thief Instant Cast 3","Cast speed x9999999 for Thief abilities, lasts for 3 turns","-","-","-"
"2198","Knight Instant Cast 2","Cast speed x9999999 for Knight abilities, lasts for 2 turns","-","-","-"
"2199","Knight Instant Cast 3","Cast speed x9999999 for Knight abilities, lasts for 3 turns","-","-","-"
"220","Zombie","","","",""
"2200","Samurai Instant Cast 2","Cast speed x9999999 for Samurai abilities, lasts for 2 turns","-","-","-"
"2201","Samurai Instant Cast 3","Cast speed x9999999 for Samurai abilities, lasts for 3 turns","-","-","-"
"2202","Ninja Instant Cast 2","Cast speed x9999999 for Ninja abilities, lasts for 2 turns","-","-","-"
"2203","Ninja Instant Cast 3","Cast speed x9999999 for Ninja abilities, lasts for 3 turns","-","-","-"
"2204","Bard Instant Cast 2","Cast speed x9999999 for Bard abilities, lasts for 2 turns","-","-","-"
"2205","Bard Instant Cast 3","Cast speed x9999999 for Bard abilities, lasts for 3 turns","-","-","-"
"2206","Dancer Instant Cast 2","Cast speed x9999999 for Dancer abilities, lasts for 2 turns","-","-","-"
"2207","Dancer Instant Cast 3","Cast speed x9999999 for Dancer abilities, lasts for 3 turns","-","-","-"
"2209","Machinist Instant Cast 3","Cast speed x9999999 for Machinist abilities, lasts for 3 turns","-","-","-"
"221","Mini","","","",""
"2210","Darkness Instant Cast 2","Cast speed x9999999 for Darkness abilities, lasts for 2 turns","-","-","-"
"2211","Darkness Instant Cast 3","Cast speed x9999999 for Darkness abilities, lasts for 3 turns","-","-","-"
"2212","Sharpshooter Instant Cast 2","Cast speed x9999999 for Sharpshooter abilities, lasts for 2 turns","-","-","-"
"2213","Sharpshooter Instant Cast 3","Cast speed x9999999 for Sharpshooter abilities, lasts for 3 turns","-","-","-"
"2214","Witch Instant Cast 2","Cast speed x9999999 for Witch abilities, lasts for 2 turns","-","-","-"
"2215","Witch Instant Cast 3","Cast speed x9999999 for Witch abilities, lasts for 3 turns","-","-","-"
"2216","Heavy Instant Cast 2","Cast speed x9999999 for Heavy abilities, lasts for 2 turns","-","-","-"
"2217","Heavy Instant Cast 3","Cast speed x9999999 for Heavy abilities, lasts for 3 turns","-","-","-"
"2218","Magical High Quick Cast 3","Cast speed x3.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 3 turns","-","-","-"
"2219","Magical High Quick Cast","Cast speed x3.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage","15","-","-"
"222","Toad","","","",""
"2220","Magical High Quick Cast 1","Cast speed x3.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 1 turn","-","-","-"
"2221","Beyond Enlightened Mode 1","Cast speed x2.00 for magical damage, grants [Beyond Enlightened Mode 2] after using a Holy attack, removed if the user hasn't Saintly Arc Finisher","-","-","All other ""Beyond Enlightened Mode"" status"
"2222","Beyond Enlightened Mode 2","Cast speed x2.50 for magical damage, grants [Beyond Enlightened Mode 3] after using a Holy attack, removed if the user hasn't Saintly Arc Finisher","-","-","All other ""Beyond Enlightened Mode"" status"
"2223","Beyond Enlightened Mode 3","Cast speed x3.00 for magical damage, grants [Beyond Enlightened Mode 3] after using a Holy attack, removed if the user hasn't Saintly Arc Finisher","-","-","All other ""Beyond Enlightened Mode"" status"
"2224","Magical High Quick Cast 2","Cast speed x3.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 2 turns","-","-","-"
"2225","Magical Instant Cast 2","Cast speed x9999999 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 2 turns","-","-","-"
"2226","Beyond Enlightened Mode 0","Grants [Beyond Enlightened Mode 1] after using a Holy attack, removed if the user hasn't Saintly Arc Finisher","-","-","All other ""Beyond Enlightened Mode"" status"
"2227","Combat Instant Cast","Cast speed x9999999 for Combat abilities","15","-","-"
"2228","Celerity Instant Cast","Cast speed x9999999 for Celerity abilities","15","-","-"
"2229","Monk High Quick Cast 1","Cast speed x3.00 for Monk abilities, lasts for 1 turn","-","-","-"
"2230","Instant Cast","Cast speed x9999999","15","-","-"
"223","Curse","","","",""
"224","Slownumb","","","",""
"225","Blink","","","",""
"2250","Lightning Instant Cast","Cast speed x9999999 for Lightning attacks","15","-","-"
"2251","Jump High Quick Cast 2","Cast speed x3.00 for Jump attacks, lasts for 2 turns","-","-","-"
"2252","Water Instant Cast","Cast speed x9999999 for Water attacks","15","-","-"
"2253","Water Quick Cast","Cast speed x2.00 for Water attacks","15","-","-"
"2254","Physical Quick Cast","Cast speed x2.00 for PHY attacks","15","-","-"
"2255","Spellblade High Quick Cast 1","Cast speed x3.00 for Spellblade abilities, lasts for 1 turn","-","-","-"
"2256","Physical Quick Cast 1","Cast speed x2.00 for PHY attacks, lasts for 1 turn","-","-","-"
"2257","Machinist Instant Cast","Cast speed x9999999 for Machinist abilities","15","-","-"
"2258","High Quick Cast 3","Cast speed x3.00, lasts for 3 turns","-","-","-"
"2259","Physical Quick Cast 2","Cast speed x2.00 for PHY attacks, lasts for 2 turns","-","-","-"
"226","Imp","","","",""
"2260","Jump Instant Cast 3","Cast speed x9999999 for Jump attacks, lasts for 3 turns","-","-","-"
"2261","Thief Instant Cast","Cast speed x9999999 for Thief abilities","15","-","-"
"2262","Ninja Instant Cast 1","Cast speed x9999999 for Ninja abilities, lasts for 1 turn","-","-","-"
"2263","Jump Quick Cast 1","Cast speed x2.00 for Jump attacks, lasts for 1 turn","-","-","-"
"2264","133% Quick Cast 1","Cast speed x1.33, lasts for 1 turn","-","-","-"
"2265","Dragoon Quick Cast 1","Cast speed x2.00 for Dragoon abilities, lasts for 1 turn","-","-","-"
"2266","High Quick Cast (25s)","Cast speed x3.00","25","-","-"
"2267","166% Quick Cast 1","Cast speed x1.66, lasts for 1 turn","-","-","-"
"2268","142% Quick Cast 1","Cast speed x1.42, lasts for 1 turn","-","-","-"
"2269","125% Quick Cast 1","Cast speed x1.25, lasts for 1 turn","-","-","-"
"2270","111% Quick Cast 1","Cast speed x1.11, lasts for 1 turn","-","-","-"
"2271","Holy Quick Cast 4","Cast speed x2.00 for Holy attacks, lasts for 4 turns","-","-","-"
"2272","Earth/Holy Ability Quick Cast (15s)","Cast speed x2.00 for Earth and Holy abilities","15","-","-"
"227","Vanish","","","",""
"228","Pig","","","",""
"229","Sap","Damages for 1/64 max HP every 2.00 seconds","40","-","Low Regen, Medium Regen, High Regen, Poison, Phantom Regen, Regenga"
"231","Pyramid","Arrests ATB charge rate, can't act, resets ATB when set, removed by PHY attacks, counts towards Game Over","-","-","All except KO"
"232","Prison Cage","Arrests ATB charge rate, can't act, resets ATB when set, counts towards Game Over","30","-","All except KO, Low Regen, Medium Regen, High Regen, Regenga, HP Stock"
"233","Water Ball","Damages for 1/128 max HP every second, arrests ATB charge rate, can't act, resets ATB when set, counts towards Game Over","-","-","All except KO"
"234","Possession","Affects Soul Fire's behaviour","30","-","-"
"235","Stock Break","No gameplay effects","-","-","-"
"236","Doom: 30","Causes Doom with a 30 seconds timer","-","-","-"
"23601","Deprecated Doom: 30","Causes Doom with a 30 seconds timer","-","-","-"
"23602","Deprecated Doom: 15","Causes Doom with a 15 seconds timer","","-","-"
"237","Doom: 45","Causes Doom with a 45 seconds timer","-","-","-"
"238","Doom: 90","Causes Doom with a 90 seconds timer","-","-","-"
"239","Doom: 120","Causes Doom with a 120 seconds timer","-","-","-"
"240","Triple","Affects Cerberus' behaviour","-","-","-"
"241","Swallowed","Arrests ATB charge rate, can't act, resets ATB when set, counts towards Game Over","-","-","All except KO"
"242","Stun","Resets ATB when set","1","-","-"
"243","High Regen","Heals for 5% max HP every 2.50 seconds","35","3.00%","Low Regen, Medium Regen, Poison, Sap, Zombie, Regenga"
"244","Arm Catch","Arrests ATB charge rate, can't act, resets ATB when set, counts towards Game Over","-","-","-"
"245","Perma-Reflect","Redirect single-target BLK and WHT attacks to a random member of the opposite group","-","-","-"
"246","Glyph Mine","","-","-","-"
"247","Medium Regen","Heals for 4% max HP every 2.50 seconds","30","3.00%","Low Regen, High Regen, Poison, Sap, Zombie, Regenga"
"248","[School] Cast Speed *X","Cast speed xX for [School] attacks, or any attack if no [School] is specified","-","-","-"
"249","Reraise: 40%","Automatically removes KO (40% HP) once","-","-","-"
"250","Reraise: 60%","Automatically removes KO (60% HP) once","-","-","Reraise: 40%"
"251","Reraise: 80%","Automatically removes KO (80% HP) once","-","-","Reraise: 40%, Reraise: 60%"
"252","Reraise: 100%","Automatically removes KO (100% HP) once","-","-","Reraise: 40%, Reraise: 60%, Reraise: 80%"
"253","Reraise","Can't act","-","-","All"
"255","Void Target","Affects Lady Amandine's behaviour","-","-","-"
"256","Deprecated Doom: 45","Causes Doom with a 45 seconds timer","-","-","-"
"257","No Air Time 2","Changes the air time of Jump attacks to 0.01 seconds, lasts for 2 turns","-","-","-"
"258","No Air Time 3","Changes the air time of Jump attacks to 0.01 seconds, lasts for 3 turns","-","-","-"
