"Character","Source","Name","Synchro Ability Slot","Synchro Condition","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","Synchro Condition ID"
"Firion","Algid Arsenal","Gelid Wand","2","Ice","NAT","Self","","","","0.01","Grants [Ice Ability +30% Boost 3]","N","Self","70","Samurai","アイスワンド","31540908","101"
"Hilda","Wild Rose Bloom","Fortifying Minuet","1","Bard, Dancer","NAT","All allies","","","","0.01","Grants [40% Damage Reduction Barrier 1] and [HP Stock (1000)]","N","All allies","70","Bard","堅守のメヌエット","31540043","1001"
"Hilda","Wild Rose Bloom","Peaceful Lamentation","2","Bard, White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","安らぎの哀歌","31540044","1005"
"Leila","Split Edge","Water Bite","1","Water","PHY","Single enemy","Physical","4.80","Water, NE","0.01","Six single attacks (0.80 each)","Y","Lowest HP% enemy","60","Thief","ウォータバイト","31540116","105"
"Leila","Split Edge","Aqua Harm","2","Water","PHY","Single enemy","Physical","2.40","Water, NE","1.20","Three single attacks (0.80 each), grants [Water Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","70","Thief","アクアハーム","31540117","105"
"Emperor","World Dominator","Dismal Gale","1","Black Magic, Darkness","BLK","Single enemy","Magical","18.30","Dark, Earth, Wind, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","冥闇の暴風","31540472","1009"
"Emperor","World Dominator","Dismal Cyclone","2","Black Magic, Darkness","BLK","Single enemy","Magical","16.40","Dark, Earth, Wind, NE","1.65","One single attack (16.40) capped at 99999, grants [Black Magic +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Black Magic","冥闇の竜巻","31540473","1009"
"Josef","Heroic Blow","Shard Striker","1","Monk","PHY","Single enemy","Physical","5.40","Ice, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Monk","砕氷拳打","31540331","9"
"Josef","Heroic Blow","Guardian Stance","2","Monk","NAT","Self","","","","1.65","Grants [Instant Cast 2]/[40% Damage Reduction Barrier 2]/[100% Critical (25s)] to the user/all allies/all allies at Heroism level 0/1/2, removes Heroism from the user","N","Self","100","Support","仁王立ち","31540332","9"
"Gordon","Tender Legacy","Resolute Will","1","White Magic","NAT","Single enemy","","","","1.65","Causes [ATK and DEF -50% (15s)]/[MAG and RES -50% (15s)] every 1+2n/2+2n activations","N","Lowest HP% enemy","100","Support","確固たる決意","31540555","2"
"Gordon","Tender Legacy","Refined Guidance","2","White Magic","NAT","Another ally","","","","0.01","Grants [Soul Break Gauge +150] if the user has Fortitude level > 0, causes Fortitude -1 to the user, grants [Quick Cast 1] to all allies","N","Random ally","70","Support","精妙なる指揮","31540556","2"
"Scott","Scathing Flamberge","Flames of Compassion","1","Fire","PHY","Single enemy","Physical","5.10","Fire, NE","1.65","Six single attacks (0.85/0.95 each) if 0/1+ of Gordon or Hilda are alive, grants [Buff Fire 10% (5s)] to all allies","Y","Lowest HP% enemy","90","Spellblade","想いの烈炎","31540552","100"
"Scott","Scathing Flamberge","Brave Resolve","2","Fire","PHY","Single enemy","Physical","2.70","Fire, NE","1.65","Three single attacks (0.90 each), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","90","Spellblade","勇ましき奮闘","31540553","100"
"Onion Knight","Channel Water","Synchrospell Water","1","Water","BLK","Single enemy","Magical","18.30","Water, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","同期式だいまほう・水","30541163","105"
"Onion Knight","Channel Water","Breachspell Water","2","Water","BLK","Single enemy","Magical","16.40","Water, NE","1.65","One single attack (16.40) capped at 99999, grants [Water Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Black Magic","限界突破だいまほう・水","30541164","105"
"Onion Knight","Channel Earth","Synchrospell Earth","1","Earth","BLK","Single enemy","Magical","18.30","Earth, NE","1.65","Six single attacks (3.05 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Black Magic","同期式だいまほう・地","31540742","103"
"Onion Knight","Channel Earth","Breachspell Earth","2","Earth","NAT","Self","","","","0.01","Grants [Earth Ability +30% Boost 3] if the user has Earth Magus level 0, grants [Earth Ability +30% Boost 3] and [High Quick Cast 1] to all allies if the user has Earth Magus level 1, causes Earth Magus -1 to the user","N","Self","70","Black Magic","限界突破だいまほう・地","31540743","103"
"Onion Knight","Channel Wind","Synchrospell Wind","1","Wind","BLK","Single enemy","Magical","18.30","Wind, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","同期式だいまほう・風","31541024","104"
"Onion Knight","Channel Wind","Breachspell Wind","2","Wind","NAT","Self","","","","0.01","Grants [Quick Cast 3] and [Wind Ability +50% Boost 3]","N","Self","70","Black Magic","限界突破だいまほう・風","31541025","104"
"Ingus","Knight's Assault","Titanic Rush","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Knight","ティターンラッシュ","30544422","103"
"Ingus","Knight's Assault","Titanic Charge","2","Earth","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [Earth Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Knight","ティターンチャージ","30544423","103"
"Cloud of Darkness","Diffusion Particle Beam","Chain Aura Ball","1","Dark","BLK","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Darkness","連弾式 波動球","31540278","107"
"Cloud of Darkness","Diffusion Particle Beam","Deceit Aura Ball","2","Dark","BLK","Single enemy","Magical","16.40","Dark, NE","1.65","One single attack (16.40) capped at 99999, causes [DEF, RES and MND -70% (8s)] if user has Tentacle Form level 1, causes Tentacle Form -1","Y","Lowest HP% enemy","90","Darkness","装弾式 波動球","31540279","107"
"Aria","Ephemeral Maiden","Sacred Iris","1","Bard, White Magic","WHT","Single ally","","","","0.01","Restores HP (55) if target hasn't any Stoneskin, grants [Stoneskin: 50%]/[Stoneskin: 100%] if target hasn't/has any Stoneskin","N","Lowest HP% ally","70","White Magic","聖空のアイリス","31540282","1005"
"Aria","Ephemeral Maiden","Rainbow Sky Veil","2","Bard, White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","虹空のヴェール","31540283","1005"
"Luneth","Silver Wind","Tempest Leap","1","Wind","PHY","Single enemy","Physical","5.40","Wind, NE","1.65","Six single ranged jump attacks (0.90 each)","Y","Lowest HP% enemy","90","Dragoon","疾風の跳躍","31540482","104"
"Luneth","Silver Wind","Spear Squall","2","Wind","PHY","Single enemy","Physical","2.40","Wind, NE","0.01","Three single attacks (0.90 each)","Y","Lowest HP% enemy","60","Celerity","暴風の槍撃","31540483","104"
"Arc","Invoke Leviath","Aqua Leviath","1","Water","NAT","Single enemy","Hybrid","-","Water, NE","1.65","Six single hybrid attacks (3.05 or 3.10 each), causes [Imperil Water 10% (5s)]","N","Lowest HP% enemy","90","Summoning","アクアリバイア","31540457","105"
"Arc","Invoke Leviath","Saint's Leviath","2","Holy","NAT","Single enemy","Hybrid","-","Holy, NE","1.65","Six single hybrid attacks (3.05 or 3.10 each), causes [Imperil Holy 10% (5s)]","N","Lowest HP% enemy","90","White Magic","セイントリバイア","31540458","106"
"Refia","Circle of Love","Crimson Hexapalm","1","Fire","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each) with additional 20% critical damage","Y","Lowest HP% enemy","90","Monk","緋炎六拳","31540683","100"
"Refia","Circle of Love","Blazing Ascension","2","Fire","NAT","Self","","","","0.01","Grants [100% Critical 2] and [Fire Ability +30% Boost 2]","N","Self","70","Monk","炎昇","31540684","100"
"Desch","Sparks of Life","Crackling Purge (Bolt 0)","1","Lightning","BLK","Single enemy","Magical","18.30","Lightning, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","散雷滅却","31540678","102"
"Desch","Sparks of Life","Crackling Purge (Bolt 1)","1","Lightning","BLK","Single enemy","Magical","18.30","Lightning, NE","1.65","Six single attacks (3.05 each), causes Bolt -1 to the user","Y","Lowest HP% enemy","90","Black Magic","散雷滅却","31540678","102"
"Desch","Sparks of Life","Crackling Purge (Bolt 2)","1","Lightning","BLK","Single enemy","Magical","16.40","Lightning, NE","1.65","One single attack (16.40) capped at 99999, grants [Quick Cast 3] to the user, causes Bolt -1 to the user","Y","Lowest HP% enemy","90","Black Magic","散雷滅却","31540678","102"
"Desch","Sparks of Life","Crackling Purge (Bolt 3)","1","Lightning","BLK","Single enemy","Magical","16.40","Lightning, NE","1.65","One single attack (16.40) capped at 99999, causes [Imperil Lightning 20% (15s)], causes Bolt -1 to the user","Y","Lowest HP% enemy","90","Black Magic","散雷滅却","31540678","102"
"Desch","Sparks of Life","Electric Devotion","2","Lightning","NAT","Self","","","","0.01","Grants Bolt +1","N","Self","70","Black Magic","滅私召雷","31540679","102"
"Ingus","Valliant Gallantry","Sasune Rush","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Knight","サスーンラッシュ","31541028","103"
"Ingus","Valliant Gallantry","Sasune Rampart","2","Earth","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [Quick Cast 1] to the user, grants [40% Damage Reduction Barrier 1] to all FF3 allies","Y","Lowest HP% enemy","90","Knight","サスーンガード","31541029","103"
"Kain","Blood Dragoon","Sworn Lance","1","Lightning","PHY","Single enemy","Physical","6.40","Lightning, NE","1.65","One single ranged jump attack (6.40) capped at 99999, air time (2.50 sec.)","Y","Lowest HP% enemy","90","Dragoon","誓いの竜槍","30548312","102"
"Kain","Blood Dragoon","Dragoon Thunderbolt","2","Lightning","PHY","Single enemy","Physical","2.70","Lightning, NE","1.65","Three single ranged attacks (0.90 each), grants [Jump High Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Dragoon","竜騎士団の雷楔","30548313","102"
"Kain","Cross Javelin","Shadow Stab","1","Lightning, Dark","PHY","Single enemy","Physical","3.60","Lightning, Dark, NE","1.65","4/8 single ranged jump attacks (0.90 each) if user has Half-Dragon 0/1+, grants [Damage Cap +10000 1] to the user, causes Half-Dragon -1 to the user","Y","Lowest HP% enemy","90","Dragoon","シャドウスタッブ","31540087","2002"
"Kain","Cross Javelin","Shadow Avenger","2","Dragoon","PHY","Single enemy","Physical","2.70","Lightning, Dark, NE","1.65","Three single ranged jump attacks (0.90 each), grants [100% Critical 2], [Dragoon +30% Boost 2] and Half-Dragon +2 to the user","Y","Lowest HP% enemy","90","Dragoon","シャドウアヴェンジャー","31540088","8"
"Rydia","Eidolon Zantetsuken","Wrathful Strike","1","Earth","SUM","Single enemy","Magical","18.30","Earth, NE","1.65","Six single attacks (3.05 each), grants [Quick Cast 1] to the user","N","Lowest HP% enemy","90","Summoning","憤怒の連撃","30543145","103"
"Rydia","Eidolon Zantetsuken","Wrathful Roar","2","Earth","SUM","Single enemy","Magical","9.15","Earth, NE","1.65","Three single attacks (3.05 each), grants [Earth Ability +30% Boost 3] and smart ether 1 to the user","N","Lowest HP% enemy","90","Summoning","憤怒の咆哮","30543146","103"
"Rydia","Broken Heart","Eidolon King's Favor","1","Water","SUM","Single enemy","Magical","18.30","Water, NE","1.65","Six single attacks (3.05 each)","N","Lowest HP% enemy","90","Summoning","幻獣王の冥護","30543263","105"
"Rydia","Broken Heart","Eidolon King's Roar","2","Water","SUM","All enemies","Magical","12.20","Water, NE","1.65","Four group attacks (3.05 each), grants [50% Damage Reduction Barrier 4] to the user if user has Feymarch Form level 1, causes Feymarch Form -1 to the user","N","All enemies","90","Summoning","幻獣王の咆哮","30543264","105"
"Rydia","Holy Burst","Righteous Heart","1","Holy","SUM","Single enemy","Magical","18.30","Holy, NE","1.65","Six single attacks (3.05 each)","N","Lowest HP% enemy","90","Summoning","迷いなき心","31540961","106"
"Rydia","Holy Burst","Immaculate Power","2","Holy","NAT","Self","","","","0.01","Grants [Holy Ability +50% Boost 3]","N","Self","70","Summoning","汚れなき力","31540962","106"
"Cecil (Dark Knight)","Shadow Blazer","Shadow Smash","1","Darkness","PHY","Single enemy","Physical","5.40","Dark, NE","1.65","Six single attacks (0.90 each), grants [Darkness +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Darkness","シャドウスマッシュ","30549867","17"
"Cecil (Dark Knight)","Shadow Blazer","Shadow Drive","2","Darkness","PHY","Single enemy","Physical","2.70","Dark, NE","1.65","Three single attacks (0.90 each), sets the user's HP to 1, grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Darkness","シャドウチェイサー","30549868","17"
"Cecil (Dark Knight)","Tenebrous Blast","Tenebrous Smash","1","Darkness","PHY","Single enemy","Physical","5.70","Dark, NE","1.65","Six single attacks (0.86/0.89/0.92/0.95 each) scaling with uses, damages the user for 25%/15%/5%/5% max HP scaling with uses","Y","Lowest HP% enemy","90","Darkness","イビルスマッシュ","31541037","17"
"Cecil (Dark Knight)","Tenebrous Blast","Tenebrous Gate","2","Darkness","PHY","Single enemy","Physical","2.70","Dark, NE","1.65","Three single attacks (0.90 each), grants [Darkness +30% Boost 1] to the user if the user has Dark Side level 0, grants [ATK and DEF +30% (8s)] and [Darkness +30% Boost 3] to the user if the user has Dark Side level 1, causes Dark Side -1 to the user","Y","Lowest HP% enemy","90","Darkness","イビルゲート","31541038","17"
"Cecil (Paladin)","Shine Braver","Mighty Force","1","Holy","NAT","Single enemy","Hybrid","-","Holy, NE","1.65","Six single hybrid attacks (0.90 or 3.10 each), grants [Holy Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Knight","マイティフォース","30548540","106"
"Cecil (Paladin)","Shine Braver","Healing Force","2","Holy","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","90","White Magic","ヒールフォース","30542917","106"
"Golbez","Dark Meteor","Void Whip","1","Dark","BLK","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each), grants [Dark +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Darkness","ヴォイドウェイブ","30549864","107"
"Golbez","Dark Meteor","Void Hand","2","Dark","BLK","Single enemy","Magical","16.40","Dark, NE","1.65","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","90","Darkness","ダークメテオ","30549865","107"
"Rosa","Theme of Love","Blessed Prayer","1","White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","祝福のいのり","30542673","2"
"Rosa","Theme of Love","Wondrous Prayer","2","White Magic","NAT","All allies","","","","0.01","Grants [Magical Blink 1]","N","All allies","70","White Magic","奇跡のいのり","30542674","2"
"Edge","Eblan Harmony","Eblan Surge","1","Ninja","NAT","Single enemy","Hybrid","-","Water, Fire, Lightning, NE","0.83","Six single hybrid attacks (0.80 or 411.75 each)","Y","Lowest HP% enemy","70","Ninja","エブラーナ流・怒涛","30549327","13"
"Edge","Eblan Harmony","Eblan Struggle","2","Ninja","NAT","Single enemy","Hybrid","-","Water, Fire, Lightning, NE","0.83","Three single hybrid attacks (0.80 or 411.75 each), grants [Buff Water 10% (15s)], [Buff Fire 10% (15s)] and [Buff Lightning 10% (15s)] to the user","Y","Lowest HP% enemy","70","Ninja","エブラーナ流・奮闘","30549328","13"
"Barbariccia","Raging Wind","Violent Tornado","1","Wind","BLK","Single enemy","Magical","18.30","Wind, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","ミールトルネード","31540090","104"
"Barbariccia","Raging Wind","Whirlwind Form","2","Black Magic","NAT","Self","","","","0.01","Grants [High Quick Cast 2] and [30% Damage Reduction Barrier 4]","N","Self","70","Black Magic","たつまき状態","31540091","1"
"Edward","Kings' Quad","Minstrel's Ballad","1","Bard","NAT","Single ally","","","","1.65","Restores HP (55), grants [Instant Cast 1], grants [200% ATB 1] if the user has Disguise level 1, causes Disguise -1 to the user","N","Lowest HP% ally","100","Bard","ミンストレルソング","31540508","14"
"Edward","Kings' Quad","Harp's Timbre","2","Bard","NAT","All allies","","","","1.65","Grants [20% Damage Reduction Barrier 1] and [HP Stock (1000)]","N","All allies","100","Bard","竪琴の音色","31540509","14"
"Porom","Sync Renew","Seal of Mysidia (IV)","1","White Magic","WHT","Single ally","","","","0.01","Restores HP (85), grants [HP Stock (3000)]","N","Lowest HP% ally","70","White Magic","ミシディアの聖印【IV】","31540511","2"
"Porom","Sync Renew","Mutated Cure","2","White Magic","WHT","All allies","","","","1.65","Restores HP (25) if the user has Precocious level 0, restores HP (85) and grants [Instant Cast 1] if the user has Precocious level 1, causes Precocious -1 to the user","N","All allies","100","White Magic","ミュテイトケアル","31540512","2"
"Ceodore","Advanced Blade","Holy Cross Slash","1","Holy","PHY","Single enemy","Physical","6.30","Holy, NE","1.65","5/7 single attacks (0.90 each) if the user hasn't/has any Magical Blink, grants [Holy Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Knight","ホーリークロスラッシュ","31540504","106"
"Ceodore","Advanced Blade","Awaken","2","Holy","NAT","Self","","","","0.01","Grants [Quick Cast 2] and [100% Critical 2] to the user","N","Self","70","Knight","かくせい","31540505","106"
"Tellah","Sage's Recollection","Dire Earthspell","1","Earth","BLK","Single enemy","Magical","21.35","Earth","1.65","Seven single attacks (3.05 each), damages the user for 25%/15%/5% max HP scaling with uses","Y","Lowest HP% enemy","90","Black Magic","決死の禁術","31540709","103"
"Tellah","Sage's Recollection","Sage's Endeavor","2","Earth","NAT","Self","","","","0.01","Grants [Earth Ability +30% Boost 1] to the user if the user has Sage's Oath level 0, grants [Earth Ability +50% Boost 3] and [Damage Cap +10000 3] to the user if the user has Sage's Oath level 1, causes Sage's Oath -1 to the user","N","Self","70","Black Magic","賢者の尽力","31540710","103"
"Palom","Twincast: Double Meteor","Sparkburn Icecrush","1","Black Magic","BLK","Single enemy","Magical","28.20","Lightning, Fire, Ice, NE","1.65","Six single attacks (2.70 each) if the user has Twincast level 1, followed by one single attack (12.00) capped at 99999, causes Twincast -1 to the user","Y","Lowest HP% enemy","90","Black Magic","アイスクラッシュ","31540911","1"
"Palom","Twincast: Double Meteor","A Little Black Magic!","2","Black Magic","BLK","Single enemy","Magical","2.70","Lightning, Fire, Ice, NE","0.01","One single attack (2.70), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","60","Black Magic","実践！黒魔法","31540912","1"
"Rubicante","Archfiend's Wildfire","Firebird","1","Fire","BLK","Single enemy","Magical","18.30","Fire, NE","1.65","Six single attacks (3.05 each), causes [Imperil Fire 10% (5s)]","Y","Lowest HP% enemy","90","Black Magic","火燕流","31541005","100"
"Rubicante","Archfiend's Wildfire","Pyromancy","2","Fire","NAT","Self","","","","0.01","Grants [Quick Cast 1] and [Dualcast Fire 1]","N","Self","70","Black Magic","炎の使い方","31541006","100"
"Fusoya","Lunarian Chronicles","Lunar Charity","1","Holy","WHT","Single enemy","Magical","18.60","Holy, NE","1.65","Six single attacks (3.10 each), grants [Quick Cast 1] to the user, grants [Buff Holy 10%] to all allies every three uses","Y","Lowest HP% enemy","90","White Magic","月光の天恵","31541040","106"
