Character,Source,Img,Name,Type,Target,Formula,Mutiplier,Element,Time,Effects,Counter,Auto Target,SB,School
Galuf,Sweet Sorrow,,Leeching Blow,PHY,Single enemy,Physical,1.88,"Fire, Earth",1.65,"Four single attacks (0.47 each), restores HP to the lowest HP% ally for 25% of their maximum HP",Y,Lowest HP% enemy,50,Monk
Galuf,Sweet Sorrow,,Feast of Souls,PHY,All enemies,Physical,1.34,"Fire, Earth",1.65,"Two group attacks (0.67 each), restores HP to the lowest HP% ally for 30% of their maximum HP",Y,All enemies,50,Monk
Galuf,Renewed Vigor,,Shattering Fist,PHY,Single enemy,Physical,2.16,"Earth, Fire",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Monk
Galuf,Renewed Vigor,,Restless Spirit,PHY,Single enemy,Physical,1.08,"Earth, Fire",1.65,"Two single attacks (0.54 each), grants 50% Critical to the user for 15 seconds",Y,Lowest HP% enemy,50,Monk
Gogo (V),Deep Aqua Breath,,Way of the Mimic,NAT,-,,,,1.65,"Casts the last ability used by an ally, default ability (PHY: single, 1.50 physical), cast time -0.15 for each previous use",N,-,180,Special
Gogo (V),Deep Aqua Breath,,Infamous Waterworks,BLK,Single enemy,Magical,8.96,"Water, NE",1.65,Four single attacks (2.24 each),Y,Lowest HP% enemy,50,Black Magic
Gilgamesh,Gilgamesh Morphing Time,,Dual Thrust,PHY,Single enemy,Physical,2.60,-,1.65,"Two single attacks (1.30 each), removes positive effects",Y,Lowest HP% enemy,50,Samurai
Gilgamesh,Gilgamesh Morphing Time,,Tsubamegaeshi,PHY,Single enemy,Physical,2.60,-,1.65,"Two single attacks (1.30 each), grants Retaliate to the user for 15 seconds",Y,Lowest HP% enemy,50,Samurai
Gilgamesh,Gilgamesh Scorching Time,,Kindred Soul,NAT,Self,,,,1.65,Grants Retaliate and Countrymen,Y,Self,50,Samurai
Gilgamesh,Gilgamesh Scorching Time,,Kindred Soul (S),NAT,Self,,,,1.65,"Grants Instant Cast 3, removes Countrymen",Y,Self,50,Samurai
Gilgamesh,Gilgamesh Scorching Time,,Cross Slash,PHY,Single enemy,Physical,2.08,"Fire, NE",1.65,Four single attacks (0.52 each),Y,Lowest HP% enemy,50,Samurai
